semantic_replication_id,dgp,N,T,replication,true_rank_vector,pilot_valid,a_NT,status,block,raw_sigma_1,lambda_hat_1,raw_sigma_2,lambda_hat_2,raw_sigma_3,lambda_hat_3,raw_sigma_4,lambda_hat_4,R_0,R_1,R_2,R_3,scale_weight,w_A_1_reference,selected_block_rank,minimum_ratio,second_smallest_ratio,ratio_gap,cap_selection_indicator,selector_state,pilot_start_objectives,pilot_start_objective_spread,pilot_objective_stability_pass,pilot_feasibility,pilot_stationarity_residual,pilot_boundary_activity,final_postrefit_attempted,final_postrefit_valid,minimum_objective,true_block_rank
dgp1_N50_T50_r00000_truth1-0-2,1,50,50,0,"(1,0,2)",False,0.1278111093176657,rank_selection_numerically_unresolved,A,,,,,,,,,,,,,,,,,,,,not_reached_due_to_pilot_failure,"[0.1419297452735049, 0.14056075683318126, 0.1394984709829806]",0.0024312742905243,False,True,0.0084740666512471,True,False,False,0.1394984709829806,1
dgp1_N50_T50_r00000_truth1-0-2,1,50,50,0,"(1,0,2)",False,0.1278111093176657,rank_selection_numerically_unresolved,B,,,,,,,,,,,,,,,,,,,,not_reached_due_to_pilot_failure,"[0.1419297452735049, 0.14056075683318126, 0.1394984709829806]",0.0024312742905243,False,True,0.0084740666512471,True,False,False,0.1394984709829806,0
dgp1_N50_T50_r00000_truth1-0-2,1,50,50,0,"(1,0,2)",False,0.1278111093176657,rank_selection_numerically_unresolved,H,,,,,,,,,,,,,1.0,,,,,,,not_reached_due_to_pilot_failure,"[0.1419297452735049, 0.14056075683318126, 0.1394984709829806]",0.0024312742905243,False,True,0.0084740666512471,True,False,False,0.1394984709829806,2
dgp1_N50_T50_r00001_truth1-0-2,1,50,50,1,"(1,0,2)",False,0.1278111093176657,rank_selection_numerically_unresolved,A,,,,,,,,,,,,,,,,,,,,not_reached_due_to_pilot_failure,"[0.15814719727888749, 0.16684088658691426, 0.16616673033204485]",0.0086936893080267,False,True,0.0074705311192315,False,False,False,0.1581471972788874,1
dgp1_N50_T50_r00001_truth1-0-2,1,50,50,1,"(1,0,2)",False,0.1278111093176657,rank_selection_numerically_unresolved,B,,,,,,,,,,,,,,,,,,,,not_reached_due_to_pilot_failure,"[0.15814719727888749, 0.16684088658691426, 0.16616673033204485]",0.0086936893080267,False,True,0.0074705311192315,False,False,False,0.1581471972788874,0
dgp1_N50_T50_r00001_truth1-0-2,1,50,50,1,"(1,0,2)",False,0.1278111093176657,rank_selection_numerically_unresolved,H,,,,,,,,,,,,,1.0,,,,,,,not_reached_due_to_pilot_failure,"[0.15814719727888749, 0.16684088658691426, 0.16616673033204485]",0.0086936893080267,False,True,0.0074705311192315,False,False,False,0.1581471972788874,2
dgp1_N50_T50_r00002_truth1-0-2,1,50,50,2,"(1,0,2)",False,0.1278111093176657,rank_selection_numerically_unresolved,A,,,,,,,,,,,,,,,,,,,,not_reached_due_to_pilot_failure,"[0.14617046512826154, 0.14414748960849372, 0.14575780091010332]",0.0020229755197678,False,True,9.28025690920416e-05,True,False,False,0.1441474896084937,1
dgp1_N50_T50_r00002_truth1-0-2,1,50,50,2,"(1,0,2)",False,0.1278111093176657,rank_selection_numerically_unresolved,B,,,,,,,,,,,,,,,,,,,,not_reached_due_to_pilot_failure,"[0.14617046512826154, 0.14414748960849372, 0.14575780091010332]",0.0020229755197678,False,True,9.28025690920416e-05,True,False,False,0.1441474896084937,0
dgp1_N50_T50_r00002_truth1-0-2,1,50,50,2,"(1,0,2)",False,0.1278111093176657,rank_selection_numerically_unresolved,H,,,,,,,,,,,,,1.0,,,,,,,not_reached_due_to_pilot_failure,"[0.14617046512826154, 0.14414748960849372, 0.14575780091010332]",0.0020229755197678,False,True,9.28025690920416e-05,True,False,False,0.1441474896084937,2
dgp1_N50_T50_r00000_truth1-1-1,1,50,50,0,"(1,1,1)",False,0.1278111093176657,rank_selection_numerically_unresolved,A,,,,,,,,,,,,,,,,,,,,not_reached_due_to_pilot_failure,"[0.4640064474981087, 0.46379618470398193, 0.4699737901173393]",0.0061776054133573,False,True,0.0047030195061061,True,False,False,0.4637961847039819,1
dgp1_N50_T50_r00000_truth1-1-1,1,50,50,0,"(1,1,1)",False,0.1278111093176657,rank_selection_numerically_unresolved,B,,,,,,,,,,,,,,,,,,,,not_reached_due_to_pilot_failure,"[0.4640064474981087, 0.46379618470398193, 0.4699737901173393]",0.0061776054133573,False,True,0.0047030195061061,True,False,False,0.4637961847039819,1
