semantic_replication_id,dgp,N,T,replication,true_rank_vector,status,exception_message,constrained_solver_status,pilot_start_count,stationarity_passing_starts,minimum_stationarity_residual,median_stationarity_residual,maximum_stationarity_residual,minimum_objective,maximum_objective,iteration_cap_starts,constrained_fallback_starts,boundary_active_starts,maximum_constraint_violation,pilot_fit_runtime_seconds,pilot_start_objectives,pilot_start_objective_spread,pilot_best_two_objective_gap,pilot_objective_stability_failure,pilot_feasibility_failure,pilot_stationarity_failure,pilot_nonfinite_failure,pilot_boundary_activity,cap_pilot_final_acceptance_basis
dgp1_N50_T50_r00000_truth1-0-2,1,50,50,0,"(1,0,2)",rank_selection_numerically_unresolved,rank_selection_numerically_unresolved: cap+1 pilot failed maintained acceptance diagnostics,constrained_optimality_failure,3,0,0.0008631467801635,0.0084503836503132,0.0084740666512471,0.1394984709829806,0.1419297452735049,3,3,3,1.7763568394002505e-15,812.5046367000032,"[0.1419297452735049, 0.14056075683318126, 0.1394984709829806]",0.00243127429052431,,True,False,True,False,True,failure
dgp1_N50_T50_r00001_truth1-0-2,1,50,50,1,"(1,0,2)",rank_selection_numerically_unresolved,rank_selection_numerically_unresolved: cap+1 pilot failed maintained acceptance diagnostics,constrained_optimality_failure,3,0,0.0003669210540277,0.0012148683098063,0.0074705311192315,0.1581471972788874,0.1668408865869142,3,3,2,1.7763568394002505e-15,639.1768040000024,"[0.15814719727888749, 0.16684088658691426, 0.16616673033204485]",0.008693689308026775,,True,False,True,False,False,failure
dgp1_N50_T50_r00002_truth1-0-2,1,50,50,2,"(1,0,2)",rank_selection_numerically_unresolved,rank_selection_numerically_unresolved: cap+1 pilot failed maintained acceptance diagnostics,constrained_optimality_failure,3,1,9.28025690920416e-05,0.0030105823077861,0.0059547182344128,0.1441474896084937,0.1461704651282615,2,3,3,1.7763568394002505e-15,612.3514242999809,"[0.14617046512826154, 0.14414748960849372, 0.14575780091010332]",0.0020229755197678223,,True,False,True,False,True,failure
dgp1_N50_T50_r00000_truth1-1-1,1,50,50,0,"(1,1,1)",rank_selection_numerically_unresolved,rank_selection_numerically_unresolved: cap+1 pilot failed maintained acceptance diagnostics,constrained_optimality_failure,3,0,0.0003511228485945,0.0047030195061061,0.0148913961539998,0.4637961847039819,0.4699737901173393,3,3,3,1.7763568394002505e-15,879.8973382999975,"[0.4640064474981087, 0.46379618470398193, 0.4699737901173393]",0.006177605413357379,,True,False,True,False,True,failure
dgp1_N50_T50_r00001_truth1-1-1,1,50,50,1,"(1,1,1)",rank_selection_numerically_unresolved,rank_selection_numerically_unresolved: cap+1 pilot failed maintained acceptance diagnostics,constrained_optimality_failure,3,0,0.0022557286432282,0.003241532802198,0.0267984300000864,0.4761743839136077,0.5125689057685556,3,3,3,1.7763568394002505e-15,923.6771532000057,"[0.5125689057685556, 0.4919742292743455, 0.4761743839136077]",0.0363945218549479,,True,False,True,False,True,failure
dgp1_N50_T50_r00002_truth1-1-1,1,50,50,2,"(1,1,1)",rank_selection_numerically_unresolved,rank_selection_numerically_unresolved: cap+1 pilot failed maintained acceptance diagnostics,constrained_optimality_failure,3,0,0.0020851572060351,0.0036863536913529,0.0037677213705385,0.5357820261518287,0.5429680175801357,3,3,3,1.7763568394002505e-15,957.3559517999965,"[0.5422047189731697, 0.5357820261518287, 0.5429680175801357]",0.007185991428307004,,True,False,True,False,True,failure
dgp1_N50_T50_r00000_truth2-1-1,1,50,50,0,"(2,1,1)",rank_selection_numerically_unresolved,rank_selection_numerically_unresolved: cap+1 pilot failed maintained acceptance diagnostics,constrained_optimality_failure,3,0,0.0006634584001253,0.0034025290344112,0.0040775052410624,0.1070490170331628,0.1102351717596542,3,3,3,1.7763568394002505e-15,735.3414831000118,"[0.11023517175965426, 0.10969138269436755, 0.10704901703316284]",0.003186154726491419,,True,False,True,False,True,failure
dgp1_N50_T50_r00001_truth2-1-1,1,50,50,1,"(2,1,1)",rank_selection_numerically_unresolved,rank_selection_numerically_unresolved: cap+1 pilot failed maintained acceptance diagnostics,constrained_optimality_failure,3,0,0.0001518317807039,0.0014944951854491,0.0024753593527916,0.0977283027079837,0.1020594674340721,3,3,3,1.7763568394002505e-15,654.070472499996,"[0.09772830270798379, 0.10205946743407213, 0.10164501964308996]",0.004331164726088341,,True,False,True,False,True,failure
dgp1_N50_T50_r00002_truth2-1-1,1,50,50,2,"(2,1,1)",rank_selection_numerically_unresolved,rank_selection_numerically_unresolved: cap+1 pilot failed maintained acceptance diagnostics,constrained_optimality_failure,3,0,0.0001316927343695,0.0010948567077321,0.0041769194347309,0.1016392392392408,0.1051530917717878,3,2,2,3.552713678800501e-15,492.43276350000815,"[0.10515309177178787, 0.10163923923924087, 0.10361969554821948]",0.0035138525325470044,,True,False,True,False,True,failure
dgp1_N100_T100_r00000_truth1-0-2,1,100,100,0,"(1,0,2)",rank_selection_numerically_unresolved,rank_selection_numerically_unresolved: cap+1 pilot failed maintained acceptance diagnostics,constrained_optimality_failure,3,0,1.326773289402938e-05,1.5833020578931536e-05,0.0001962093151547,0.2866166797977519,0.2881256321451856,3,1,1,3.552713678800501e-15,335.9960151000123,"[0.2868712502707119, 0.2881256321451856, 0.28661667979775196]",0.0015089523474336453,,True,False,True,False,False,failure
