semantic_replication_id,dgp_seed_state_uint32x4,dgp_realization_hash
dgp1_N50_T50_r00000_truth1-0-2,3490749937-2460933935-1043009760-2804002756,ba7ed36a79c035a4068be3db80558214b11a91abeb02be2ab06e535d127b477d
dgp1_N50_T50_r00001_truth1-0-2,3680125876-1683966624-3509559297-2490146119,2c266dd76035044b95b2d9963f84552853901739aac195b29a9a076ab7fbd42b
dgp1_N50_T50_r00002_truth1-0-2,3247818990-302293056-3924059125-874562239,00bae92ad7a5f61ca7b412c7228d59f7a908227ad75104ee1724438dfd366d61
dgp1_N50_T50_r00000_truth1-1-1,1157703448-2203590321-2701673329-2286612217,37c361870d7cd86f74c8816035fda96c1ac1edf891af94c00cda70de72187254
dgp1_N50_T50_r00001_truth1-1-1,3907894639-3621736129-1369434151-2970015578,5234d58bddf64ea9bbaa348da120729fdc525badd5f1a3cdc1c1aa1084f3c0d2
dgp1_N50_T50_r00002_truth1-1-1,1304123236-3769553280-2261463044-1636914318,60524f1113dfb9bd0797f4424951cb3fa7700e1fbc537cb4aab7cbe883b7982d
dgp1_N50_T50_r00000_truth2-1-1,3945248744-728597582-2018825551-291512360,1462fc4f9c8ea33b5cf9b9126ee4122396880dbd733ad6379be085c4b307d24c
dgp1_N50_T50_r00001_truth2-1-1,3504340144-2405869942-1356163523-1868647460,d8109b63072b32e86aa9531831f0025bdb913e47a4cdc4738af29bda57d29933
dgp1_N50_T50_r00002_truth2-1-1,565929317-544035433-3799712913-3410107148,912e417f842cb279fde2d13c453e7a563162c412413397445e076aa238735a42
dgp1_N100_T100_r00000_truth1-0-2,157314568-1306418989-2938765778-4239275464,9766e2d04bba4ea73295d9307840acdf518eb9ba84af88a66687a0a835c8322e
dgp1_N100_T100_r00001_truth1-0-2,629872493-477764560-949272092-304640692,7b69bf41702fcc0ca385c96cf5dba31a9b71a65e15c3e5031a2a556343b83cf0
dgp1_N100_T100_r00002_truth1-0-2,1476529862-804431099-641775744-2237035995,7774159d2fedc01d9f59081b6e3660a2eb1b2d6624c0a6a7b122695d67b9eabe
dgp1_N100_T100_r00000_truth1-1-1,450743888-407966510-461190552-4244042197,eb07f996364de1bfaa59a3df551ab1ae0e5f65c9dfd730a69fc9a024a46be45b
dgp1_N100_T100_r00001_truth1-1-1,746729124-195332629-1844211468-2148928791,33500f07704812bda31d0bc87952c5fb9ae0bac6780717e5aea373cebdb9fa68
dgp1_N100_T100_r00002_truth1-1-1,3491449926-1907762397-984029244-3775323118,26d31eebc7b268b8c547538a47adf9d5dcaff199955d152464698e8cddef4e1e
dgp1_N100_T100_r00000_truth2-1-1,2324456517-3764840354-3628322721-4232901335,427ee2ae0fb648f231972a4140cf35b9e296c43b91f73d72dff6c1152cbbac14
dgp1_N100_T100_r00001_truth2-1-1,2486375701-3066480196-1897906388-1693421276,4618242182f3e54e8940fd5f2068d5e070333bf1ef1df03db76c59486514f1d4
dgp1_N100_T100_r00002_truth2-1-1,946955776-2957007683-1277363701-1134765589,324b9ebd1813b3dcc1303de730da441f7a946180874e9b32e807b8ddb18a3ab2
dgp1_N100_T200_r00000_truth1-0-2,2864774401-2450113334-3679542943-3389425819,2c63f202bfcd46db371e5a58c978e17499aac96eafe76e38a51d428d6616513d
dgp1_N100_T200_r00001_truth1-0-2,3504887274-2595079835-3668615863-3124451221,49412d70342f7621fac939d7703a21529cf5e6332d2679190e4af842b603cb54
dgp1_N100_T200_r00002_truth1-0-2,258736538-2973700069-3816995771-1564915325,0c365305d4e6f190d3a2fb39b7c267a3b9d00b8cb1be29cee4c3ace93894af91
dgp1_N100_T200_r00000_truth1-1-1,262917197-1395033561-2424138606-3851585346,b86ded7ea99bfd8662fdd52592499006c2e92bb985b26182fd7bd830a2a1e702
dgp1_N100_T200_r00001_truth1-1-1,4186555303-2054876582-1707186546-3241336411,80e1fc64c442686377e622f96c04acf5e382969c56217fb1602da817ea4d1a21
dgp1_N100_T200_r00002_truth1-1-1,2718565127-3669576146-2925956193-1159899965,539271aeee9232db80d08b3e9f6290b2bd597b7ddc8d74c5e3f4616e309b224e
dgp1_N100_T200_r00000_truth2-1-1,1622279041-2350401006-3298003279-2861832865,9f674841a2734c9228b38af025420855b534a4175742e1fcd0de2318bc4bda69
dgp1_N100_T200_r00001_truth2-1-1,2239394878-1157234335-1888447211-2379009286,6cfece194b0df26b794f5cccfc6351cc37cb9994d0b03ecf30fb364454d1b3a7
dgp1_N100_T200_r00002_truth2-1-1,3293157866-1592092327-3853121251-685867412,e49e07ff5e2e0f91c7d98933f92930dcc11784560107cafc2f66a28a8eafa4ae
dgp1_N200_T100_r00000_truth1-0-2,4101924698-2145943582-2794402045-2486443855,4c41c6d73413eab9abdff7d176ee22212d8e9839a2ec7834d17710ea14929374
dgp1_N200_T100_r00001_truth1-0-2,2542482861-1965407545-1669925843-1137351017,ea2519709ea7cc78254b1116ce012d67870d1ccd39c6dd376a129133e1a1a6c5
dgp1_N200_T100_r00002_truth1-0-2,594580475-3355483362-4198779320-642053474,8eea512602fe7eb7a0488edea8005eb77cf9ce3ae6b547c4d3e819b9458e508d
dgp1_N200_T100_r00000_truth1-1-1,174828567-2760512171-702081722-2636973942,7c51149b5ba9ebbd5f734f03f0516a1f689aceef853ed41db0d3a00595d6a6eb
dgp1_N200_T100_r00001_truth1-1-1,415079697-959747619-1300218179-528821086,4a7bfecdc9fbb5c99e925b3563e9cffe1f59290c904eb0b0cf48524a753c9dd8
dgp1_N200_T100_r00002_truth1-1-1,2977001943-2129736064-4006429886-3406732888,3b67976e2e3bb5b54f6d1a527edd2ecc21fe90874e8e4672d1e4e425df6e68e0
dgp1_N200_T100_r00000_truth2-1-1,3736189993-1601399094-3117604046-2557164146,a17207675ce7fcba1c584c75ed4e01ac5a09be4775c8aecce0bcd7ee4aeca6cf
dgp1_N200_T100_r00001_truth2-1-1,2046774045-3907148680-824646326-1471470740,bcc04f16b887d5729f500266f9ad780aa857ddb73e1ef79ab4b6ceda1f916b22
dgp1_N200_T100_r00002_truth2-1-1,2234960481-3667193387-292781004-1358621906,c9eefdd30f3b9e6d4b6703bab506e5da40d5453d9e5f39d65859c9746a38402f
dgp1_N200_T200_r00000_truth1-0-2,2003956529-40660088-725691137-1661322672,a1c4391452565bc84eacbe52e03f7d647686cef22036eab449c7c5596ce2f433
dgp1_N200_T200_r00001_truth1-0-2,1567367396-957224186-1317358510-3094897162,4a820aaa114840da4a2bb1ffa76e80b317f1159af1634458314a46973bc23b2b
dgp1_N200_T200_r00002_truth1-0-2,2559658165-1113751769-455596193-3605436048,625e87e47b6f510c732e69a2d44d5bc39a0f0b0d39a7a1c15d69e5da02a9fc21
dgp1_N200_T200_r00000_truth1-1-1,2308813819-844991268-3786172539-3212467096,bdc37c94860ec3faa784ecaa7b80c989b9faf8dc20aa3a453ebe221af6664836
dgp1_N200_T200_r00001_truth1-1-1,2825400259-3581948471-450783819-81019427,61f8f87f37fe890d43feee69b857673a9ddf30491bccaef72afc756293727562
dgp1_N200_T200_r00002_truth1-1-1,1893086505-2162469785-4044670822-2525070257,8a5067830d10ee7292df7d7ff078fda1ff0e614fb2c2a888210ffc1fdb1a666e
dgp1_N200_T200_r00000_truth2-1-1,1976029404-3091483324-1450491317-80381887,20469c9df1adb4b1127da604e11905e426f37a941f8a3d3f520884ed16d47c35
dgp1_N200_T200_r00001_truth2-1-1,279575233-1884693893-4089764174-113099029,b17032203ef5f86d9c2eb9eb323cc1c700082a365d4c7430cc8a2de3ca76e6fb
dgp1_N200_T200_r00002_truth2-1-1,481726837-3867953649-3839463087-3375073498,f944481cbe9d21dc499f3811236c3da716d980c2abf644a47e1ef0b22fcf223a
dgp2_N50_T50_r00000_truth1-0-2,1351864941-3015764672-3337769075-2008425202,fefbf6a230fedbb3e3e8b0136a672848637cdda02d1a96eebf3eaa8a490d5bf8
dgp2_N50_T50_r00001_truth1-0-2,866281597-2426690772-188869684-848719527,9e36a39f4be57986ec09296919e757466bb0c89187ad8165f5a5840cdaa009de
dgp2_N50_T50_r00002_truth1-0-2,3286614307-3856278492-3987532466-574980643,86603c1af46a41deb7d07cfaae74376567706340b79b9fc58e2d717eadf08364
dgp2_N50_T50_r00000_truth1-1-1,3162017042-2410544605-3764515430-2399688956,e5d8c9e8b3708311f63bb3031e43d8bad7c3079ba211a54168b1a6dab072ec4b
dgp2_N50_T50_r00001_truth1-1-1,1054565426-242124146-2183004306-2591071737,1df7d64eaa174ca65bc3c35c6ea938e6fd816b97744c4d58f0c2ff6db7b27d8e
dgp2_N50_T50_r00002_truth1-1-1,2310229955-2603218851-4227183367-54256364,3fba084d7e0749fcc4489faee7dd99826b62e82d92a306a59efcba08dc5832f4
dgp2_N50_T50_r00000_truth2-1-1,947379617-961646049-1142250921-3385409083,8c32c10a72b54cb64c81ad96ede055e95e66bd1933e28746968bc60baa509513
dgp2_N50_T50_r00001_truth2-1-1,1340194055-719691171-3377104533-15995996,a92956e90f9f3a9215d9f7d608f717aff14fa65dbb3f5843cf43f13b69fc3d5b
dgp2_N50_T50_r00002_truth2-1-1,687636783-1837042607-2781739911-1161389286,e6d6d5367c57e04fce8e3d8b4c343c8125373b9ba7acb9a6601cba775d8b3fb0
dgp2_N100_T100_r00000_truth1-0-2,3821818021-82334631-4162834129-3535263122,cca8127d10f5bf1b4ba96be177ddafe1cb8b744838fb090a353d52182a930342
