semantic_replication_id,dgp,N,T,replication,true_rank_vector,pilot_valid,status,audited_block,true_block_rank,lambda_B_1,lambda_B_2,lambda_B_3,lambda_B_4,R_B_0,R_B_1,R_B_2,R_B_3,selected_r_B,minimum_ratio,second_smallest_ratio,ratio_gap,cap_selection_indicator,selector_state
dgp1_N50_T50_r00000_truth1-0-2,1,50,50,0,"(1,0,2)",False,rank_selection_numerically_unresolved,B,0,,,,,,,,,,,,,,not_reached_due_to_pilot_failure
dgp1_N50_T50_r00001_truth1-0-2,1,50,50,1,"(1,0,2)",False,rank_selection_numerically_unresolved,B,0,,,,,,,,,,,,,,not_reached_due_to_pilot_failure
dgp1_N50_T50_r00002_truth1-0-2,1,50,50,2,"(1,0,2)",False,rank_selection_numerically_unresolved,B,0,,,,,,,,,,,,,,not_reached_due_to_pilot_failure
dgp1_N100_T100_r00000_truth1-0-2,1,100,100,0,"(1,0,2)",False,rank_selection_numerically_unresolved,B,0,,,,,,,,,,,,,,not_reached_due_to_pilot_failure
dgp1_N100_T100_r00001_truth1-0-2,1,100,100,1,"(1,0,2)",False,rank_selection_numerically_unresolved,B,0,,,,,,,,,,,,,,not_reached_due_to_pilot_failure
dgp1_N100_T100_r00002_truth1-0-2,1,100,100,2,"(1,0,2)",False,rank_selection_numerically_unresolved,B,0,,,,,,,,,,,,,,not_reached_due_to_pilot_failure
dgp1_N100_T200_r00000_truth1-0-2,1,100,200,0,"(1,0,2)",False,rank_selection_numerically_unresolved,B,0,,,,,,,,,,,,,,not_reached_due_to_pilot_failure
dgp1_N100_T200_r00001_truth1-0-2,1,100,200,1,"(1,0,2)",False,rank_selection_numerically_unresolved,B,0,,,,,,,,,,,,,,not_reached_due_to_pilot_failure
dgp1_N100_T200_r00002_truth1-0-2,1,100,200,2,"(1,0,2)",False,rank_selection_numerically_unresolved,B,0,,,,,,,,,,,,,,not_reached_due_to_pilot_failure
dgp1_N200_T100_r00000_truth1-0-2,1,200,100,0,"(1,0,2)",False,rank_selection_numerically_unresolved,B,0,,,,,,,,,,,,,,not_reached_due_to_pilot_failure
dgp1_N200_T100_r00001_truth1-0-2,1,200,100,1,"(1,0,2)",False,rank_selection_numerically_unresolved,B,0,,,,,,,,,,,,,,not_reached_due_to_pilot_failure
dgp1_N200_T100_r00002_truth1-0-2,1,200,100,2,"(1,0,2)",False,rank_selection_numerically_unresolved,B,0,,,,,,,,,,,,,,not_reached_due_to_pilot_failure
dgp1_N200_T200_r00000_truth1-0-2,1,200,200,0,"(1,0,2)",False,rank_selection_numerically_unresolved,B,0,,,,,,,,,,,,,,not_reached_due_to_pilot_failure
dgp1_N200_T200_r00001_truth1-0-2,1,200,200,1,"(1,0,2)",False,rank_selection_numerically_unresolved,B,0,,,,,,,,,,,,,,not_reached_due_to_pilot_failure
dgp1_N200_T200_r00002_truth1-0-2,1,200,200,2,"(1,0,2)",False,rank_selection_numerically_unresolved,B,0,,,,,,,,,,,,,,not_reached_due_to_pilot_failure
dgp2_N50_T50_r00000_truth1-0-2,2,50,50,0,"(1,0,2)",False,rank_selection_numerically_unresolved,B,0,,,,,,,,,,,,,,not_reached_due_to_pilot_failure
dgp2_N50_T50_r00001_truth1-0-2,2,50,50,1,"(1,0,2)",False,rank_selection_numerically_unresolved,B,0,,,,,,,,,,,,,,not_reached_due_to_pilot_failure
dgp2_N50_T50_r00002_truth1-0-2,2,50,50,2,"(1,0,2)",False,rank_selection_numerically_unresolved,B,0,,,,,,,,,,,,,,not_reached_due_to_pilot_failure
dgp2_N100_T100_r00000_truth1-0-2,2,100,100,0,"(1,0,2)",False,rank_selection_numerically_unresolved,B,0,,,,,,,,,,,,,,not_reached_due_to_pilot_failure
dgp2_N100_T100_r00001_truth1-0-2,2,100,100,1,"(1,0,2)",False,rank_selection_numerically_unresolved,B,0,,,,,,,,,,,,,,not_reached_due_to_pilot_failure
dgp2_N100_T100_r00002_truth1-0-2,2,100,100,2,"(1,0,2)",False,rank_selection_numerically_unresolved,B,0,,,,,,,,,,,,,,not_reached_due_to_pilot_failure
dgp2_N100_T200_r00000_truth1-0-2,2,100,200,0,"(1,0,2)",False,rank_selection_numerically_unresolved,B,0,,,,,,,,,,,,,,not_reached_due_to_pilot_failure
dgp2_N100_T200_r00001_truth1-0-2,2,100,200,1,"(1,0,2)",False,rank_selection_numerically_unresolved,B,0,,,,,,,,,,,,,,not_reached_due_to_pilot_failure
dgp2_N100_T200_r00002_truth1-0-2,2,100,200,2,"(1,0,2)",False,rank_selection_numerically_unresolved,B,0,,,,,,,,,,,,,,not_reached_due_to_pilot_failure
dgp2_N200_T100_r00000_truth1-0-2,2,200,100,0,"(1,0,2)",False,rank_selection_numerically_unresolved,B,0,,,,,,,,,,,,,,not_reached_due_to_pilot_failure
dgp2_N200_T100_r00001_truth1-0-2,2,200,100,1,"(1,0,2)",False,rank_selection_numerically_unresolved,B,0,,,,,,,,,,,,,,not_reached_due_to_pilot_failure
dgp2_N200_T100_r00002_truth1-0-2,2,200,100,2,"(1,0,2)",False,rank_selection_numerically_unresolved,B,0,,,,,,,,,,,,,,not_reached_due_to_pilot_failure
dgp2_N200_T200_r00000_truth1-0-2,2,200,200,0,"(1,0,2)",False,rank_selection_numerically_unresolved,B,0,,,,,,,,,,,,,,not_reached_due_to_pilot_failure
dgp2_N200_T200_r00001_truth1-0-2,2,200,200,1,"(1,0,2)",False,rank_selection_numerically_unresolved,B,0,,,,,,,,,,,,,,not_reached_due_to_pilot_failure
dgp2_N200_T200_r00002_truth1-0-2,2,200,200,2,"(1,0,2)",False,rank_selection_numerically_unresolved,B,0,,,,,,,,,,,,,,not_reached_due_to_pilot_failure
dgp3_N50_T50_r00000_truth1-0-2,3,50,50,0,"(1,0,2)",False,rank_selection_numerically_unresolved,B,0,,,,,,,,,,,,,,not_reached_due_to_pilot_failure
dgp3_N50_T50_r00001_truth1-0-2,3,50,50,1,"(1,0,2)",False,rank_selection_numerically_unresolved,B,0,,,,,,,,,,,,,,not_reached_due_to_pilot_failure
dgp3_N50_T50_r00002_truth1-0-2,3,50,50,2,"(1,0,2)",False,rank_selection_numerically_unresolved,B,0,,,,,,,,,,,,,,not_reached_due_to_pilot_failure
dgp3_N100_T100_r00000_truth1-0-2,3,100,100,0,"(1,0,2)",False,rank_selection_numerically_unresolved,B,0,,,,,,,,,,,,,,not_reached_due_to_pilot_failure
