ordinal,rank_stress,design,dgp,n,t,true_rank_vector,old_entry_sha256,new_entry_sha256,value_for_value_unchanged,old_config_byte_prefix_preserved
1,False,baseline,1,50,50,"[1,1,1]",bfaf10be30613e14e028bfeded2d767390bd4fca8df68f7d4b30606d3492b550,bfaf10be30613e14e028bfeded2d767390bd4fca8df68f7d4b30606d3492b550,True,True
2,False,baseline,1,100,100,"[1,1,1]",0440ed1c0a46388eb84e211971d9dad92418edce485950c0c42571f1f2092108,0440ed1c0a46388eb84e211971d9dad92418edce485950c0c42571f1f2092108,True,True
3,False,baseline,1,200,200,"[1,1,1]",73d1835a7fb499852c08052cc9d2a4006863a0a2a715ef3c9a5fde115ff1bff5,73d1835a7fb499852c08052cc9d2a4006863a0a2a715ef3c9a5fde115ff1bff5,True,True
4,False,baseline,1,400,400,"[1,1,1]",e9b8710e16634b1a2f7fe8514607457dd2ee4202351cb76fb844446509e52822,e9b8710e16634b1a2f7fe8514607457dd2ee4202351cb76fb844446509e52822,True,True
5,True,rank_stress,1,50,50,"[1,1,1]",df8d978594101e6bbd0edddd21cb4ab122cd521acf41398b47ed21cd298dffef,df8d978594101e6bbd0edddd21cb4ab122cd521acf41398b47ed21cd298dffef,True,True
6,True,rank_stress,1,50,50,"[2,1,1]",bf14a9e25f5d2c9287c62cc39628c2e99d4bd3d40d6bd5512630fd45143886a2,bf14a9e25f5d2c9287c62cc39628c2e99d4bd3d40d6bd5512630fd45143886a2,True,True
7,True,rank_stress,1,50,50,"[1,0,2]",357c63aefef4cba785d9a12c8fb20d11a680c12bb3c7d092b9b594fe2b1ddb37,357c63aefef4cba785d9a12c8fb20d11a680c12bb3c7d092b9b594fe2b1ddb37,True,True
8,True,rank_stress,1,100,100,"[1,1,1]",8c1be0d6a1ba5ed7236f1d1f2d089d0203cf311ab29c4b6af67bcac986ed03b4,8c1be0d6a1ba5ed7236f1d1f2d089d0203cf311ab29c4b6af67bcac986ed03b4,True,True
9,True,rank_stress,1,100,100,"[2,1,1]",2156276e7fe77eb2a3f1867160204b292a70d91d437f6e7d8f1fff108546a03a,2156276e7fe77eb2a3f1867160204b292a70d91d437f6e7d8f1fff108546a03a,True,True
10,True,rank_stress,1,100,100,"[1,0,2]",2e0ba380731b5923a0b1914c0bd19f477b117deab2038dea466c30922c772507,2e0ba380731b5923a0b1914c0bd19f477b117deab2038dea466c30922c772507,True,True
11,True,rank_stress,1,200,200,"[1,1,1]",b077527f8c7747f6d9e930f607c540f3c4ca825d520dce6b0c6f75de4d3108bd,b077527f8c7747f6d9e930f607c540f3c4ca825d520dce6b0c6f75de4d3108bd,True,True
12,True,rank_stress,1,200,200,"[2,1,1]",33581e3739b16754ecc483500572bfb17675c4cb60efa8bd5f5f7b7017af04a0,33581e3739b16754ecc483500572bfb17675c4cb60efa8bd5f5f7b7017af04a0,True,True
13,True,rank_stress,1,200,200,"[1,0,2]",249a3d2721b1688fd7385d7a1c6181e771f35c6ec1fb80df9b3a0ca2c2d335a6,249a3d2721b1688fd7385d7a1c6181e771f35c6ec1fb80df9b3a0ca2c2d335a6,True,True
14,False,baseline,2,50,50,"[1,1,1]",15ac36371d5db516a3bfe67b3ffefe341ce1e81cbd7434c1a78b2d50e2c5b270,15ac36371d5db516a3bfe67b3ffefe341ce1e81cbd7434c1a78b2d50e2c5b270,True,True
15,False,baseline,2,100,100,"[1,1,1]",d240fc5962ffe2b3e90da2cd4d88acb4edce6adf55d2e067f858c0e60f3b23be,d240fc5962ffe2b3e90da2cd4d88acb4edce6adf55d2e067f858c0e60f3b23be,True,True
16,False,baseline,2,200,200,"[1,1,1]",c1c8faf9c1873056a93c5a7d0559bfeffca967f5c63d6c06deef9b161957dabb,c1c8faf9c1873056a93c5a7d0559bfeffca967f5c63d6c06deef9b161957dabb,True,True
17,False,baseline,2,400,400,"[1,1,1]",b83a071f993f5fac10c17202c93191fef0d44846605bc92b3331cfde3f4ad2d0,b83a071f993f5fac10c17202c93191fef0d44846605bc92b3331cfde3f4ad2d0,True,True
