dgp,N,T,true_rank_vector,missing_before
1,100,200,"[1,1,1]",True
1,100,200,"[2,1,1]",True
1,100,200,"[1,0,2]",True
1,200,100,"[1,1,1]",True
1,200,100,"[2,1,1]",True
1,200,100,"[1,0,2]",True
2,100,200,"[1,1,1]",True
2,100,200,"[2,1,1]",True
2,100,200,"[1,0,2]",True
2,200,100,"[1,1,1]",True
2,200,100,"[2,1,1]",True
2,200,100,"[1,0,2]",True
3,100,200,"[1,1,1]",True
3,100,200,"[2,1,1]",True
3,100,200,"[1,0,2]",True
3,200,100,"[1,1,1]",True
3,200,100,"[2,1,1]",True
3,200,100,"[1,0,2]",True
4,100,200,"[1,1,1]",True
4,100,200,"[2,1,1]",True
4,100,200,"[1,0,2]",True
4,200,100,"[1,1,1]",True
4,200,100,"[2,1,1]",True
4,200,100,"[1,0,2]",True
