dgp,N,T,true_rank_vector,c_H,c_xi,target_R2,achieved_R2,scale_identified,calibration_master_seed,seed_stage,seed_key_template,first_seed_state_128_hex,last_seed_state_128_hex,calibration_draw_count,calibration_numerical_status,root_residual,bracket_lower,bracket_upper,pi_H_target,pi_H_population_achieved,pi_H_realized_calibration,population_var_u_tilde,population_var_h_raw,C_A,C_beta,C_H,C_Theta,realized_calibration_max_abs_A,realized_calibration_max_abs_B,realized_calibration_max_abs_H,common_random_numbers,component_strengths
1,100,200,"[1,1,1]",0.6546536707079772,1.7685460791664391,0.65,0.6499999999999774,True,20260807,rank_stress_calibration,"20260807|rank_stress_calibration|1|100|200|(1, 1, 1)|j",24d92c17f0ef935710fb4d037fb8c9ba,951a010d585d9dd26357972624ac702f,50,root_converged,-2.2648549702353193e-14,1.460686320364989,1.7912844546220021,0.3,0.30000000000000004,0.2966039043941587,1.0,1.0,0.85,1.7774613391789282,6.016028281242104,6.016028281242104,0.85,1.6629518025694272,5.2232961262811655,True,"[1.0,1.0]"
1,100,200,"[2,1,1]",0.6546536707079772,0.8184217378518293,0.65,0.6499999999999103,True,20260807,rank_stress_calibration,"20260807|rank_stress_calibration|1|100|200|(2, 1, 1)|j",ea26dc7427c1a3b371a3bd831612b940,3b240899fae851c7d3a45e9b9d6032ed,50,root_converged,-8.970602038971265e-14,0.7920164050192549,0.9712740198471168,0.3,0.30000000000000004,0.30288201245719604,1.0,1.0,0.85,1.7774613391789282,2.784009067618163,2.784009067618163,0.85,1.6596816956712495,2.4244860025775,True,"[1.0,1.0]"
1,100,200,"[1,0,2]",0.7301712917987002,1.0,,0.5401716957631616,False,20260807,rank_stress_calibration,"20260807|rank_stress_calibration|1|100|200|(1, 0, 2)|j",56c21ce91781d14fb79809f6631977b2,fa4f0644ca532acde4cd6ca669b4887d,50,normalization_c_xi_1,,,,0.3,0.30000000000000004,0.3011676639750188,1.0,0.803847577293368,0.85,0.0,3.794081326870647,3.794081326870647,0.85,0.0,3.176436403151147,True,"[1.0,1.0]"
1,200,100,"[1,1,1]",0.6546536707079772,2.0165073757546943,0.65,0.65,True,20260807,rank_stress_calibration,"20260807|rank_stress_calibration|1|200|100|(1, 1, 1)|j",2243928caf034e3eb5441a3e93dbbd70,2a91e61134e5894af42f01527867a0db,50,root_converged,0.0,1.7912844546220021,2.196707090793235,0.3,0.30000000000000004,0.3116002891702009,1.0,1.0,0.85,1.7774613391789282,6.859513328367085,6.859513328367085,0.85,1.6632546399056576,5.995328126026301,True,"[1.0,1.0]"
1,200,100,"[2,1,1]",0.6546536707079772,0.8312433118641462,0.65,0.649999999999421,True,20260807,rank_stress_calibration,"20260807|rank_stress_calibration|1|200|100|(2, 1, 1)|j",957ef2cef1ca2318a85a08937e811d37,1fa1684391906a9f6a8357030bb96148,50,root_converged,-5.789813073420191e-13,0.7920164050192549,0.9712740198471168,0.3,0.30000000000000004,0.2966941136206612,1.0,1.0,0.85,1.7774613391789282,2.827623962800591,2.827623962800591,0.85,1.663148253894261,2.4792155641024967,True,"[1.0,1.0]"
1,200,100,"[1,0,2]",0.7301712917987002,1.0,,0.5333332097445161,False,20260807,rank_stress_calibration,"20260807|rank_stress_calibration|1|200|100|(1, 0, 2)|j",7c8183b77e8cb9a45f8ef570998896f6,a2709ddf134841bdcec8137ac83639d1,50,normalization_c_xi_1,,,,0.3,0.30000000000000004,0.30287467878072005,1.0,0.803847577293368,0.85,0.0,3.794081326870647,3.794081326870647,0.85,0.0,3.083023564945692,True,"[1.0,1.0]"
2,100,200,"[1,1,1]",0.6546536707079772,1.8879275645586047,0.65,0.6500000000000001,True,20260807,rank_stress_calibration,"20260807|rank_stress_calibration|2|100|200|(1, 1, 1)|j",37aa9ab72bd0ef78e333e3a1c85d2da0,ffc5e6136299908da7da89444a69b2b6,50,root_converged,1.1102230246251565e-16,1.7912844546220021,2.196707090793235,0.3,0.30000000000000004,0.30319910898899893,1.0,1.0,0.85,1.7774613391789282,6.4221259231618815,6.4221259231618815,0.85,1.6630395361338022,5.5072214435813684,True,"[1.0,1.0]"
2,100,200,"[2,1,1]",0.6546536707079772,0.8234733334143673,0.65,0.649999999999767,True,20260807,rank_stress_calibration,"20260807|rank_stress_calibration|2|100|200|(2, 1, 1)|j",7dc6bb264385155fa5006f332da1443d,200a77bd71f2420b896398ed7d9915c3,50,root_converged,-2.3303581286882036e-13,0.7920164050192549,0.9712740198471168,0.3,0.30000000000000004,0.30584075075659795,1.0,1.0,0.85,1.7774613391789282,2.801192980510017,2.801192980510017,0.85,1.690578487769572,2.421757673467907,True,"[1.0,1.0]"
2,100,200,"[1,0,2]",0.7301712917987002,1.0,,0.5362176569798055,False,20260807,rank_stress_calibration,"20260807|rank_stress_calibration|2|100|200|(1, 0, 2)|j",492e077aba61524a294750134db7f6da,693a48b94c8ca00c36990141a080b42b,50,normalization_c_xi_1,,,,0.3,0.30000000000000004,0.30041691748090876,1.0,0.803847577293368,0.85,0.0,3.794081326870647,3.794081326870647,0.85,0.0,3.149220162003551,True,"[1.0,1.0]"
2,200,100,"[1,1,1]",0.6546536707079772,1.9395541073587763,0.65,0.6499999999999997,True,20260807,rank_stress_calibration,"20260807|rank_stress_calibration|2|200|100|(1, 1, 1)|j",49345ff3d65a027f84c19adb29c5f20e,1f2f886fa4e164af4f290076cdcf4636,50,root_converged,-3.3306690738754696e-16,1.7912844546220021,2.196707090793235,0.3,0.30000000000000004,0.30598112704427705,1.0,1.0,0.85,1.7774613391789282,6.597742914546678,6.597742914546678,0.85,1.6861310357990937,5.897910590813404,True,"[1.0,1.0]"
