group_dimension,group_value,attempted_replications,failed_finite_objective_count,failed_finite_objective_rate,failed_feasibility_count,failed_feasibility_rate,failed_stationarity_count,failed_stationarity_rate,failed_objective_agreement_count,failed_objective_agreement_rate,failed_boundary_rule_count,failed_boundary_rule_rate,failed_rank_condition_count,failed_rank_condition_rate,failed_termination_count,failed_termination_rate,failed_other_count,failed_other_rate,insufficient_valid_starts_count,insufficient_valid_starts_rate,best_two_valid_gap_exceeds_tolerance_count,best_two_valid_gap_exceeds_tolerance_rate
overall,ALL,180,0,0.0,0,0.0,177,0.9833333333333333,180,1.0,0,0.0,0,0.0,177,0.9833333333333333,0,0.0,177,0.9833333333333333,3,0.016666666666666666
dgp,1,45,0,0.0,0,0.0,45,1.0,45,1.0,0,0.0,0,0.0,45,1.0,0,0.0,45,1.0,0,0.0
dgp,2,45,0,0.0,0,0.0,45,1.0,45,1.0,0,0.0,0,0.0,45,1.0,0,0.0,45,1.0,0,0.0
dgp,3,45,0,0.0,0,0.0,42,0.9333333333333333,45,1.0,0,0.0,0,0.0,42,0.9333333333333333,0,0.0,42,0.9333333333333333,3,0.06666666666666667
dgp,4,45,0,0.0,0,0.0,45,1.0,45,1.0,0,0.0,0,0.0,45,1.0,0,0.0,45,1.0,0,0.0
true_rank,"(1,0,2)",60,0,0.0,0,0.0,60,1.0,60,1.0,0,0.0,0,0.0,60,1.0,0,0.0,60,1.0,0,0.0
true_rank,"(1,1,1)",60,0,0.0,0,0.0,57,0.95,60,1.0,0,0.0,0,0.0,57,0.95,0,0.0,57,0.95,3,0.05
true_rank,"(2,1,1)",60,0,0.0,0,0.0,60,1.0,60,1.0,0,0.0,0,0.0,60,1.0,0,0.0,60,1.0,0,0.0
panel,50|50,36,0,0.0,0,0.0,36,1.0,36,1.0,0,0.0,0,0.0,36,1.0,0,0.0,36,1.0,0,0.0
panel,100|100,36,0,0.0,0,0.0,35,0.9722222222222222,36,1.0,0,0.0,0,0.0,35,0.9722222222222222,0,0.0,35,0.9722222222222222,1,0.027777777777777776
panel,100|200,36,0,0.0,0,0.0,36,1.0,36,1.0,0,0.0,0,0.0,36,1.0,0,0.0,36,1.0,0,0.0
panel,200|100,36,0,0.0,0,0.0,34,0.9444444444444444,36,1.0,0,0.0,0,0.0,34,0.9444444444444444,0,0.0,34,0.9444444444444444,2,0.05555555555555555
panel,200|200,36,0,0.0,0,0.0,36,1.0,36,1.0,0,0.0,0,0.0,36,1.0,0,0.0,36,1.0,0,0.0
chunk,dgp1_N100_T100_true1-0-2_r00000-00002,3,0,0.0,0,0.0,3,1.0,3,1.0,0,0.0,0,0.0,3,1.0,0,0.0,3,1.0,0,0.0
chunk,dgp1_N100_T100_true1-1-1_r00000-00002,3,0,0.0,0,0.0,3,1.0,3,1.0,0,0.0,0,0.0,3,1.0,0,0.0,3,1.0,0,0.0
chunk,dgp1_N100_T100_true2-1-1_r00000-00002,3,0,0.0,0,0.0,3,1.0,3,1.0,0,0.0,0,0.0,3,1.0,0,0.0,3,1.0,0,0.0
chunk,dgp1_N100_T200_true1-0-2_r00000-00002,3,0,0.0,0,0.0,3,1.0,3,1.0,0,0.0,0,0.0,3,1.0,0,0.0,3,1.0,0,0.0
chunk,dgp1_N100_T200_true1-1-1_r00000-00002,3,0,0.0,0,0.0,3,1.0,3,1.0,0,0.0,0,0.0,3,1.0,0,0.0,3,1.0,0,0.0
chunk,dgp1_N100_T200_true2-1-1_r00000-00002,3,0,0.0,0,0.0,3,1.0,3,1.0,0,0.0,0,0.0,3,1.0,0,0.0,3,1.0,0,0.0
chunk,dgp1_N200_T100_true1-0-2_r00000-00002,3,0,0.0,0,0.0,3,1.0,3,1.0,0,0.0,0,0.0,3,1.0,0,0.0,3,1.0,0,0.0
chunk,dgp1_N200_T100_true1-1-1_r00000-00002,3,0,0.0,0,0.0,3,1.0,3,1.0,0,0.0,0,0.0,3,1.0,0,0.0,3,1.0,0,0.0
chunk,dgp1_N200_T100_true2-1-1_r00000-00002,3,0,0.0,0,0.0,3,1.0,3,1.0,0,0.0,0,0.0,3,1.0,0,0.0,3,1.0,0,0.0
chunk,dgp1_N200_T200_true1-0-2_r00000-00002,3,0,0.0,0,0.0,3,1.0,3,1.0,0,0.0,0,0.0,3,1.0,0,0.0,3,1.0,0,0.0
chunk,dgp1_N200_T200_true1-1-1_r00000-00002,3,0,0.0,0,0.0,3,1.0,3,1.0,0,0.0,0,0.0,3,1.0,0,0.0,3,1.0,0,0.0
chunk,dgp1_N200_T200_true2-1-1_r00000-00002,3,0,0.0,0,0.0,3,1.0,3,1.0,0,0.0,0,0.0,3,1.0,0,0.0,3,1.0,0,0.0
chunk,dgp1_N50_T50_true1-0-2_r00000-00002,3,0,0.0,0,0.0,3,1.0,3,1.0,0,0.0,0,0.0,3,1.0,0,0.0,3,1.0,0,0.0
chunk,dgp1_N50_T50_true1-1-1_r00000-00002,3,0,0.0,0,0.0,3,1.0,3,1.0,0,0.0,0,0.0,3,1.0,0,0.0,3,1.0,0,0.0
chunk,dgp1_N50_T50_true2-1-1_r00000-00002,3,0,0.0,0,0.0,3,1.0,3,1.0,0,0.0,0,0.0,3,1.0,0,0.0,3,1.0,0,0.0
chunk,dgp2_N100_T100_true1-0-2_r00000-00002,3,0,0.0,0,0.0,3,1.0,3,1.0,0,0.0,0,0.0,3,1.0,0,0.0,3,1.0,0,0.0
chunk,dgp2_N100_T100_true1-1-1_r00000-00002,3,0,0.0,0,0.0,3,1.0,3,1.0,0,0.0,0,0.0,3,1.0,0,0.0,3,1.0,0,0.0
chunk,dgp2_N100_T100_true2-1-1_r00000-00002,3,0,0.0,0,0.0,3,1.0,3,1.0,0,0.0,0,0.0,3,1.0,0,0.0,3,1.0,0,0.0
chunk,dgp2_N100_T200_true1-0-2_r00000-00002,3,0,0.0,0,0.0,3,1.0,3,1.0,0,0.0,0,0.0,3,1.0,0,0.0,3,1.0,0,0.0
chunk,dgp2_N100_T200_true1-1-1_r00000-00002,3,0,0.0,0,0.0,3,1.0,3,1.0,0,0.0,0,0.0,3,1.0,0,0.0,3,1.0,0,0.0
chunk,dgp2_N100_T200_true2-1-1_r00000-00002,3,0,0.0,0,0.0,3,1.0,3,1.0,0,0.0,0,0.0,3,1.0,0,0.0,3,1.0,0,0.0
chunk,dgp2_N200_T100_true1-0-2_r00000-00002,3,0,0.0,0,0.0,3,1.0,3,1.0,0,0.0,0,0.0,3,1.0,0,0.0,3,1.0,0,0.0
chunk,dgp2_N200_T100_true1-1-1_r00000-00002,3,0,0.0,0,0.0,3,1.0,3,1.0,0,0.0,0,0.0,3,1.0,0,0.0,3,1.0,0,0.0
chunk,dgp2_N200_T100_true2-1-1_r00000-00002,3,0,0.0,0,0.0,3,1.0,3,1.0,0,0.0,0,0.0,3,1.0,0,0.0,3,1.0,0,0.0
chunk,dgp2_N200_T200_true1-0-2_r00000-00002,3,0,0.0,0,0.0,3,1.0,3,1.0,0,0.0,0,0.0,3,1.0,0,0.0,3,1.0,0,0.0
chunk,dgp2_N200_T200_true1-1-1_r00000-00002,3,0,0.0,0,0.0,3,1.0,3,1.0,0,0.0,0,0.0,3,1.0,0,0.0,3,1.0,0,0.0
chunk,dgp2_N200_T200_true2-1-1_r00000-00002,3,0,0.0,0,0.0,3,1.0,3,1.0,0,0.0,0,0.0,3,1.0,0,0.0,3,1.0,0,0.0
chunk,dgp2_N50_T50_true1-0-2_r00000-00002,3,0,0.0,0,0.0,3,1.0,3,1.0,0,0.0,0,0.0,3,1.0,0,0.0,3,1.0,0,0.0
chunk,dgp2_N50_T50_true1-1-1_r00000-00002,3,0,0.0,0,0.0,3,1.0,3,1.0,0,0.0,0,0.0,3,1.0,0,0.0,3,1.0,0,0.0
chunk,dgp2_N50_T50_true2-1-1_r00000-00002,3,0,0.0,0,0.0,3,1.0,3,1.0,0,0.0,0,0.0,3,1.0,0,0.0,3,1.0,0,0.0
chunk,dgp3_N100_T100_true1-0-2_r00000-00002,3,0,0.0,0,0.0,3,1.0,3,1.0,0,0.0,0,0.0,3,1.0,0,0.0,3,1.0,0,0.0
chunk,dgp3_N100_T100_true1-1-1_r00000-00002,3,0,0.0,0,0.0,2,0.6666666666666666,3,1.0,0,0.0,0,0.0,2,0.6666666666666666,0,0.0,2,0.6666666666666666,1,0.3333333333333333
chunk,dgp3_N100_T100_true2-1-1_r00000-00002,3,0,0.0,0,0.0,3,1.0,3,1.0,0,0.0,0,0.0,3,1.0,0,0.0,3,1.0,0,0.0
chunk,dgp3_N100_T200_true1-0-2_r00000-00002,3,0,0.0,0,0.0,3,1.0,3,1.0,0,0.0,0,0.0,3,1.0,0,0.0,3,1.0,0,0.0
chunk,dgp3_N100_T200_true1-1-1_r00000-00002,3,0,0.0,0,0.0,3,1.0,3,1.0,0,0.0,0,0.0,3,1.0,0,0.0,3,1.0,0,0.0
chunk,dgp3_N100_T200_true2-1-1_r00000-00002,3,0,0.0,0,0.0,3,1.0,3,1.0,0,0.0,0,0.0,3,1.0,0,0.0,3,1.0,0,0.0
chunk,dgp3_N200_T100_true1-0-2_r00000-00002,3,0,0.0,0,0.0,3,1.0,3,1.0,0,0.0,0,0.0,3,1.0,0,0.0,3,1.0,0,0.0
chunk,dgp3_N200_T100_true1-1-1_r00000-00002,3,0,0.0,0,0.0,1,0.3333333333333333,3,1.0,0,0.0,0,0.0,1,0.3333333333333333,0,0.0,1,0.3333333333333333,2,0.6666666666666666
chunk,dgp3_N200_T100_true2-1-1_r00000-00002,3,0,0.0,0,0.0,3,1.0,3,1.0,0,0.0,0,0.0,3,1.0,0,0.0,3,1.0,0,0.0
chunk,dgp3_N200_T200_true1-0-2_r00000-00002,3,0,0.0,0,0.0,3,1.0,3,1.0,0,0.0,0,0.0,3,1.0,0,0.0,3,1.0,0,0.0
chunk,dgp3_N200_T200_true1-1-1_r00000-00002,3,0,0.0,0,0.0,3,1.0,3,1.0,0,0.0,0,0.0,3,1.0,0,0.0,3,1.0,0,0.0
chunk,dgp3_N200_T200_true2-1-1_r00000-00002,3,0,0.0,0,0.0,3,1.0,3,1.0,0,0.0,0,0.0,3,1.0,0,0.0,3,1.0,0,0.0
chunk,dgp3_N50_T50_true1-0-2_r00000-00002,3,0,0.0,0,0.0,3,1.0,3,1.0,0,0.0,0,0.0,3,1.0,0,0.0,3,1.0,0,0.0
chunk,dgp3_N50_T50_true1-1-1_r00000-00002,3,0,0.0,0,0.0,3,1.0,3,1.0,0,0.0,0,0.0,3,1.0,0,0.0,3,1.0,0,0.0
chunk,dgp3_N50_T50_true2-1-1_r00000-00002,3,0,0.0,0,0.0,3,1.0,3,1.0,0,0.0,0,0.0,3,1.0,0,0.0,3,1.0,0,0.0
chunk,dgp4_N100_T100_true1-0-2_r00000-00002,3,0,0.0,0,0.0,3,1.0,3,1.0,0,0.0,0,0.0,3,1.0,0,0.0,3,1.0,0,0.0
chunk,dgp4_N100_T100_true1-1-1_r00000-00002,3,0,0.0,0,0.0,3,1.0,3,1.0,0,0.0,0,0.0,3,1.0,0,0.0,3,1.0,0,0.0
chunk,dgp4_N100_T100_true2-1-1_r00000-00002,3,0,0.0,0,0.0,3,1.0,3,1.0,0,0.0,0,0.0,3,1.0,0,0.0,3,1.0,0,0.0
chunk,dgp4_N100_T200_true1-0-2_r00000-00002,3,0,0.0,0,0.0,3,1.0,3,1.0,0,0.0,0,0.0,3,1.0,0,0.0,3,1.0,0,0.0
chunk,dgp4_N100_T200_true1-1-1_r00000-00002,3,0,0.0,0,0.0,3,1.0,3,1.0,0,0.0,0,0.0,3,1.0,0,0.0,3,1.0,0,0.0
chunk,dgp4_N100_T200_true2-1-1_r00000-00002,3,0,0.0,0,0.0,3,1.0,3,1.0,0,0.0,0,0.0,3,1.0,0,0.0,3,1.0,0,0.0
chunk,dgp4_N200_T100_true1-0-2_r00000-00002,3,0,0.0,0,0.0,3,1.0,3,1.0,0,0.0,0,0.0,3,1.0,0,0.0,3,1.0,0,0.0
chunk,dgp4_N200_T100_true1-1-1_r00000-00002,3,0,0.0,0,0.0,3,1.0,3,1.0,0,0.0,0,0.0,3,1.0,0,0.0,3,1.0,0,0.0
chunk,dgp4_N200_T100_true2-1-1_r00000-00002,3,0,0.0,0,0.0,3,1.0,3,1.0,0,0.0,0,0.0,3,1.0,0,0.0,3,1.0,0,0.0
chunk,dgp4_N200_T200_true1-0-2_r00000-00002,3,0,0.0,0,0.0,3,1.0,3,1.0,0,0.0,0,0.0,3,1.0,0,0.0,3,1.0,0,0.0
chunk,dgp4_N200_T200_true1-1-1_r00000-00002,3,0,0.0,0,0.0,3,1.0,3,1.0,0,0.0,0,0.0,3,1.0,0,0.0,3,1.0,0,0.0
chunk,dgp4_N200_T200_true2-1-1_r00000-00002,3,0,0.0,0,0.0,3,1.0,3,1.0,0,0.0,0,0.0,3,1.0,0,0.0,3,1.0,0,0.0
chunk,dgp4_N50_T50_true1-0-2_r00000-00002,3,0,0.0,0,0.0,3,1.0,3,1.0,0,0.0,0,0.0,3,1.0,0,0.0,3,1.0,0,0.0
chunk,dgp4_N50_T50_true1-1-1_r00000-00002,3,0,0.0,0,0.0,3,1.0,3,1.0,0,0.0,0,0.0,3,1.0,0,0.0,3,1.0,0,0.0
chunk,dgp4_N50_T50_true2-1-1_r00000-00002,3,0,0.0,0,0.0,3,1.0,3,1.0,0,0.0,0,0.0,3,1.0,0,0.0,3,1.0,0,0.0
