semantic_replication_id,dgp,N,T,true_rank,replication,finite_start_count,box_feasible_start_count,constrained_fallback_start_count,boundary_active_start_count,any_boundary_active,selected_best_pilot_boundary_active,maximum_constraint_violation,maximum_coefficient_envelope_ratio,maximum_absolute_coefficient,B,literal_box_rejection
dgp1_N100_T100_r00000_truth1-0-2,1,100,100,"(1,0,2)",0,3,3,1,1,True,False,3.552713678800501e-15,1.0000000000000004,10.000000000000004,10.0,False
dgp1_N100_T100_r00000_truth1-1-1,1,100,100,"(1,1,1)",0,3,3,2,2,True,True,1.7763568394002505e-15,1.0000000000000002,10.000000000000002,10.0,False
dgp1_N100_T100_r00000_truth2-1-1,1,100,100,"(2,1,1)",0,3,3,0,0,False,False,0.0,0.5843253211237448,5.843253211237448,10.0,False
dgp1_N100_T100_r00001_truth1-0-2,1,100,100,"(1,0,2)",1,3,3,3,3,True,True,1.7763568394002505e-15,1.0000000000000002,10.000000000000002,10.0,False
dgp1_N100_T100_r00001_truth1-1-1,1,100,100,"(1,1,1)",1,3,3,3,3,True,True,1.7763568394002505e-15,1.0000000000000002,10.000000000000002,10.0,False
dgp1_N100_T100_r00001_truth2-1-1,1,100,100,"(2,1,1)",1,3,3,0,0,False,False,0.0,0.5892782321518764,5.892782321518764,10.0,False
dgp1_N100_T100_r00002_truth1-0-2,1,100,100,"(1,0,2)",2,3,3,1,0,False,False,0.0,0.960615756652752,9.60615756652752,10.0,False
dgp1_N100_T100_r00002_truth1-1-1,1,100,100,"(1,1,1)",2,3,3,3,3,True,True,1.7763568394002505e-15,1.0000000000000002,10.000000000000002,10.0,False
dgp1_N100_T100_r00002_truth2-1-1,1,100,100,"(2,1,1)",2,3,3,1,1,True,False,1.7763568394002505e-15,1.0000000000000002,10.000000000000002,10.0,False
dgp1_N100_T200_r00000_truth1-0-2,1,100,200,"(1,0,2)",0,3,3,1,1,True,True,0.0,1.0,10.0,10.0,False
dgp1_N100_T200_r00000_truth1-1-1,1,100,200,"(1,1,1)",0,3,3,3,3,True,True,1.7763568394002505e-15,1.0000000000000002,10.000000000000002,10.0,False
dgp1_N100_T200_r00000_truth2-1-1,1,100,200,"(2,1,1)",0,3,3,1,1,True,True,0.0,1.0,10.0,10.0,False
dgp1_N100_T200_r00001_truth1-0-2,1,100,200,"(1,0,2)",1,3,3,0,0,False,False,0.0,0.8201155564436347,8.201155564436347,10.0,False
dgp1_N100_T200_r00001_truth1-1-1,1,100,200,"(1,1,1)",1,3,3,1,1,True,True,0.0,1.0,10.0,10.0,False
dgp1_N100_T200_r00001_truth2-1-1,1,100,200,"(2,1,1)",1,3,3,0,0,False,False,0.0,0.7443544968011162,7.443544968011162,10.0,False
dgp1_N100_T200_r00002_truth1-0-2,1,100,200,"(1,0,2)",2,3,3,0,0,False,False,0.0,0.6688446713880445,6.688446713880445,10.0,False
dgp1_N100_T200_r00002_truth1-1-1,1,100,200,"(1,1,1)",2,3,3,1,1,True,True,1.7763568394002505e-15,1.0000000000000002,10.000000000000002,10.0,False
dgp1_N100_T200_r00002_truth2-1-1,1,100,200,"(2,1,1)",2,3,3,0,0,False,False,0.0,0.6790547416293324,6.790547416293324,10.0,False
dgp1_N200_T100_r00000_truth1-0-2,1,200,100,"(1,0,2)",0,3,3,1,1,True,True,0.0,1.0,10.0,10.0,False
dgp1_N200_T100_r00000_truth1-1-1,1,200,100,"(1,1,1)",0,3,3,1,1,True,True,0.0,1.0,10.0,10.0,False
dgp1_N200_T100_r00000_truth2-1-1,1,200,100,"(2,1,1)",0,3,3,0,0,False,False,0.0,0.44883834999327066,4.488383499932707,10.0,False
dgp1_N200_T100_r00001_truth1-0-2,1,200,100,"(1,0,2)",1,3,3,0,0,False,False,0.0,0.665450016389282,6.65450016389282,10.0,False
dgp1_N200_T100_r00001_truth1-1-1,1,200,100,"(1,1,1)",1,3,3,3,2,True,True,1.7763568394002505e-15,1.0000000000000002,10.000000000000002,10.0,False
dgp1_N200_T100_r00001_truth2-1-1,1,200,100,"(2,1,1)",1,3,3,0,0,False,False,0.0,0.6866615869547589,6.866615869547589,10.0,False
dgp1_N200_T100_r00002_truth1-0-2,1,200,100,"(1,0,2)",2,3,3,1,0,False,False,0.0,0.8462875903458095,8.462875903458094,10.0,False
dgp1_N200_T100_r00002_truth1-1-1,1,200,100,"(1,1,1)",2,3,3,2,1,True,True,1.7763568394002505e-15,1.0000000000000002,10.000000000000002,10.0,False
dgp1_N200_T100_r00002_truth2-1-1,1,200,100,"(2,1,1)",2,3,3,0,0,False,False,0.0,0.4602316502420291,4.602316502420291,10.0,False
dgp1_N200_T200_r00000_truth1-0-2,1,200,200,"(1,0,2)",0,3,3,0,0,False,False,0.0,0.6079452756934444,6.079452756934444,10.0,False
dgp1_N200_T200_r00000_truth1-1-1,1,200,200,"(1,1,1)",0,3,3,0,0,False,False,0.0,0.7395572964176711,7.395572964176711,10.0,False
dgp1_N200_T200_r00000_truth2-1-1,1,200,200,"(2,1,1)",0,3,3,0,0,False,False,0.0,0.38542155748808893,3.8542155748808895,10.0,False
