semantic_replication_id,dgp,N,T,true_rank,replication,start_1_objective,start_2_objective,start_3_objective,best_finite_objective,worst_finite_objective,absolute_objective_spread_all_finite,relative_objective_spread_all_finite,best_start_number,valid_start_count,best_valid_objective,second_valid_objective,worst_accepted_finite_objective,best_two_valid_objective_gap,objective_agreement_tolerance,same_solution_all_starts_under_tolerance,objective_agreement_pass
dgp1_N100_T100_r00000_truth1-0-2,1,100,100,"(1,0,2)",0,0.2868712502707119,0.2881256321451856,0.28661667979775196,0.28661667979775196,0.2881256321451856,0.0015089523474336453,0.0015089523474336453,3,0,,,,,1e-06,False,False
dgp1_N100_T100_r00000_truth1-1-1,1,100,100,"(1,1,1)",0,0.8868499829995964,0.8894867458179211,0.888216557945322,0.8868499829995964,0.8894867458179211,0.0026367628183247005,0.0026367628183247005,1,0,,,,,1e-06,False,False
dgp1_N100_T100_r00000_truth2-1-1,1,100,100,"(2,1,1)",0,0.21280491426943682,0.2137990201460093,0.21517659326735233,0.21280491426943682,0.21517659326735233,0.002371678997915516,0.002371678997915516,1,0,,,,,1e-06,False,False
dgp1_N100_T100_r00001_truth1-0-2,1,100,100,"(1,0,2)",1,0.29044720399054225,0.2894992922000816,0.29057621029732805,0.2894992922000816,0.29057621029732805,0.001076918097246471,0.001076918097246471,2,1,0.2894992922000816,,0.2894992922000816,,1e-06,False,False
dgp1_N100_T100_r00001_truth1-1-1,1,100,100,"(1,1,1)",1,0.926321574935922,0.9213406310359329,0.9265969366201127,0.9213406310359329,0.9265969366201127,0.005256305584179777,0.005256305584179777,2,1,0.9213406310359329,,0.9213406310359329,,1e-06,False,False
dgp1_N100_T100_r00001_truth2-1-1,1,100,100,"(2,1,1)",1,0.20018994025743633,0.2020756013577427,0.20083298772872607,0.20018994025743633,0.2020756013577427,0.0018856611003063573,0.0018856611003063573,1,0,,,,,1e-06,False,False
dgp1_N100_T100_r00002_truth1-0-2,1,100,100,"(1,0,2)",2,0.2973927467655878,0.2974726095891963,0.2971622226276178,0.2971622226276178,0.2974726095891963,0.00031038696157847934,0.00031038696157847934,3,0,,,,,1e-06,False,False
dgp1_N100_T100_r00002_truth1-1-1,1,100,100,"(1,1,1)",2,0.9597891598272581,0.9633792355733629,0.9562960030065897,0.9562960030065897,0.9633792355733629,0.007083232566773234,0.007083232566773234,3,1,0.9562960030065897,,0.9562960030065897,,1e-06,False,False
dgp1_N100_T100_r00002_truth2-1-1,1,100,100,"(2,1,1)",2,0.19937193304972606,0.2002464285437459,0.19964605930543752,0.19937193304972606,0.2002464285437459,0.0008744954940198557,0.0008744954940198557,1,0,,,,,1e-06,False,False
dgp1_N100_T200_r00000_truth1-0-2,1,100,200,"(1,0,2)",0,0.33243802786099524,0.33295091429537244,0.3320062147470428,0.3320062147470428,0.33295091429537244,0.0009446995483296527,0.0009446995483296527,3,0,,,,,1e-06,False,False
dgp1_N100_T200_r00000_truth1-1-1,1,100,200,"(1,1,1)",0,1.1035032617251355,1.0972906549614765,1.1000023951501716,1.0972906549614765,1.1035032617251355,0.006212606763658979,0.005661769500695411,2,1,1.0972906549614765,,1.0972906549614765,,1e-06,False,False
dgp1_N100_T200_r00000_truth2-1-1,1,100,200,"(2,1,1)",0,0.23772506741124672,0.2382564032213977,0.23734561218596217,0.23734561218596217,0.2382564032213977,0.0009107910354355375,0.0009107910354355375,3,1,0.23772506741124672,,0.23772506741124672,,1e-06,False,False
dgp1_N100_T200_r00001_truth1-0-2,1,100,200,"(1,0,2)",1,0.36336278517990833,0.36137268966863,0.3619521679885533,0.36137268966863,0.36336278517990833,0.0019900955112783225,0.0019900955112783225,2,0,,,,,1e-06,False,False
