group_dimension,group_value,task_count,sum_task_runtime_seconds,fastest_task_seconds,p05_task_seconds,median_task_seconds,p95_task_seconds,slowest_task_seconds,fastest_task_id,slowest_task_id,sum_pilot_start_runtime_seconds,pilot_share_of_task_runtime,total_wall_seconds_including_interruption_resume
overall,ALL,180,106270.2355176,28.053404600010253,39.25628583499638,485.34709529999964,2070.226603589998,3471.824657799996,dgp4_N100_T100_r00001_truth1-0-2,dgp1_N100_T200_r00000_truth1-1-1,104455.62877300005,0.982924600328947,9936.38369
dgp,1,45,30372.461393300015,29.899656399997184,44.97670601999853,479.2473645999999,2104.2024448399984,3471.824657799996,dgp1_N100_T100_r00001_truth2-1-1,dgp1_N100_T200_r00000_truth1-1-1,29942.292081600026,0.9858368636598257,
dgp,2,45,24567.272662499985,32.408229399996344,38.67971211999829,409.74249819999386,1948.721212559997,2365.218249700003,dgp2_N100_T100_r00002_truth1-1-1,dgp2_N200_T100_r00000_truth1-1-1,24134.939797399973,0.9824020813771512,
dgp,3,45,27122.82479659997,33.46232120000059,46.8425977399922,511.31894450000254,2085.417456039994,2749.574791499996,dgp3_N100_T100_r00000_truth2-1-1,dgp3_N200_T100_r00002_truth1-1-1,26594.7306973,0.9805295317408765,
dgp,4,45,24207.67666520003,28.053404600010253,35.15635971999145,492.52449880000495,1801.036192679994,2642.604798900007,dgp4_N100_T100_r00001_truth1-0-2,dgp4_N100_T200_r00002_truth1-1-1,23783.666196700047,0.9824844624965797,
true_rank,"(1,0,2)",60,21800.688289000027,28.053404600010253,44.88975757500375,287.8718649499933,833.9301276849937,1361.7725578999962,dgp4_N100_T100_r00001_truth1-0-2,dgp1_N100_T100_r00001_truth1-0-2,21340.587779700043,0.9788951383919315,
true_rank,"(1,1,1)",60,72320.17643759996,32.408229399996344,59.94343789499981,1013.0877922,2647.953298530006,3471.824657799996,dgp2_N100_T100_r00002_truth1-1-1,dgp1_N100_T200_r00000_truth1-1-1,71200.17111329999,0.9845132384976086,
true_rank,"(2,1,1)",60,12149.370791000008,29.899656399997184,33.45316477500019,65.1279563499993,669.207127715004,753.0934039999993,dgp1_N100_T100_r00001_truth2-1-1,dgp1_N50_T50_r00000_truth2-1-1,11914.869880000013,0.9806985139367292,
panel,50|50,36,26272.500472400017,498.2327174999955,508.50932450000255,735.5676032999982,962.9535995500063,977.426918899997,dgp2_N50_T50_r00002_truth2-1-1,dgp3_N50_T50_r00001_truth1-1-1,25798.28718840007,0.9819502036169675,
panel,100|100,36,24644.37355359993,28.053404600010253,31.781086149996554,501.43089019999024,2071.856852349998,2120.0342189999938,dgp4_N100_T100_r00001_truth1-0-2,dgp3_N100_T100_r00000_truth1-1-1,24226.29328519993,0.9830354678121275,
panel,100|200,36,22003.324092999996,43.07369199999084,45.24371189999875,58.99445659999765,2405.354787824996,3471.824657799996,dgp4_N100_T200_r00001_truth1-1-1,dgp1_N100_T200_r00000_truth1-1-1,21635.09841050009,0.9832649975547535,
panel,200|100,36,23547.154179700025,44.903867400003946,45.090215900007024,112.95701405,2461.307385150001,3072.954782100001,dgp2_N200_T100_r00001_truth1-0-2,dgp1_N200_T100_r00001_truth1-1-1,23124.04310930003,0.9820313288318825,
panel,200|200,36,9802.883218900031,60.44461299999966,61.71875840000394,73.7236658000038,1621.617930649998,1996.6749916000044,dgp1_N200_T200_r00000_truth1-1-1,dgp4_N200_T200_r00000_truth1-1-1,9671.906779599929,0.9866389881042774,
