semantic_replication_id,dgp,N,T,replication,true_rank_vector,total_starts,individually_valid_starts,interior_path_successes,constrained_path_successes,stationarity_or_kkt_failures,boundary_active_starts,objective_spread_all_starts,best_valid_pair_normalized_gap,objective_stability_pass,pilot_accepted,primary_status
dgp1_N50_T50_r00000_truth1-0-2,1,50,50,0,"(1,0,2)",3,0,0,0,3,2,0.013276505493812901,,False,False,rank_selection_numerically_unresolved
dgp1_N50_T50_r00001_truth1-0-2,1,50,50,1,"(1,0,2)",3,0,0,0,3,3,0.0036414449958560025,,False,False,rank_selection_numerically_unresolved
dgp1_N50_T50_r00002_truth1-0-2,1,50,50,2,"(1,0,2)",3,0,0,0,3,3,0.004164634199857686,,False,False,rank_selection_numerically_unresolved
dgp1_N50_T50_r00000_truth1-1-1,1,50,50,0,"(1,1,1)",3,0,0,0,3,3,0.012190115870710727,,False,False,rank_selection_numerically_unresolved
dgp1_N50_T50_r00001_truth1-1-1,1,50,50,1,"(1,1,1)",3,0,0,0,3,3,0.01847978502570119,,False,False,rank_selection_numerically_unresolved
dgp1_N50_T50_r00002_truth1-1-1,1,50,50,2,"(1,1,1)",3,0,0,0,3,3,0.01858512671667939,,False,False,rank_selection_numerically_unresolved
dgp1_N50_T50_r00000_truth2-1-1,1,50,50,0,"(2,1,1)",3,0,0,0,3,2,0.004631134081742233,,False,False,rank_selection_numerically_unresolved
dgp1_N50_T50_r00001_truth2-1-1,1,50,50,1,"(2,1,1)",3,0,0,0,3,3,0.007845785650983525,,False,False,rank_selection_numerically_unresolved
dgp1_N50_T50_r00002_truth2-1-1,1,50,50,2,"(2,1,1)",3,0,0,0,3,3,0.003924753859981048,,False,False,rank_selection_numerically_unresolved
dgp1_N100_T100_r00000_truth1-0-2,1,100,100,0,"(1,0,2)",3,0,0,0,3,1,0.004657521055838221,,False,False,rank_selection_numerically_unresolved
dgp1_N100_T100_r00001_truth1-0-2,1,100,100,1,"(1,0,2)",3,0,0,0,3,1,0.0020710187221840703,,False,False,rank_selection_numerically_unresolved
dgp1_N100_T100_r00002_truth1-0-2,1,100,100,2,"(1,0,2)",3,0,0,0,3,0,0.0014951561194477825,,False,False,rank_selection_numerically_unresolved
dgp1_N100_T100_r00000_truth1-1-1,1,100,100,0,"(1,1,1)",3,2,0,2,1,3,0.009465622799284756,0.0016358127345673656,False,False,rank_selection_numerically_unresolved
dgp1_N100_T100_r00001_truth1-1-1,1,100,100,1,"(1,1,1)",3,1,0,1,2,3,0.005823938783219074,,False,False,rank_selection_numerically_unresolved
