design,rank_stress,dgp,n,t,true_rank_vector,c_h,c_xi,intended_r2,achieved_r2,r2_scale_identified,pi_h,realized_calibration_h_share,population_var_u_tilde,population_var_h_raw,C_A,C_beta,C_H,C_Theta,calibration_seed,calibration_draws
baseline,False,1,50,50,"1,1,1",0.6546536707079772,1.8451414115382054,0.65,0.6499999999981995,True,0.30000000000000004,0.30592372303427573,1.0,1.0,0.85,2.031384387633061,6.276581111155855,6.276581111155855,20260807,50
baseline,False,1,100,100,"1,1,1",0.6546536707079772,1.942703845041696,0.65,0.6499999999999995,True,0.30000000000000004,0.3022198369289034,1.0,1.0,0.85,2.031384387633061,6.608457315037656,6.608457315037656,20260807,50
baseline,False,1,200,200,"1,1,1",0.6546536707079772,1.7750833019902188,0.65,0.6499999999999961,True,0.30000000000000004,0.2942445351331884,1.0,1.0,0.85,2.031384387633061,6.038265823057907,6.038265823057907,20260807,50
baseline,False,1,400,400,"1,1,1",0.6546536707079772,1.7846328890382204,0.65,0.6499999999999999,True,0.30000000000000004,0.29751831223498837,1.0,1.0,0.85,2.031384387633061,6.070750464782391,6.070750464782391,20260807,50
rank_stress,True,1,50,50,"1,1,1",0.6546536707079772,1.8403718390741428,0.65,0.6499999999988917,True,0.30000000000000004,0.30054572086736187,1.0,1.0,0.85,2.031384387633061,6.260356550670126,6.260356550670126,20260807,50
rank_stress,True,1,50,50,"2,1,1",0.6546536707079772,0.8354303941512737,0.65,0.6499999999991776,True,0.30000000000000004,0.29332654427530935,1.0,1.0,0.85,2.031384387633061,2.8418670779514943,2.8418670779514943,20260807,50
rank_stress,True,1,50,50,"1,0,2",0.7301712917987002,1.0,0.65,0.5344056654315995,False,0.30000000000000004,0.305339266509757,1.0,0.803847577293368,0.85,0.0,3.794081326870647,3.794081326870647,20260807,50
rank_stress,True,1,100,100,"1,1,1",0.6546536707079772,1.7826091034371454,0.65,0.6499999999999999,True,0.30000000000000004,0.29720548800218344,1.0,1.0,0.85,2.031384387633061,6.063866193258645,6.063866193258645,20260807,50
rank_stress,True,1,100,100,"2,1,1",0.6546536707079772,0.8231633624629188,0.65,0.649999999999812,True,0.30000000000000004,0.29754092157113093,1.0,1.0,0.85,2.031384387633061,2.8001385584442047,2.8001385584442047,20260807,50
rank_stress,True,1,100,100,"1,0,2",0.7301712917987002,1.0,0.65,0.5393014964428011,False,0.30000000000000004,0.3032178405273253,1.0,0.803847577293368,0.85,0.0,3.794081326870647,3.794081326870647,20260807,50
rank_stress,True,1,200,200,"1,1,1",0.6546536707079772,1.9409262896852184,0.65,0.6499999999999996,True,0.30000000000000004,0.3063371585696898,1.0,1.0,0.85,2.031384387633061,6.602410640075655,6.602410640075655,20260807,50
rank_stress,True,1,200,200,"2,1,1",0.6546536707079772,0.8295372259918657,0.65,0.6499999999995083,True,0.30000000000000004,0.3008196244251713,1.0,1.0,0.85,2.031384387633061,2.821820404171966,2.821820404171966,20260807,50
rank_stress,True,1,200,200,"1,0,2",0.7301712917987002,1.0,0.65,0.5286137848435728,False,0.30000000000000004,0.29648379598033525,1.0,0.803847577293368,0.85,0.0,3.794081326870647,3.794081326870647,20260807,50
baseline,False,2,50,50,"1,1,1",0.6546536707079772,1.7637507666211538,0.65,0.6499999999999599,True,0.30000000000000004,0.294004830617858,1.0,1.0,0.85,2.031384387633061,5.999716161230263,5.999716161230263,20260807,50
baseline,False,2,100,100,"1,1,1",0.6546536707079772,1.8615802982054275,0.65,0.6500000000022743,True,0.30000000000000004,0.30255360521627933,1.0,1.0,0.85,2.031384387633061,6.33250094738017,6.33250094738017,20260807,50
baseline,False,2,200,200,"1,1,1",0.6546536707079772,1.8379999774164748,0.65,0.6499999999991628,True,0.30000000000000004,0.2974883400113511,1.0,1.0,0.85,2.031384387633061,6.252288235696705,6.252288235696705,20260807,50
baseline,False,2,400,400,"1,1,1",0.6546536707079772,1.8384726560310767,0.65,0.6499999999990921,True,0.30000000000000004,0.2991469366282057,1.0,1.0,0.85,2.031384387633061,6.253896137207941,6.253896137207941,20260807,50
rank_stress,True,2,50,50,"1,1,1",0.6546536707079772,1.7738865473681562,0.65,0.6499999999999947,True,0.30000000000000004,0.2964017052592398,1.0,1.0,0.85,2.031384387633061,6.034194846487464,6.034194846487464,20260807,50
rank_stress,True,2,50,50,"2,1,1",0.6546536707079772,0.8250809825569785,0.65,0.6499999999997722,True,0.30000000000000004,0.29898385900295965,1.0,1.0,0.85,2.031384387633061,2.8066616888587537,2.8066616888587537,20260807,50
rank_stress,True,2,50,50,"1,0,2",0.7301712917987002,1.0,0.65,0.5303490191087232,False,0.30000000000000004,0.300554756884874,1.0,0.803847577293368,0.85,0.0,3.794081326870647,3.794081326870647,20260807,50
