design,dgp,n,t,true_rank_vector,C_A,C_beta,C_H,C_Theta
baseline,1,50,50,"1,1,1",0.85,2.031384387633061,6.276581111155855,6.276581111155855
baseline,1,100,100,"1,1,1",0.85,2.031384387633061,6.608457315037656,6.608457315037656
baseline,1,200,200,"1,1,1",0.85,2.031384387633061,6.038265823057907,6.038265823057907
baseline,1,400,400,"1,1,1",0.85,2.031384387633061,6.070750464782391,6.070750464782391
rank_stress,1,50,50,"1,1,1",0.85,2.031384387633061,6.260356550670126,6.260356550670126
rank_stress,1,50,50,"2,1,1",0.85,2.031384387633061,2.8418670779514943,2.8418670779514943
rank_stress,1,50,50,"1,0,2",0.85,0.0,3.794081326870647,3.794081326870647
rank_stress,1,100,100,"1,1,1",0.85,2.031384387633061,6.063866193258645,6.063866193258645
rank_stress,1,100,100,"2,1,1",0.85,2.031384387633061,2.8001385584442047,2.8001385584442047
rank_stress,1,100,100,"1,0,2",0.85,0.0,3.794081326870647,3.794081326870647
rank_stress,1,200,200,"1,1,1",0.85,2.031384387633061,6.602410640075655,6.602410640075655
rank_stress,1,200,200,"2,1,1",0.85,2.031384387633061,2.821820404171966,2.821820404171966
rank_stress,1,200,200,"1,0,2",0.85,0.0,3.794081326870647,3.794081326870647
baseline,2,50,50,"1,1,1",0.85,2.031384387633061,5.999716161230263,5.999716161230263
baseline,2,100,100,"1,1,1",0.85,2.031384387633061,6.33250094738017,6.33250094738017
baseline,2,200,200,"1,1,1",0.85,2.031384387633061,6.252288235696705,6.252288235696705
baseline,2,400,400,"1,1,1",0.85,2.031384387633061,6.253896137207941,6.253896137207941
rank_stress,2,50,50,"1,1,1",0.85,2.031384387633061,6.034194846487464,6.034194846487464
rank_stress,2,50,50,"2,1,1",0.85,2.031384387633061,2.8066616888587537,2.8066616888587537
rank_stress,2,50,50,"1,0,2",0.85,0.0,3.794081326870647,3.794081326870647
rank_stress,2,100,100,"1,1,1",0.85,2.031384387633061,6.296800539990431,6.296800539990431
rank_stress,2,100,100,"2,1,1",0.85,2.031384387633061,2.840552492514364,2.840552492514364
rank_stress,2,100,100,"1,0,2",0.85,0.0,3.794081326870647,3.794081326870647
rank_stress,2,200,200,"1,1,1",0.85,2.031384387633061,6.2531840841913455,6.2531840841913455
rank_stress,2,200,200,"2,1,1",0.85,2.031384387633061,2.851935566043277,2.851935566043277
rank_stress,2,200,200,"1,0,2",0.85,0.0,3.794081326870647,3.794081326870647
baseline,3,50,50,"1,1,1",0.85,2.031384387633061,7.861024346023666,7.861024346023666
baseline,3,100,100,"1,1,1",0.85,2.031384387633061,7.406316439203696,7.406316439203696
baseline,3,200,200,"1,1,1",0.85,2.031384387633061,7.9657792837254116,7.9657792837254116
baseline,3,400,400,"1,1,1",0.85,2.031384387633061,7.511785145474714,7.511785145474714
rank_stress,3,50,50,"1,1,1",0.85,2.031384387633061,7.308630709386709,7.308630709386709
rank_stress,3,50,50,"2,1,1",0.85,2.031384387633061,2.9554085355691804,2.9554085355691804
rank_stress,3,50,50,"1,0,2",0.85,0.0,3.794081326870647,3.794081326870647
rank_stress,3,100,100,"1,1,1",0.85,2.031384387633061,7.603913299890244,7.603913299890244
rank_stress,3,100,100,"2,1,1",0.85,2.031384387633061,3.0226965378642663,3.0226965378642663
rank_stress,3,100,100,"1,0,2",0.85,0.0,3.794081326870647,3.794081326870647
rank_stress,3,200,200,"1,1,1",0.85,2.031384387633061,7.670040061652475,7.670040061652475
rank_stress,3,200,200,"2,1,1",0.85,2.031384387633061,2.979747531274721,2.979747531274721
rank_stress,3,200,200,"1,0,2",0.85,0.0,3.794081326870647,3.794081326870647
baseline,4,50,50,"1,1,1",0.85,1.9596152422706632,6.802066843878312,6.802066843878312
baseline,4,100,100,"1,1,1",0.85,1.9596152422706632,6.567752090044973,6.567752090044973
baseline,4,200,200,"1,1,1",0.85,1.9596152422706632,6.813211607718897,6.813211607718897
baseline,4,400,400,"1,1,1",0.85,1.9596152422706632,6.746078166751292,6.746078166751292
rank_stress,4,50,50,"1,1,1",0.85,1.9596152422706632,8.410761115894578,8.410761115894578
rank_stress,4,50,50,"2,1,1",0.85,1.9596152422706632,2.939058264436711,2.939058264436711
rank_stress,4,50,50,"1,0,2",0.85,0.0,3.794081326870647,3.794081326870647
rank_stress,4,100,100,"1,1,1",0.85,1.9596152422706632,6.927602187929662,6.927602187929662
rank_stress,4,100,100,"2,1,1",0.85,1.9596152422706632,2.9780109961588495,2.9780109961588495
rank_stress,4,100,100,"1,0,2",0.85,0.0,3.794081326870647,3.794081326870647
rank_stress,4,200,200,"1,1,1",0.85,1.9596152422706632,6.909943570066841,6.909943570066841
rank_stress,4,200,200,"2,1,1",0.85,1.9596152422706632,2.9478164073953343,2.9478164073953343
rank_stress,4,200,200,"1,0,2",0.85,0.0,3.794081326870647,3.794081326870647
