design,dgp,N,T,true_rank_vector,C_A,C_beta,C_H,C_Theta,B,c_B,distance_to_boundary_B,slack_relative_to_B_minus_c_B,condition_verified
rank_stress,1,100,100,"[1, 0, 2]",0.85,0.0,3.794081326870647,3.794081326870647,10.0,1.0,6.205918673129354,5.205918673129354,True
rank_stress,1,100,100,"[1, 1, 1]",0.85,2.031384387633061,6.063866193258645,6.063866193258645,10.0,1.0,3.9361338067413554,2.9361338067413554,True
rank_stress,1,100,100,"[2, 1, 1]",0.85,2.031384387633061,2.8001385584442047,2.8001385584442047,10.0,1.0,7.199861441555795,6.199861441555795,True
baseline,1,100,100,"[1, 1, 1]",0.85,2.031384387633061,6.608457315037656,6.608457315037656,10.0,1.0,3.391542684962344,2.391542684962344,True
rank_stress,1,200,200,"[1, 0, 2]",0.85,0.0,3.794081326870647,3.794081326870647,10.0,1.0,6.205918673129354,5.205918673129354,True
rank_stress,1,200,200,"[1, 1, 1]",0.85,2.031384387633061,6.602410640075655,6.602410640075655,10.0,1.0,3.3975893599243454,2.3975893599243454,True
rank_stress,1,200,200,"[2, 1, 1]",0.85,2.031384387633061,2.821820404171966,2.821820404171966,10.0,1.0,7.178179595828034,6.178179595828034,True
baseline,1,200,200,"[1, 1, 1]",0.85,2.031384387633061,6.038265823057907,6.038265823057907,10.0,1.0,3.961734176942093,2.961734176942093,True
baseline,1,400,400,"[1, 1, 1]",0.85,2.031384387633061,6.070750464782391,6.070750464782391,10.0,1.0,3.9292495352176093,2.9292495352176093,True
rank_stress,1,50,50,"[1, 0, 2]",0.85,0.0,3.794081326870647,3.794081326870647,10.0,1.0,6.205918673129354,5.205918673129354,True
rank_stress,1,50,50,"[1, 1, 1]",0.85,2.031384387633061,6.260356550670126,6.260356550670126,10.0,1.0,3.739643449329874,2.739643449329874,True
rank_stress,1,50,50,"[2, 1, 1]",0.85,2.031384387633061,2.8418670779514943,2.8418670779514943,10.0,1.0,7.158132922048505,6.158132922048505,True
baseline,1,50,50,"[1, 1, 1]",0.85,2.031384387633061,6.276581111155855,6.276581111155855,10.0,1.0,3.7234188888441446,2.7234188888441446,True
rank_stress,2,100,100,"[1, 0, 2]",0.85,0.0,3.794081326870647,3.794081326870647,10.0,1.0,6.205918673129354,5.205918673129354,True
rank_stress,2,100,100,"[1, 1, 1]",0.85,2.031384387633061,6.296800539990431,6.296800539990431,10.0,1.0,3.703199460009569,2.703199460009569,True
rank_stress,2,100,100,"[2, 1, 1]",0.85,2.031384387633061,2.840552492514364,2.840552492514364,10.0,1.0,7.159447507485636,6.159447507485636,True
baseline,2,100,100,"[1, 1, 1]",0.85,2.031384387633061,6.33250094738017,6.33250094738017,10.0,1.0,3.6674990526198297,2.6674990526198297,True
rank_stress,2,200,200,"[1, 0, 2]",0.85,0.0,3.794081326870647,3.794081326870647,10.0,1.0,6.205918673129354,5.205918673129354,True
rank_stress,2,200,200,"[1, 1, 1]",0.85,2.031384387633061,6.2531840841913455,6.2531840841913455,10.0,1.0,3.7468159158086545,2.7468159158086545,True
rank_stress,2,200,200,"[2, 1, 1]",0.85,2.031384387633061,2.851935566043277,2.851935566043277,10.0,1.0,7.148064433956723,6.148064433956723,True
baseline,2,200,200,"[1, 1, 1]",0.85,2.031384387633061,6.252288235696705,6.252288235696705,10.0,1.0,3.747711764303295,2.747711764303295,True
baseline,2,400,400,"[1, 1, 1]",0.85,2.031384387633061,6.253896137207941,6.253896137207941,10.0,1.0,3.746103862792059,2.746103862792059,True
rank_stress,2,50,50,"[1, 0, 2]",0.85,0.0,3.794081326870647,3.794081326870647,10.0,1.0,6.205918673129354,5.205918673129354,True
rank_stress,2,50,50,"[1, 1, 1]",0.85,2.031384387633061,6.034194846487464,6.034194846487464,10.0,1.0,3.9658051535125356,2.9658051535125356,True
rank_stress,2,50,50,"[2, 1, 1]",0.85,2.031384387633061,2.8066616888587537,2.8066616888587537,10.0,1.0,7.193338311141247,6.193338311141247,True
baseline,2,50,50,"[1, 1, 1]",0.85,2.031384387633061,5.999716161230263,5.999716161230263,10.0,1.0,4.000283838769737,3.000283838769737,True
rank_stress,3,100,100,"[1, 0, 2]",0.85,0.0,3.794081326870647,3.794081326870647,10.0,1.0,6.205918673129354,5.205918673129354,True
rank_stress,3,100,100,"[1, 1, 1]",0.85,2.031384387633061,7.603913299890244,7.603913299890244,10.0,1.0,2.3960867001097563,1.3960867001097563,True
rank_stress,3,100,100,"[2, 1, 1]",0.85,2.031384387633061,3.0226965378642663,3.0226965378642663,10.0,1.0,6.977303462135733,5.977303462135733,True
baseline,3,100,100,"[1, 1, 1]",0.85,2.031384387633061,7.406316439203696,7.406316439203696,10.0,1.0,2.593683560796304,1.593683560796304,True
rank_stress,3,200,200,"[1, 0, 2]",0.85,0.0,3.794081326870647,3.794081326870647,10.0,1.0,6.205918673129354,5.205918673129354,True
rank_stress,3,200,200,"[1, 1, 1]",0.85,2.031384387633061,7.670040061652475,7.670040061652475,10.0,1.0,2.3299599383475247,1.3299599383475247,True
rank_stress,3,200,200,"[2, 1, 1]",0.85,2.031384387633061,2.979747531274721,2.979747531274721,10.0,1.0,7.020252468725279,6.020252468725279,True
baseline,3,200,200,"[1, 1, 1]",0.85,2.031384387633061,7.9657792837254116,7.9657792837254116,10.0,1.0,2.0342207162745884,1.0342207162745884,True
baseline,3,400,400,"[1, 1, 1]",0.85,2.031384387633061,7.511785145474714,7.511785145474714,10.0,1.0,2.4882148545252862,1.4882148545252862,True
rank_stress,3,50,50,"[1, 0, 2]",0.85,0.0,3.794081326870647,3.794081326870647,10.0,1.0,6.205918673129354,5.205918673129354,True
rank_stress,3,50,50,"[1, 1, 1]",0.85,2.031384387633061,7.308630709386709,7.308630709386709,10.0,1.0,2.6913692906132907,1.6913692906132907,True
rank_stress,3,50,50,"[2, 1, 1]",0.85,2.031384387633061,2.9554085355691804,2.9554085355691804,10.0,1.0,7.04459146443082,6.04459146443082,True
