benchmark_part,requested_n_jobs,effective_n_jobs,worker_pid,tasks_completed_by_worker,maximum_observed_current_rss_bytes,process_lifetime_peak_rss_bytes,memory_measurement
parallel_scaling,1,1,32340,20,126263296.0,126611456.0,Windows GetProcessMemoryInfo
parallel_scaling,4,4,7472,6,122327040.0,122437632.0,Windows GetProcessMemoryInfo
parallel_scaling,4,4,9704,5,121167872.0,121876480.0,Windows GetProcessMemoryInfo
parallel_scaling,4,4,23604,5,121397248.0,121819136.0,Windows GetProcessMemoryInfo
parallel_scaling,4,4,29032,4,121090048.0,122044416.0,Windows GetProcessMemoryInfo
parallel_scaling,8,8,14732,2,120451072.0,122089472.0,Windows GetProcessMemoryInfo
parallel_scaling,8,8,15528,2,120504320.0,122605568.0,Windows GetProcessMemoryInfo
parallel_scaling,8,8,18444,4,118816768.0,118816768.0,Windows GetProcessMemoryInfo
parallel_scaling,8,8,20140,3,121860096.0,122081280.0,Windows GetProcessMemoryInfo
parallel_scaling,8,8,20860,2,120360960.0,120360960.0,Windows GetProcessMemoryInfo
parallel_scaling,8,8,20904,2,121393152.0,121589760.0,Windows GetProcessMemoryInfo
parallel_scaling,8,8,21024,3,120410112.0,122142720.0,Windows GetProcessMemoryInfo
parallel_scaling,8,8,26340,2,119775232.0,119947264.0,Windows GetProcessMemoryInfo
parallel_scaling,12,12,7492,2,120299520.0,121999360.0,Windows GetProcessMemoryInfo
parallel_scaling,12,12,11588,1,120537088.0,120537088.0,Windows GetProcessMemoryInfo
parallel_scaling,12,12,14748,1,120623104.0,121823232.0,Windows GetProcessMemoryInfo
parallel_scaling,12,12,16548,2,119496704.0,119496704.0,Windows GetProcessMemoryInfo
parallel_scaling,12,12,18792,2,119001088.0,119001088.0,Windows GetProcessMemoryInfo
parallel_scaling,12,12,19908,2,118923264.0,118923264.0,Windows GetProcessMemoryInfo
parallel_scaling,12,12,25800,1,121282560.0,121765888.0,Windows GetProcessMemoryInfo
parallel_scaling,12,12,26848,1,120692736.0,122343424.0,Windows GetProcessMemoryInfo
parallel_scaling,12,12,30568,3,120795136.0,120795136.0,Windows GetProcessMemoryInfo
parallel_scaling,12,12,30908,1,119017472.0,120152064.0,Windows GetProcessMemoryInfo
parallel_scaling,12,12,32748,2,121188352.0,122318848.0,Windows GetProcessMemoryInfo
parallel_scaling,12,12,36588,2,119406592.0,120606720.0,Windows GetProcessMemoryInfo
parallel_scaling,14,14,3492,1,120655872.0,120655872.0,Windows GetProcessMemoryInfo
parallel_scaling,14,14,3616,1,120246272.0,120246272.0,Windows GetProcessMemoryInfo
parallel_scaling,14,14,6204,1,121225216.0,121786368.0,Windows GetProcessMemoryInfo
parallel_scaling,14,14,6436,2,118087680.0,118087680.0,Windows GetProcessMemoryInfo
parallel_scaling,14,14,9528,1,118599680.0,118599680.0,Windows GetProcessMemoryInfo
parallel_scaling,14,14,9932,1,118927360.0,118927360.0,Windows GetProcessMemoryInfo
parallel_scaling,14,14,10004,2,121118720.0,121507840.0,Windows GetProcessMemoryInfo
parallel_scaling,14,14,10612,1,121163776.0,121565184.0,Windows GetProcessMemoryInfo
parallel_scaling,14,14,12132,2,119152640.0,119152640.0,Windows GetProcessMemoryInfo
parallel_scaling,14,14,15348,1,120434688.0,120700928.0,Windows GetProcessMemoryInfo
parallel_scaling,14,14,24156,1,121516032.0,122388480.0,Windows GetProcessMemoryInfo
parallel_scaling,14,14,24300,2,120606720.0,120737792.0,Windows GetProcessMemoryInfo
parallel_scaling,14,14,30324,2,120147968.0,120315904.0,Windows GetProcessMemoryInfo
parallel_scaling,14,14,31736,2,121278464.0,122150912.0,Windows GetProcessMemoryInfo
scientific_equivalence,1,1,35308,4,,,Windows GetProcessMemoryInfo
scientific_equivalence,4,4,15876,1,,,Windows GetProcessMemoryInfo
scientific_equivalence,4,4,18804,1,,,Windows GetProcessMemoryInfo
scientific_equivalence,4,4,36184,1,,,Windows GetProcessMemoryInfo
scientific_equivalence,4,4,36612,1,,,Windows GetProcessMemoryInfo
