benchmark_part,requested_n_jobs,effective_n_jobs,semantic_replication_id,worker_pid,phase,user_api,internal_api,prefix,version,num_threads,one_native_thread_policy_pass,task_id
parallel_scaling,1,1,,32340,before,blas,openblas,libscipy_openblas,0.3.33.112.0,1,True,0.0
parallel_scaling,1,1,,32340,before,blas,openblas,libscipy_openblas,0.3.31.dev,1,True,0.0
parallel_scaling,1,1,,32340,after,blas,openblas,libscipy_openblas,0.3.33.112.0,1,True,0.0
parallel_scaling,1,1,,32340,after,blas,openblas,libscipy_openblas,0.3.31.dev,1,True,0.0
parallel_scaling,1,1,,32340,before,blas,openblas,libscipy_openblas,0.3.33.112.0,1,True,1.0
parallel_scaling,1,1,,32340,before,blas,openblas,libscipy_openblas,0.3.31.dev,1,True,1.0
parallel_scaling,1,1,,32340,after,blas,openblas,libscipy_openblas,0.3.33.112.0,1,True,1.0
parallel_scaling,1,1,,32340,after,blas,openblas,libscipy_openblas,0.3.31.dev,1,True,1.0
parallel_scaling,1,1,,32340,before,blas,openblas,libscipy_openblas,0.3.33.112.0,1,True,2.0
parallel_scaling,1,1,,32340,before,blas,openblas,libscipy_openblas,0.3.31.dev,1,True,2.0
parallel_scaling,1,1,,32340,after,blas,openblas,libscipy_openblas,0.3.33.112.0,1,True,2.0
parallel_scaling,1,1,,32340,after,blas,openblas,libscipy_openblas,0.3.31.dev,1,True,2.0
parallel_scaling,1,1,,32340,before,blas,openblas,libscipy_openblas,0.3.33.112.0,1,True,3.0
parallel_scaling,1,1,,32340,before,blas,openblas,libscipy_openblas,0.3.31.dev,1,True,3.0
parallel_scaling,1,1,,32340,after,blas,openblas,libscipy_openblas,0.3.33.112.0,1,True,3.0
parallel_scaling,1,1,,32340,after,blas,openblas,libscipy_openblas,0.3.31.dev,1,True,3.0
parallel_scaling,1,1,,32340,before,blas,openblas,libscipy_openblas,0.3.33.112.0,1,True,4.0
parallel_scaling,1,1,,32340,before,blas,openblas,libscipy_openblas,0.3.31.dev,1,True,4.0
parallel_scaling,1,1,,32340,after,blas,openblas,libscipy_openblas,0.3.33.112.0,1,True,4.0
parallel_scaling,1,1,,32340,after,blas,openblas,libscipy_openblas,0.3.31.dev,1,True,4.0
parallel_scaling,1,1,,32340,before,blas,openblas,libscipy_openblas,0.3.33.112.0,1,True,5.0
parallel_scaling,1,1,,32340,before,blas,openblas,libscipy_openblas,0.3.31.dev,1,True,5.0
parallel_scaling,1,1,,32340,after,blas,openblas,libscipy_openblas,0.3.33.112.0,1,True,5.0
parallel_scaling,1,1,,32340,after,blas,openblas,libscipy_openblas,0.3.31.dev,1,True,5.0
parallel_scaling,1,1,,32340,before,blas,openblas,libscipy_openblas,0.3.33.112.0,1,True,6.0
parallel_scaling,1,1,,32340,before,blas,openblas,libscipy_openblas,0.3.31.dev,1,True,6.0
parallel_scaling,1,1,,32340,after,blas,openblas,libscipy_openblas,0.3.33.112.0,1,True,6.0
parallel_scaling,1,1,,32340,after,blas,openblas,libscipy_openblas,0.3.31.dev,1,True,6.0
parallel_scaling,1,1,,32340,before,blas,openblas,libscipy_openblas,0.3.33.112.0,1,True,7.0
parallel_scaling,1,1,,32340,before,blas,openblas,libscipy_openblas,0.3.31.dev,1,True,7.0
parallel_scaling,1,1,,32340,after,blas,openblas,libscipy_openblas,0.3.33.112.0,1,True,7.0
parallel_scaling,1,1,,32340,after,blas,openblas,libscipy_openblas,0.3.31.dev,1,True,7.0
parallel_scaling,1,1,,32340,before,blas,openblas,libscipy_openblas,0.3.33.112.0,1,True,8.0
parallel_scaling,1,1,,32340,before,blas,openblas,libscipy_openblas,0.3.31.dev,1,True,8.0
parallel_scaling,1,1,,32340,after,blas,openblas,libscipy_openblas,0.3.33.112.0,1,True,8.0
parallel_scaling,1,1,,32340,after,blas,openblas,libscipy_openblas,0.3.31.dev,1,True,8.0
parallel_scaling,1,1,,32340,before,blas,openblas,libscipy_openblas,0.3.33.112.0,1,True,9.0
parallel_scaling,1,1,,32340,before,blas,openblas,libscipy_openblas,0.3.31.dev,1,True,9.0
parallel_scaling,1,1,,32340,after,blas,openblas,libscipy_openblas,0.3.33.112.0,1,True,9.0
parallel_scaling,1,1,,32340,after,blas,openblas,libscipy_openblas,0.3.31.dev,1,True,9.0
parallel_scaling,1,1,,32340,before,blas,openblas,libscipy_openblas,0.3.33.112.0,1,True,10.0
parallel_scaling,1,1,,32340,before,blas,openblas,libscipy_openblas,0.3.31.dev,1,True,10.0
parallel_scaling,1,1,,32340,after,blas,openblas,libscipy_openblas,0.3.33.112.0,1,True,10.0
parallel_scaling,1,1,,32340,after,blas,openblas,libscipy_openblas,0.3.31.dev,1,True,10.0
parallel_scaling,1,1,,32340,before,blas,openblas,libscipy_openblas,0.3.33.112.0,1,True,11.0
parallel_scaling,1,1,,32340,before,blas,openblas,libscipy_openblas,0.3.31.dev,1,True,11.0
parallel_scaling,1,1,,32340,after,blas,openblas,libscipy_openblas,0.3.33.112.0,1,True,11.0
parallel_scaling,1,1,,32340,after,blas,openblas,libscipy_openblas,0.3.31.dev,1,True,11.0
parallel_scaling,1,1,,32340,before,blas,openblas,libscipy_openblas,0.3.33.112.0,1,True,12.0
parallel_scaling,1,1,,32340,before,blas,openblas,libscipy_openblas,0.3.31.dev,1,True,12.0
parallel_scaling,1,1,,32340,after,blas,openblas,libscipy_openblas,0.3.33.112.0,1,True,12.0
parallel_scaling,1,1,,32340,after,blas,openblas,libscipy_openblas,0.3.31.dev,1,True,12.0
parallel_scaling,1,1,,32340,before,blas,openblas,libscipy_openblas,0.3.33.112.0,1,True,13.0
parallel_scaling,1,1,,32340,before,blas,openblas,libscipy_openblas,0.3.31.dev,1,True,13.0
parallel_scaling,1,1,,32340,after,blas,openblas,libscipy_openblas,0.3.33.112.0,1,True,13.0
parallel_scaling,1,1,,32340,after,blas,openblas,libscipy_openblas,0.3.31.dev,1,True,13.0
parallel_scaling,1,1,,32340,before,blas,openblas,libscipy_openblas,0.3.33.112.0,1,True,14.0
parallel_scaling,1,1,,32340,before,blas,openblas,libscipy_openblas,0.3.31.dev,1,True,14.0
parallel_scaling,1,1,,32340,after,blas,openblas,libscipy_openblas,0.3.33.112.0,1,True,14.0
parallel_scaling,1,1,,32340,after,blas,openblas,libscipy_openblas,0.3.31.dev,1,True,14.0
parallel_scaling,1,1,,32340,before,blas,openblas,libscipy_openblas,0.3.33.112.0,1,True,15.0
parallel_scaling,1,1,,32340,before,blas,openblas,libscipy_openblas,0.3.31.dev,1,True,15.0
parallel_scaling,1,1,,32340,after,blas,openblas,libscipy_openblas,0.3.33.112.0,1,True,15.0
parallel_scaling,1,1,,32340,after,blas,openblas,libscipy_openblas,0.3.31.dev,1,True,15.0
parallel_scaling,1,1,,32340,before,blas,openblas,libscipy_openblas,0.3.33.112.0,1,True,16.0
parallel_scaling,1,1,,32340,before,blas,openblas,libscipy_openblas,0.3.31.dev,1,True,16.0
parallel_scaling,1,1,,32340,after,blas,openblas,libscipy_openblas,0.3.33.112.0,1,True,16.0
parallel_scaling,1,1,,32340,after,blas,openblas,libscipy_openblas,0.3.31.dev,1,True,16.0
parallel_scaling,1,1,,32340,before,blas,openblas,libscipy_openblas,0.3.33.112.0,1,True,17.0
parallel_scaling,1,1,,32340,before,blas,openblas,libscipy_openblas,0.3.31.dev,1,True,17.0
parallel_scaling,1,1,,32340,after,blas,openblas,libscipy_openblas,0.3.33.112.0,1,True,17.0
parallel_scaling,1,1,,32340,after,blas,openblas,libscipy_openblas,0.3.31.dev,1,True,17.0
parallel_scaling,1,1,,32340,before,blas,openblas,libscipy_openblas,0.3.33.112.0,1,True,18.0
parallel_scaling,1,1,,32340,before,blas,openblas,libscipy_openblas,0.3.31.dev,1,True,18.0
parallel_scaling,1,1,,32340,after,blas,openblas,libscipy_openblas,0.3.33.112.0,1,True,18.0
parallel_scaling,1,1,,32340,after,blas,openblas,libscipy_openblas,0.3.31.dev,1,True,18.0
parallel_scaling,1,1,,32340,before,blas,openblas,libscipy_openblas,0.3.33.112.0,1,True,19.0
parallel_scaling,1,1,,32340,before,blas,openblas,libscipy_openblas,0.3.31.dev,1,True,19.0
parallel_scaling,1,1,,32340,after,blas,openblas,libscipy_openblas,0.3.33.112.0,1,True,19.0
parallel_scaling,1,1,,32340,after,blas,openblas,libscipy_openblas,0.3.31.dev,1,True,19.0
parallel_scaling,4,4,,7472,before,blas,openblas,libscipy_openblas,0.3.33.112.0,1,True,1.0
parallel_scaling,4,4,,7472,before,blas,openblas,libscipy_openblas,0.3.31.dev,1,True,1.0
parallel_scaling,4,4,,7472,after,blas,openblas,libscipy_openblas,0.3.33.112.0,1,True,1.0
parallel_scaling,4,4,,7472,after,blas,openblas,libscipy_openblas,0.3.31.dev,1,True,1.0
parallel_scaling,4,4,,7472,before,blas,openblas,libscipy_openblas,0.3.33.112.0,1,True,5.0
parallel_scaling,4,4,,7472,before,blas,openblas,libscipy_openblas,0.3.31.dev,1,True,5.0
