design,dgp,n,t,true_rank_vector,C_A,C_beta,C_H,C_Theta
baseline,1,50,50,"1,1,1",0.85,1.7774613391789282,6.1497036679735935,6.1497036679735935
baseline,1,100,100,"1,1,1",0.85,1.7774613391789282,6.509671195844852,6.509671195844852
baseline,1,200,200,"1,1,1",0.85,1.7774613391789282,5.94449826354871,5.94449826354871
baseline,1,400,400,"1,1,1",0.85,1.7774613391789282,5.979084511215772,5.979084511215772
rank_stress,1,50,50,"1,1,1",0.85,1.7774613391789282,6.153884531609286,6.153884531609286
rank_stress,1,50,50,"2,1,1",0.85,1.7774613391789282,2.793562129036017,2.793562129036017
rank_stress,1,50,50,"1,0,2",0.85,0.0,3.794081326870647,3.794081326870647
rank_stress,1,100,100,"1,1,1",0.85,1.7774613391789282,5.961842576741732,5.961842576741732
rank_stress,1,100,100,"2,1,1",0.85,1.7774613391789282,2.7505836754349784,2.7505836754349784
rank_stress,1,100,100,"1,0,2",0.85,0.0,3.794081326870647,3.794081326870647
rank_stress,1,200,200,"1,1,1",0.85,1.7774613391789282,6.491710250474584,6.491710250474584
rank_stress,1,200,200,"2,1,1",0.85,1.7774613391789282,2.7692796863247673,2.7692796863247673
rank_stress,1,200,200,"1,0,2",0.85,0.0,3.794081326870647,3.794081326870647
baseline,2,50,50,"1,1,1",0.85,1.7774613391789282,5.891010910891801,5.891010910891801
baseline,2,100,100,"1,1,1",0.85,1.7774613391789282,6.228302799814047,6.228302799814047
baseline,2,200,200,"1,1,1",0.85,1.7774613391789282,6.142809078847286,6.142809078847286
baseline,2,400,400,"1,1,1",0.85,1.7774613391789282,6.154236558042979,6.154236558042979
rank_stress,2,50,50,"1,1,1",0.85,1.7774613391789282,5.949206399270609,5.949206399270609
rank_stress,2,50,50,"2,1,1",0.85,1.7774613391789282,2.7579848821141852,2.7579848821141852
rank_stress,2,50,50,"1,0,2",0.85,0.0,3.794081326870647,3.794081326870647
rank_stress,2,100,100,"1,1,1",0.85,1.7774613391789282,6.204395921912046,6.204395921912046
rank_stress,2,100,100,"2,1,1",0.85,1.7774613391789282,2.7914208338158555,2.7914208338158555
rank_stress,2,100,100,"1,0,2",0.85,0.0,3.794081326870647,3.794081326870647
rank_stress,2,200,200,"1,1,1",0.85,1.7774613391789282,6.162352584927023,6.162352584927023
rank_stress,2,200,200,"2,1,1",0.85,1.7774613391789282,2.791769352151855,2.791769352151855
rank_stress,2,200,200,"1,0,2",0.85,0.0,3.794081326870647,3.794081326870647
baseline,3,50,50,"1,1,1",0.85,1.7774613391789282,7.777300064105353,7.777300064105353
baseline,3,100,100,"1,1,1",0.85,1.7774613391789282,7.306661424564264,7.306661424564264
baseline,3,200,200,"1,1,1",0.85,1.7774613391789282,7.873479603909985,7.873479603909985
baseline,3,400,400,"1,1,1",0.85,1.7774613391789282,7.411883622652597,7.411883622652597
rank_stress,3,50,50,"1,1,1",0.85,1.7774613391789282,7.212873622662619,7.212873622662619
rank_stress,3,50,50,"2,1,1",0.85,1.7774613391789282,2.906355466342838,2.906355466342838
rank_stress,3,50,50,"1,0,2",0.85,0.0,3.794081326870647,3.794081326870647
rank_stress,3,100,100,"1,1,1",0.85,1.7774613391789282,7.504708479275779,7.504708479275779
rank_stress,3,100,100,"2,1,1",0.85,1.7774613391789282,2.968627148804955,2.968627148804955
rank_stress,3,100,100,"1,0,2",0.85,0.0,3.794081326870647,3.794081326870647
rank_stress,3,200,200,"1,1,1",0.85,1.7774613391789282,7.5582188981242355,7.5582188981242355
rank_stress,3,200,200,"2,1,1",0.85,1.7774613391789282,2.9252487482076717,2.9252487482076717
rank_stress,3,200,200,"1,0,2",0.85,0.0,3.794081326870647,3.794081326870647
baseline,4,50,50,"1,1,1",0.85,1.71466333698683,6.7391551122717654,6.7391551122717654
baseline,4,100,100,"1,1,1",0.85,1.71466333698683,6.486712280822122,6.486712280822122
baseline,4,200,200,"1,1,1",0.85,1.71466333698683,6.725403699502271,6.725403699502271
baseline,4,400,400,"1,1,1",0.85,1.71466333698683,6.637400217242477,6.637400217242477
rank_stress,4,50,50,"1,1,1",0.85,1.71466333698683,8.288745227963506,8.288745227963506
rank_stress,4,50,50,"2,1,1",0.85,1.71466333698683,2.8946344764215013,2.8946344764215013
rank_stress,4,50,50,"1,0,2",0.85,0.0,3.794081326870647,3.794081326870647
rank_stress,4,100,100,"1,1,1",0.85,1.71466333698683,6.8246300906509685,6.8246300906509685
rank_stress,4,100,100,"2,1,1",0.85,1.71466333698683,2.9162301128401773,2.9162301128401773
rank_stress,4,100,100,"1,0,2",0.85,0.0,3.794081326870647,3.794081326870647
rank_stress,4,200,200,"1,1,1",0.85,1.71466333698683,6.813693375436455,6.813693375436455
rank_stress,4,200,200,"2,1,1",0.85,1.71466333698683,2.89243636583027,2.89243636583027
rank_stress,4,200,200,"1,0,2",0.85,0.0,3.794081326870647,3.794081326870647
