design,rank_stress,dgp,n,t,true_rank_vector,c_h,c_xi,intended_r2,achieved_r2,r2_scale_identified,pi_h,realized_calibration_h_share,population_var_u_tilde,population_var_h_raw,C_A,C_beta,C_H,C_Theta,calibration_seed,calibration_draws
baseline,False,1,50,50,"1,1,1",0.6546536707079772,1.8078429491333174,0.65,0.6499999999999975,True,0.30000000000000004,0.30592372303427573,1.0,1.0,0.85,1.7774613391789282,6.1497036679735935,6.1497036679735935,20260807,50
baseline,False,1,100,100,"1,1,1",0.6546536707079772,1.9136634556673244,0.65,0.65,True,0.30000000000000004,0.3022198369289034,1.0,1.0,0.85,1.7774613391789282,6.509671195844852,6.509671195844852,20260807,50
baseline,False,1,200,200,"1,1,1",0.6546536707079772,1.7475182304894648,0.65,0.6499999999995693,True,0.30000000000000004,0.2942445351331884,1.0,1.0,0.85,1.7774613391789282,5.94449826354871,5.94449826354871,20260807,50
baseline,False,1,400,400,"1,1,1",0.6546536707079772,1.7576856316127907,0.65,0.6499999999998574,True,0.30000000000000004,0.29751831223498837,1.0,1.0,0.85,1.7774613391789282,5.979084511215772,5.979084511215772,20260807,50
rank_stress,True,1,50,50,"1,1,1",0.6546536707079772,1.8090720075161526,0.65,0.649999999999996,True,0.30000000000000004,0.30054572086736187,1.0,1.0,0.85,1.7774613391789282,6.153884531609286,6.153884531609286,20260807,50
rank_stress,True,1,50,50,"2,1,1",0.6546536707079772,0.8212300739374924,0.65,0.649999999999872,True,0.30000000000000004,0.29332654427530935,1.0,1.0,0.85,1.7774613391789282,2.793562129036017,2.793562129036017,20260807,50
rank_stress,True,1,50,50,"1,0,2",0.7301712917987002,1.0,0.65,0.5344056654315995,False,0.30000000000000004,0.305339266509757,1.0,0.803847577293368,0.85,0.0,3.794081326870647,3.794081326870647,20260807,50
rank_stress,True,1,100,100,"1,1,1",0.6546536707079772,1.7526169793083484,0.65,0.6499999999997361,True,0.30000000000000004,0.29720548800218344,1.0,1.0,0.85,1.7774613391789282,5.961842576741732,5.961842576741732,20260807,50
rank_stress,True,1,100,100,"2,1,1",0.6546536707079772,0.8085955961638839,0.65,0.6499999999999929,True,0.30000000000000004,0.29754092157113093,1.0,1.0,0.85,1.7774613391789282,2.7505836754349784,2.7505836754349784,20260807,50
rank_stress,True,1,100,100,"1,0,2",0.7301712917987002,1.0,0.65,0.5393014964428011,False,0.30000000000000004,0.3032178405273253,1.0,0.803847577293368,0.85,0.0,3.794081326870647,3.794081326870647,20260807,50
rank_stress,True,1,200,200,"1,1,1",0.6546536707079772,1.9083834340271748,0.65,0.65,True,0.30000000000000004,0.3063371585696898,1.0,1.0,0.85,1.7774613391789282,6.491710250474584,6.491710250474584,20260807,50
rank_stress,True,1,200,200,"2,1,1",0.6546536707079772,0.8140917067553658,0.65,0.6499999999999649,True,0.30000000000000004,0.3008196244251713,1.0,1.0,0.85,1.7774613391789282,2.7692796863247673,2.7692796863247673,20260807,50
rank_stress,True,1,200,200,"1,0,2",0.7301712917987002,1.0,0.65,0.5286137848435728,False,0.30000000000000004,0.29648379598033525,1.0,0.803847577293368,0.85,0.0,3.794081326870647,3.794081326870647,20260807,50
baseline,False,2,50,50,"1,1,1",0.6546536707079772,1.7317944267764211,0.65,0.6499999999986029,True,0.30000000000000004,0.294004830617858,1.0,1.0,0.85,1.7774613391789282,5.891010910891801,5.891010910891801,20260807,50
baseline,False,2,100,100,"1,1,1",0.6546536707079772,1.8309489220350308,0.65,0.6499999999996348,True,0.30000000000000004,0.30255360521627933,1.0,1.0,0.85,1.7774613391789282,6.228302799814047,6.228302799814047,20260807,50
baseline,False,2,200,200,"1,1,1",0.6546536707079772,1.8058161304421865,0.65,0.6499999999999989,True,0.30000000000000004,0.2974883400113511,1.0,1.0,0.85,1.7774613391789282,6.142809078847286,6.142809078847286,20260807,50
baseline,False,2,400,400,"1,1,1",0.6546536707079772,1.8091754935604272,0.65,0.6499999999999959,True,0.30000000000000004,0.2991469366282057,1.0,1.0,0.85,1.7774613391789282,6.154236558042979,6.154236558042979,20260807,50
rank_stress,True,2,50,50,"1,1,1",0.6546536707079772,1.7489022922960076,0.65,0.6499999999996401,True,0.30000000000000004,0.2964017052592398,1.0,1.0,0.85,1.7774613391789282,5.949206399270609,5.949206399270609,20260807,50
rank_stress,True,2,50,50,"2,1,1",0.6546536707079772,0.8107713464166585,0.65,0.6499999999999874,True,0.30000000000000004,0.29898385900295965,1.0,1.0,0.85,1.7774613391789282,2.7579848821141852,2.7579848821141852,20260807,50
rank_stress,True,2,50,50,"1,0,2",0.7301712917987002,1.0,0.65,0.5303490191087232,False,0.30000000000000004,0.300554756884874,1.0,0.803847577293368,0.85,0.0,3.794081326870647,3.794081326870647,20260807,50
rank_stress,True,2,100,100,"1,1,1",0.6546536707079772,1.8239209605291775,0.65,0.6499999999998813,True,0.30000000000000004,0.30302230296349447,1.0,1.0,0.85,1.7774613391789282,6.204395921912046,6.204395921912046,20260807,50
rank_stress,True,2,100,100,"2,1,1",0.6546536707079772,0.8206005923112569,0.65,0.6499999999998691,True,0.30000000000000004,0.2992622459116345,1.0,1.0,0.85,1.7774613391789282,2.7914208338158555,2.7914208338158555,20260807,50
rank_stress,True,2,100,100,"1,0,2",0.7301712917987002,1.0,0.65,0.5314418341578069,False,0.30000000000000004,0.3002831641747762,1.0,0.803847577293368,0.85,0.0,3.794081326870647,3.794081326870647,20260807,50
rank_stress,True,2,200,200,"1,1,1",0.6546536707079772,1.811561381201438,0.65,0.6499999999999918,True,0.30000000000000004,0.2984111384828501,1.0,1.0,0.85,1.7774613391789282,6.162352584927023,6.162352584927023,20260807,50
rank_stress,True,2,200,200,"2,1,1",0.6546536707079772,0.8207030470717459,0.65,0.6499999999998519,True,0.30000000000000004,0.30546828910629453,1.0,1.0,0.85,1.7774613391789282,2.791769352151855,2.791769352151855,20260807,50
rank_stress,True,2,200,200,"1,0,2",0.7301712917987002,1.0,0.65,0.5308464938821446,False,0.30000000000000004,0.2989798567917191,1.0,0.803847577293368,0.85,0.0,3.794081326870647,3.794081326870647,20260807,50
baseline,False,3,50,50,"1,1,1",0.6546536707079772,2.2863113156832737,0.65,0.6500000000020866,True,0.30000000000000004,0.30620237380748194,1.0,1.0,0.85,1.7774613391789282,7.777300064105353,7.777300064105353,20260807,50
baseline,False,3,100,100,"1,1,1",0.6546536707079772,2.1479565603939967,0.65,0.6499999999998035,True,0.30000000000000004,0.296478341514174,1.0,1.0,0.85,1.7774613391789282,7.306661424564264,7.306661424564264,20260807,50
baseline,False,3,200,200,"1,1,1",0.6546536707079772,2.3145854427427954,0.65,0.65,True,0.30000000000000004,0.30486577571784695,1.0,1.0,0.85,1.7774613391789282,7.873479603909985,7.873479603909985,20260807,50
baseline,False,3,400,400,"1,1,1",0.6546536707079772,2.1788889791212527,0.65,0.6499999999999982,True,0.30000000000000004,0.29901541325924746,1.0,1.0,0.85,1.7774613391789282,7.411883622652597,7.411883622652597,20260807,50
rank_stress,True,3,50,50,"1,1,1",0.6546536707079772,2.120385538189203,0.65,0.6499999999985444,True,0.30000000000000004,0.3013006231819567,1.0,1.0,0.85,1.7774613391789282,7.212873622662619,7.212873622662619,20260807,50
rank_stress,True,3,50,50,"2,1,1",0.6546536707079772,0.8543881983884781,0.65,0.64999999999639,True,0.30000000000000004,0.3038984428727749,1.0,1.0,0.85,1.7774613391789282,2.906355466342838,2.906355466342838,20260807,50
