semantic_replication_id,dgp,N,replication,start_number,start_id,objective,objective_gap_to_best,converged,feasible,max_absolute_coefficient,unconstrained_outside_box,constrained_fallback,constrained_iterations,stationarity_or_KKT_residual,numerical_rank,runtime_seconds,start_numerically_valid,exact_failure_reason,replication_primary_classification,objective_stability_pass,final_acceptance_basis
dgp1_N50_T50_r2026080902_truth1-1-1,1,50,2026080902,1,original_start_1,1.4937871780181777,0.0,True,True,5.723468180834877,False,False,0,1.153427497727181e-06,"(1,1,1)",0.04226919999928214,False,stationarity_high,KKT/optimality failure,False,failure
dgp1_N50_T50_r2026080902_truth1-1-1,1,50,2026080902,2,original_start_2,1.493787197211191,1.2848559327057471e-08,True,True,5.716215116202929,False,False,0,1.1729656321881253e-06,"(1,1,1)",0.08080990001326427,False,stationarity_high,KKT/optimality failure,False,failure
dgp1_N50_T50_r2026080902_truth1-1-1,1,50,2026080902,3,original_start_3,1.4937871926688653,9.80774756110671e-09,True,True,5.724013180691239,False,False,0,1.1156029150844196e-06,"(1,1,1)",0.07411669997964054,False,stationarity_high,KKT/optimality failure,False,failure
dgp3_N50_T50_r2026080902_truth1-1-1,3,50,2026080902,1,original_start_1,2.432924785374205,2.5095271467672835e-09,True,True,6.811500050317164,False,False,0,1.2953519477406329e-06,"(1,1,1)",0.06170920000295155,False,stationarity_high,KKT/optimality failure,False,failure
dgp3_N50_T50_r2026080902_truth1-1-1,3,50,2026080902,2,original_start_2,2.4329247792687143,0.0,True,True,6.81319319878934,False,False,0,1.00909102238845e-06,"(1,1,1)",0.05126989999553189,False,stationarity_high,KKT/optimality failure,False,failure
dgp3_N50_T50_r2026080902_truth1-1-1,3,50,2026080902,3,original_start_3,2.432924789064063,4.026161686444544e-09,True,True,6.812323559753872,False,False,0,1.3069843841881604e-06,"(1,1,1)",0.06765240000095218,False,stationarity_high,KKT/optimality failure,False,failure
dgp3_N50_T50_r2026080903_truth1-1-1,3,50,2026080903,1,original_start_1,2.13548962987285,1.299198598591846e-10,True,True,7.206579360649439,False,False,0,1.3315114806932723e-06,"(1,1,1)",0.09376709998468868,False,stationarity_high,KKT/optimality failure,False,failure
dgp3_N50_T50_r2026080903_truth1-1-1,3,50,2026080903,2,original_start_2,2.1354896295954076,0.0,True,True,7.206604999675959,False,False,0,1.3288968880749802e-06,"(1,1,1)",0.10560799998347647,False,stationarity_high,KKT/optimality failure,False,failure
dgp3_N50_T50_r2026080903_truth1-1-1,3,50,2026080903,3,original_start_3,2.135489635733091,2.8741339529200773e-09,True,True,7.206008805884854,False,False,0,1.3880208643565816e-06,"(1,1,1)",0.08409899999969639,False,stationarity_high,KKT/optimality failure,False,failure
dgp4_N50_T50_r2026080901_truth1-1-1,4,50,2026080901,1,original_start_1,1.600613746562105,0.0,True,True,8.212473303732136,False,False,0,1.0839503392118043e-06,"(1,1,1)",0.06848630000604317,False,stationarity_high,KKT/optimality failure,False,failure
dgp4_N50_T50_r2026080901_truth1-1-1,4,50,2026080901,2,original_start_2,1.6006137624881502,9.949961496666565e-09,True,True,8.211141400033126,False,False,0,1.2378603747801547e-06,"(1,1,1)",0.07799640001030639,False,stationarity_high,KKT/optimality failure,False,failure
dgp4_N50_T50_r2026080901_truth1-1-1,4,50,2026080901,3,original_start_3,1.6006137480325793,9.186939634988351e-10,True,True,8.220911364910442,False,False,0,1.0953638447402435e-06,"(1,1,1)",0.07080109999515116,False,stationarity_high,KKT/optimality failure,False,failure
