diagnostic_label,c_kappa,N,eligible_saved_replications,Exact,Under_only,Over_only,Mixed,modal_selected_rank,modal_count,selected_rank_distribution
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,3.0268999415322774e-08,50,12,0,0,12,0,"(1,3,3)",4,"{""(1,2,3)"": 3, ""(1,3,3)"": 4, ""(2,1,3)"": 3, ""(2,2,3)"": 2}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,3.0268999415322774e-08,100,12,0,0,12,0,"(1,2,3)",3,"{""(1,2,3)"": 3, ""(1,3,3)"": 2, ""(2,1,2)"": 1, ""(2,2,2)"": 1, ""(2,2,3)"": 3, ""(2,3,3)"": 1, ""(3,1,3)"": 1}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,3.0268999415322773e-07,50,12,0,0,12,0,"(1,3,3)",4,"{""(1,2,3)"": 3, ""(1,3,3)"": 4, ""(2,1,3)"": 3, ""(2,2,3)"": 2}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,3.0268999415322773e-07,100,12,0,0,12,0,"(1,2,3)",3,"{""(1,2,3)"": 3, ""(1,3,3)"": 2, ""(2,1,2)"": 1, ""(2,2,2)"": 1, ""(2,2,3)"": 3, ""(2,3,3)"": 1, ""(3,1,3)"": 1}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,3.947567413221681e-07,50,12,0,0,12,0,"(1,3,3)",4,"{""(1,2,3)"": 3, ""(1,3,3)"": 4, ""(2,1,3)"": 3, ""(2,2,3)"": 2}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,3.947567413221681e-07,100,12,0,0,12,0,"(1,2,3)",3,"{""(1,2,3)"": 3, ""(1,3,3)"": 2, ""(2,1,2)"": 1, ""(2,2,2)"": 1, ""(2,2,3)"": 3, ""(2,3,3)"": 1, ""(3,1,3)"": 1}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,5.148266801987891e-07,50,12,0,0,12,0,"(1,3,3)",4,"{""(1,2,3)"": 3, ""(1,3,3)"": 4, ""(2,1,3)"": 3, ""(2,2,3)"": 2}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,5.148266801987891e-07,100,12,0,0,12,0,"(1,2,3)",3,"{""(1,2,3)"": 3, ""(1,3,3)"": 2, ""(2,1,2)"": 1, ""(2,2,2)"": 1, ""(2,2,3)"": 3, ""(2,3,3)"": 1, ""(3,1,3)"": 1}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,6.213704999885329e-07,50,12,0,0,12,0,"(1,3,3)",4,"{""(1,2,3)"": 3, ""(1,3,3)"": 4, ""(2,1,3)"": 3, ""(2,2,3)"": 2}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,6.213704999885329e-07,100,12,0,0,12,0,"(1,2,3)",3,"{""(1,2,3)"": 3, ""(1,3,3)"": 2, ""(2,1,2)"": 1, ""(2,2,2)"": 1, ""(2,2,3)"": 3, ""(2,3,3)"": 1, ""(3,1,3)"": 1}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,7.499636539950004e-07,50,12,0,0,12,0,"(1,3,3)",4,"{""(1,2,3)"": 3, ""(1,3,3)"": 4, ""(2,1,3)"": 3, ""(2,2,3)"": 2}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,7.499636539950004e-07,100,12,0,0,12,0,"(1,2,3)",3,"{""(1,2,3)"": 3, ""(1,3,3)"": 2, ""(2,1,2)"": 1, ""(2,2,2)"": 1, ""(2,2,3)"": 3, ""(2,3,3)"": 1, ""(3,1,3)"": 1}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,7.546492410935271e-07,50,12,0,0,12,0,"(1,3,3)",4,"{""(1,2,3)"": 3, ""(1,3,3)"": 4, ""(2,1,3)"": 3, ""(2,2,3)"": 2}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,7.546492410935271e-07,100,12,0,0,12,0,"(1,2,3)",3,"{""(1,2,3)"": 3, ""(1,3,3)"": 2, ""(2,1,2)"": 1, ""(2,2,2)"": 1, ""(2,2,3)"": 3, ""(2,3,3)"": 1, ""(3,1,3)"": 1}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,7.593641025793405e-07,50,12,0,0,12,0,"(1,3,3)",4,"{""(1,2,3)"": 3, ""(1,3,3)"": 4, ""(2,1,3)"": 3, ""(2,2,3)"": 2}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,7.593641025793405e-07,100,12,0,0,12,0,"(1,2,3)",3,"{""(1,2,3)"": 3, ""(1,3,3)"": 2, ""(2,1,2)"": 1, ""(2,2,2)"": 1, ""(2,2,3)"": 3, ""(2,3,3)"": 1, ""(3,1,3)"": 1}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,7.634041651394768e-07,50,12,0,0,12,0,"(1,3,3)",4,"{""(1,2,3)"": 3, ""(1,3,3)"": 4, ""(2,1,3)"": 3, ""(2,2,3)"": 2}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,7.634041651394768e-07,100,12,0,0,12,0,"(2,2,3)",3,"{""(1,1,3)"": 1, ""(1,2,3)"": 2, ""(1,3,3)"": 2, ""(2,1,2)"": 1, ""(2,2,2)"": 1, ""(2,2,3)"": 3, ""(2,3,3)"": 1, ""(3,1,3)"": 1}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,7.674657221387556e-07,50,12,0,0,12,0,"(1,3,3)",4,"{""(1,2,3)"": 3, ""(1,3,3)"": 4, ""(2,1,3)"": 3, ""(2,2,3)"": 2}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,7.674657221387556e-07,100,12,0,0,12,0,"(2,2,3)",3,"{""(1,1,3)"": 1, ""(1,2,3)"": 2, ""(1,3,3)"": 2, ""(2,1,2)"": 1, ""(2,2,2)"": 1, ""(2,2,3)"": 3, ""(2,3,3)"": 1, ""(3,1,3)"": 1}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,7.699213173136226e-07,50,12,0,0,12,0,"(1,3,3)",4,"{""(1,2,3)"": 3, ""(1,3,3)"": 4, ""(2,1,3)"": 3, ""(2,2,3)"": 2}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,7.699213173136226e-07,100,12,0,0,12,0,"(2,2,3)",3,"{""(1,1,3)"": 1, ""(1,2,3)"": 2, ""(1,3,3)"": 2, ""(2,1,2)"": 1, ""(2,2,2)"": 1, ""(2,2,3)"": 3, ""(2,3,3)"": 1, ""(3,1,3)"": 1}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,7.723847694487276e-07,50,12,0,0,12,0,"(1,3,3)",4,"{""(1,2,3)"": 3, ""(1,3,3)"": 4, ""(2,1,3)"": 3, ""(2,2,3)"": 2}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,7.723847694487276e-07,100,12,0,0,12,0,"(2,2,3)",3,"{""(1,1,3)"": 1, ""(1,2,3)"": 2, ""(1,3,3)"": 2, ""(2,1,2)"": 1, ""(2,2,2)"": 1, ""(2,2,3)"": 3, ""(2,3,3)"": 1, ""(3,1,3)"": 1}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,7.740863393584391e-07,50,12,0,0,12,0,"(1,3,3)",4,"{""(1,2,3)"": 3, ""(1,3,3)"": 4, ""(2,1,3)"": 3, ""(2,2,3)"": 2}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,7.740863393584391e-07,100,12,0,0,12,0,"(2,2,3)",3,"{""(1,1,3)"": 1, ""(1,2,3)"": 2, ""(1,3,3)"": 2, ""(2,1,2)"": 1, ""(2,2,2)"": 1, ""(2,2,3)"": 3, ""(2,3,3)"": 1, ""(3,1,3)"": 1}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,7.757916578404583e-07,50,12,0,0,12,0,"(1,3,3)",4,"{""(1,2,3)"": 3, ""(1,3,3)"": 4, ""(2,1,3)"": 3, ""(2,2,3)"": 2}"
