semantic_replication_id,dgp,N,T,replication,reference_rank,competitor_rank,Q_hat_true,Q_hat_competitor,log_Q_hat_true,log_Q_hat_competitor,d_true,d_competitor,P_true,P_competitor,c_break_even,positive_finite_break_even,especially_requested_comparison
dgp1_N100_T100_r2026080901_truth1-1-1,1,100,100,2026080901,"(1,1,1)","(0,0,0)",3.441762989014167,10.895916389784714,1.235983836910115,2.3883880758998073,597,0,169158.98786796117,0.0,6.812551041563417e-06,True,True
dgp1_N100_T100_r2026080901_truth1-1-1,1,100,100,2026080901,"(1,1,1)","(1,0,0)",3.441762989014167,4.893718243947027,1.235983836910115,1.587952391631866,597,199,169158.98786796117,56386.32928932039,3.1210451110923276e-06,True,True
dgp1_N100_T100_r2026080901_truth1-1-1,1,100,100,2026080901,"(1,1,1)","(0,0,1)",3.441762989014167,6.001069019246962,1.235983836910115,1.7919376232321815,597,199,169158.98786796117,56386.32928932039,4.929863260555999e-06,True,True
dgp1_N100_T100_r2026080901_truth1-1-1,1,100,100,2026080901,"(1,1,1)","(0,1,0)",3.441762989014167,9.32238370531414,1.235983836910115,2.232418358368642,597,199,169158.98786796117,56386.32928932039,8.835781066238446e-06,True,True
dgp1_N100_T100_r2026080901_truth1-1-1,1,100,100,2026080901,"(1,1,1)","(1,0,1)",3.441762989014167,3.9878609745416527,1.235983836910115,1.3832549905445057,597,398,169158.98786796117,112772.65857864078,2.611823743282469e-06,True,True
dgp1_N100_T100_r2026080901_truth1-1-1,1,100,100,2026080901,"(1,1,1)","(1,1,0)",3.441762989014167,4.350470951004046,1.235983836910115,1.4702841038390353,597,398,169158.98786796117,112772.65857864078,4.15526724087175e-06,True,True
dgp1_N100_T100_r2026080901_truth1-1-1,1,100,100,2026080901,"(1,1,1)","(0,1,1)",3.441762989014167,4.876492181341737,1.235983836910115,1.584426146094645,597,398,169158.98786796117,112772.65857864078,6.179552979883816e-06,True,True
dgp1_N100_T100_r2026080901_truth1-1-1,1,100,100,2026080901,"(1,1,1)","(1,0,2)",3.441762989014167,3.771943477279058,1.235983836910115,1.3275903798442659,597,595,169158.98786796117,168592.29109118407,0.00016165001582527853,True,False
dgp1_N100_T100_r2026080901_truth1-1-1,1,100,100,2026080901,"(1,1,1)","(1,0,3)",3.441762989014167,3.606885539341162,1.235983836910115,1.2828446684933559,597,790,169158.98786796117,223845.2268269503,-8.569035368913047e-07,False,False
dgp1_N100_T100_r2026080901_truth1-1-1,1,100,100,2026080901,"(1,1,1)","(0,1,3)",3.441762989014167,4.21363292991449,1.235983836910115,1.4383252043061365,597,790,169158.98786796117,223845.2268269503,-3.7000417517789706e-06,False,False
dgp1_N100_T100_r2026080901_truth1-1-1,1,100,100,2026080901,"(1,1,1)","(1,1,2)",3.441762989014167,3.2902563934200444,1.235983836910115,1.1909654928715203,597,794,169158.98786796117,224978.62038050446,8.064966036542536e-07,True,False
dgp1_N100_T100_r2026080901_truth1-1-1,1,100,100,2026080901,"(1,1,1)","(0,2,3)",3.441762989014167,3.9991379348440823,1.235983836910115,1.3860788216039386,597,987,169158.98786796117,279664.85933949356,-1.3582534818748498e-06,False,False
dgp1_N100_T100_r2026080901_truth1-1-1,1,100,100,2026080901,"(1,1,1)","(1,1,3)",3.441762989014167,3.1388592396451194,1.235983836910115,1.1438594344348427,597,989,169158.98786796117,280231.55611627066,8.294073318744425e-07,True,False
dgp1_N100_T100_r2026080901_truth1-1-1,1,100,100,2026080901,"(1,1,1)","(1,3,2)",3.441762989014167,2.9949167557866647,1.235983836910115,1.0969164367860378,597,1186,169158.98786796117,336051.18862881395,8.332768067655424e-07,True,False
dgp1_N100_T100_r2026080901_truth1-1-1,1,100,100,2026080901,"(1,1,1)","(1,3,3)",3.441762989014167,2.8443056472852377,1.235983836910115,1.0453189770824562,597,1381,169158.98786796117,391304.1243645802,8.582895976683273e-07,True,False
dgp1_N100_T100_r2026080902_truth1-1-1,1,100,100,2026080902,"(1,1,1)","(0,0,0)",3.384318441347091,10.34206713850059,1.2191525393695792,2.3362197657824484,597,0,169158.98786796117,0.0,6.6036528149766876e-06,True,True
dgp1_N100_T100_r2026080902_truth1-1-1,1,100,100,2026080902,"(1,1,1)","(1,0,0)",3.384318441347091,5.270843196458841,1.2191525393695792,1.662190349082797,597,199,169158.98786796117,56386.32928932039,3.928592402601471e-06,True,True
dgp1_N100_T100_r2026080902_truth1-1-1,1,100,100,2026080902,"(1,1,1)","(0,0,1)",3.384318441347091,6.971819744250283,1.2191525393695792,1.9418762730852064,597,199,169158.98786796117,56386.32928932039,6.408678688829914e-06,True,True
dgp1_N100_T100_r2026080902_truth1-1-1,1,100,100,2026080902,"(1,1,1)","(0,1,0)",3.384318441347091,8.263886964776137,1.2191525393695792,2.1118950536957355,597,199,169158.98786796117,56386.32928932039,7.916302812916413e-06,True,True
dgp1_N100_T100_r2026080902_truth1-1-1,1,100,100,2026080902,"(1,1,1)","(1,0,1)",3.384318441347091,4.178818302912517,1.2191525393695792,1.4300285039162293,597,398,169158.98786796117,112772.65857864078,3.7398420362609075e-06,True,True
dgp1_N100_T100_r2026080902_truth1-1-1,1,100,100,2026080902,"(1,1,1)","(1,1,0)",3.384318441347091,4.500507348889016,1.2191525393695792,1.504190134618684,597,398,169158.98786796117,112772.65857864078,5.05508336580248e-06,True,True
dgp1_N100_T100_r2026080902_truth1-1-1,1,100,100,2026080902,"(1,1,1)","(0,1,1)",3.384318441347091,4.8883444949140085,1.2191525393695792,1.5868536970687577,597,398,169158.98786796117,112772.65857864078,6.521104713386996e-06,True,True
dgp1_N100_T100_r2026080902_truth1-1-1,1,100,100,2026080902,"(1,1,1)","(1,0,2)",3.384318441347091,3.892310526289286,1.2191525393695792,1.359002946929656,597,595,169158.98786796117,168592.29109118407,0.0002467817240031473,True,False
dgp1_N100_T100_r2026080902_truth1-1-1,1,100,100,2026080902,"(1,1,1)","(0,1,2)",3.384318441347091,4.440396145432945,1.2191525393695792,1.4907435944084493,597,595,169158.98786796117,168592.29109118407,0.00047925286708609715,True,False
dgp1_N100_T100_r2026080902_truth1-1-1,1,100,100,2026080902,"(1,1,1)","(1,0,3)",3.384318441347091,3.7147817687472786,1.2191525393695792,1.3123199331730115,597,790,169158.98786796117,223845.2268269503,-1.7036716288589783e-06,False,False
dgp1_N100_T100_r2026080902_truth1-1-1,1,100,100,2026080902,"(1,1,1)","(0,1,3)",3.384318441347091,4.141991155187874,1.2191525393695792,1.4211766275746551,597,790,169158.98786796117,223845.2268269503,-3.694239941360384e-06,False,False
dgp1_N100_T100_r2026080902_truth1-1-1,1,100,100,2026080902,"(1,1,1)","(1,2,1)",3.384318441347091,3.2267605658392924,1.2191525393695792,1.1714787131802022,597,794,169158.98786796117,224978.62038050446,8.540691517212003e-07,True,False
dgp1_N100_T100_r2026080902_truth1-1-1,1,100,100,2026080902,"(1,1,1)","(1,1,2)",3.384318441347091,3.230769958552831,1.2191525393695792,1.1727204860881586,597,794,169158.98786796117,224978.62038050446,8.318229839830428e-07,True,False
dgp1_N100_T100_r2026080902_truth1-1-1,1,100,100,2026080902,"(1,1,1)","(0,2,3)",3.384318441347091,3.9139507812507683,1.2191525393695792,1.3645472938439156,597,987,169158.98786796117,279664.85933949356,-1.3157197218411306e-06,False,False
dgp1_N100_T100_r2026080902_truth1-1-1,1,100,100,2026080902,"(1,1,1)","(1,1,3)",3.384318441347091,3.0877405418302426,1.2191525393695792,1.1274396072045016,597,989,169158.98786796117,280231.55611627066,8.257028140381855e-07,True,False
dgp1_N100_T100_r2026080902_truth1-1-1,1,100,100,2026080902,"(1,1,1)","(2,2,1)",3.384318441347091,3.0735976555352407,1.2191525393695792,1.1228487502570206,597,991,169158.98786796117,280798.25289304776,8.626336718619395e-07,True,False
dgp1_N100_T100_r2026080902_truth1-1-1,1,100,100,2026080902,"(1,1,1)","(0,3,3)",3.384318441347091,3.7193387713024464,1.2191525393695792,1.3135459028358338,597,1182,169158.98786796117,334917.7950752598,-5.694621302879302e-07,False,False
dgp1_N100_T100_r2026080902_truth1-1-1,1,100,100,2026080902,"(1,1,1)","(2,2,2)",3.384318441347091,2.927232765570665,1.2191525393695792,1.0740575281456826,597,1188,169158.98786796117,336617.88540559105,8.664514896337006e-07,True,False
dgp1_N100_T100_r2026080903_truth1-1-1,1,100,100,2026080903,"(1,1,1)","(0,0,0)",3.508921090925426,10.166521534593025,1.2553086087236696,2.3191001195574312,597,0,169158.98786796117,0.0,6.288708180638414e-06,True,True
dgp1_N100_T100_r2026080903_truth1-1-1,1,100,100,2026080903,"(1,1,1)","(1,0,0)",3.508921090925426,5.209985518836978,1.2553086087236696,1.6505770762675507,597,199,169158.98786796117,56386.32928932039,3.5050026533536495e-06,True,True
dgp1_N100_T100_r2026080903_truth1-1-1,1,100,100,2026080903,"(1,1,1)","(0,0,1)",3.508921090925426,6.440521361994547,1.2553086087236696,1.8626094936708861,597,199,169158.98786796117,56386.32928932039,5.385178398749214e-06,True,True
dgp1_N100_T100_r2026080903_truth1-1-1,1,100,100,2026080903,"(1,1,1)","(0,1,0)",3.508921090925426,8.599016827238547,1.2553086087236696,2.1516478743100342,597,199,169158.98786796117,56386.32928932039,7.94819663634437e-06,True,True
dgp1_N100_T100_r2026080903_truth1-1-1,1,100,100,2026080903,"(1,1,1)","(1,0,1)",3.508921090925426,4.104203788192775,1.2553086087236696,1.412011762628042,597,398,169158.98786796117,112772.65857864078,2.779098336058064e-06,True,True
dgp1_N100_T100_r2026080903_truth1-1-1,1,100,100,2026080903,"(1,1,1)","(1,1,0)",3.508921090925426,4.574429336554444,1.2553086087236696,1.5204819557680487,597,398,169158.98786796117,112772.65857864078,4.702794992803391e-06,True,True
dgp1_N100_T100_r2026080903_truth1-1-1,1,100,100,2026080903,"(1,1,1)","(0,1,1)",3.508921090925426,5.16419554500762,1.2553086087236696,1.6417493392325304,597,398,169158.98786796117,112772.65857864078,6.8534471986289234e-06,True,True
dgp1_N100_T100_r2026080903_truth1-1-1,1,100,100,2026080903,"(1,1,1)","(1,0,2)",3.508921090925426,3.8046802958479033,1.2553086087236696,1.336231965667405,597,595,169158.98786796117,168592.29109118407,0.0001427983363589287,True,False
dgp1_N100_T100_r2026080903_truth1-1-1,1,100,100,2026080903,"(1,1,1)","(0,1,3)",3.508921090925426,4.444352498368139,1.2553086087236696,1.4916341886965514,597,790,169158.98786796117,223845.2268269503,-4.321481682989931e-06,False,False
dgp1_N100_T100_r2026080903_truth1-1-1,1,100,100,2026080903,"(1,1,1)","(1,1,2)",3.508921090925426,3.3650604025048256,1.2553086087236696,1.2134459131599045,597,794,169158.98786796117,224978.62038050446,7.499636539950004e-07,True,False
dgp1_N100_T100_r2026080903_truth1-1-1,1,100,100,2026080903,"(1,1,1)","(0,2,3)",3.508921090925426,4.229961077271162,1.2553086087236696,1.4421927914251098,597,987,169158.98786796117,279664.85933949356,-1.6911697108292002e-06,False,False
dgp1_N100_T100_r2026080903_truth1-1-1,1,100,100,2026080903,"(1,1,1)","(1,1,3)",3.508921090925426,3.22510041957156,1.2553086087236696,1.1709640876146095,597,989,169158.98786796117,280231.55611627066,7.593641025793405e-07,True,False
dgp1_N100_T100_r2026080903_truth1-1-1,1,100,100,2026080903,"(1,1,1)","(2,1,2)",3.508921090925426,3.204410757522911,1.2553086087236696,1.164528222463073,597,991,169158.98786796117,280798.25289304776,8.13158222066377e-07,True,False
dgp1_N100_T100_r2026080903_truth1-1-1,1,100,100,2026080903,"(1,1,1)","(1,2,2)",3.508921090925426,3.2160949467512485,1.2553086087236696,1.168167874124465,597,991,169158.98786796117,280798.25289304776,7.805563264826499e-07,True,False
dgp1_N50_T50_r2026080901_truth1-1-1,1,50,50,2026080901,"(1,1,1)","(0,0,0)",2.9897016518100155,8.850840673966854,1.0951736004207004,2.180512445917124,297,0,100398.71397188924,0.0,1.0810286332953516e-05,True,True
dgp1_N50_T50_r2026080901_truth1-1-1,1,50,50,2026080901,"(1,1,1)","(1,0,0)",2.9897016518100155,4.571731862993778,1.0951736004207004,1.519892096573568,297,99,100398.71397188924,33466.23799062975,6.345477138359337e-06,True,True
dgp1_N50_T50_r2026080901_truth1-1-1,1,50,50,2026080901,"(1,1,1)","(0,0,1)",2.9897016518100155,5.670435123324107,1.0951736004207004,1.7352658561221987,297,99,100398.71397188924,33466.23799062975,9.563253806429012e-06,True,True
dgp1_N50_T50_r2026080901_truth1-1-1,1,50,50,2026080901,"(1,1,1)","(0,1,0)",2.9897016518100155,7.1887845783250786,1.0951736004207004,1.9725221140951286,297,99,100398.71397188924,33466.23799062975,1.3107964419545423e-05,True,True
dgp1_N50_T50_r2026080901_truth1-1-1,1,50,50,2026080901,"(1,1,1)","(1,0,1)",2.9897016518100155,3.5379739700692547,1.0951736004207004,1.2635542384661125,297,198,100398.71397188924,66932.4759812595,5.031358412396312e-06,True,True
dgp1_N50_T50_r2026080901_truth1-1-1,1,50,50,2026080901,"(1,1,1)","(1,1,0)",2.9897016518100155,3.993588570985286,1.0951736004207004,1.384690217916211,297,198,100398.71397188924,66932.4759812595,8.65100575620638e-06,True,True
dgp1_N50_T50_r2026080901_truth1-1-1,1,50,50,2026080901,"(1,1,1)","(0,1,1)",2.9897016518100155,4.394780799704978,1.0951736004207004,1.4804176549684251,297,198,100398.71397188924,66932.4759812595,1.151142398065745e-05,True,True
dgp1_N50_T50_r2026080901_truth1-1-1,1,50,50,2026080901,"(1,1,1)","(1,0,2)",2.9897016518100155,3.188154090544565,1.0951736004207004,1.15944209430963,297,295,100398.71397188924,99722.62835591692,9.505969713096359e-05,True,False
dgp1_N50_T50_r2026080901_truth1-1-1,1,50,50,2026080901,"(1,1,1)","(1,0,3)",2.9897016518100155,2.8982138071428682,1.0951736004207004,1.0640946186590772,297,390,100398.71397188924,131836.69511460204,9.885807113548466e-07,True,False
dgp1_N50_T50_r2026080901_truth1-1-1,1,50,50,2026080901,"(1,1,1)","(0,1,3)",2.9897016518100155,3.4219831379118397,1.0951736004207004,1.230220247904337,297,390,100398.71397188924,131836.69511460204,-4.295652665182026e-06,False,False
dgp1_N50_T50_r2026080901_truth1-1-1,1,50,50,2026080901,"(1,1,1)","(1,1,2)",2.9897016518100155,2.702678547141492,1.0951736004207004,0.9942433357462787,297,394,100398.71397188924,133188.86634654668,3.0780663511776756e-06,True,False
dgp1_N50_T50_r2026080901_truth1-1-1,1,50,50,2026080901,"(1,1,1)","(1,2,1)",2.9897016518100155,2.709545185921502,1.0951736004207004,0.996780792733656,297,394,100398.71397188924,133188.86634654668,3.000681624251596e-06,True,False
dgp1_N50_T50_r2026080901_truth1-1-1,1,50,50,2026080901,"(1,1,1)","(0,2,3)",2.9897016518100155,2.993688566536268,1.0951736004207004,1.096506261394102,297,487,100398.71397188924,164626.84748925947,-2.07488665857158e-08,False,False
dgp1_N50_T50_r2026080901_truth1-1-1,1,50,50,2026080901,"(1,1,1)","(1,1,3)",2.9897016518100155,2.4367025639583764,1.0951736004207004,0.8906457171157213,297,489,100398.71397188924,165302.9331052318,3.1512263152690683e-06,True,False
dgp1_N50_T50_r2026080901_truth1-1-1,1,50,50,2026080901,"(1,1,1)","(1,2,3)",2.9897016518100155,2.1670922311047205,1.0951736004207004,0.7733862833027324,297,586,100398.71397188924,198093.0854798892,3.29381633916973e-06,True,False
dgp1_N50_T50_r2026080903_truth1-1-1,1,50,50,2026080903,"(1,1,1)","(0,0,0)",2.873814054275375,6.810458171875363,1.0556400862858655,1.918459397175124,297,0,100398.71397188924,0.0,8.593927917551218e-06,True,True
dgp1_N50_T50_r2026080903_truth1-1-1,1,50,50,2026080903,"(1,1,1)","(1,0,0)",2.873814054275375,4.3351196069714115,1.0556400862858655,1.466749200848746,297,99,100398.71397188924,33466.23799062975,6.142147119702958e-06,True,True
dgp1_N50_T50_r2026080903_truth1-1-1,1,50,50,2026080903,"(1,1,1)","(0,0,1)",2.873814054275375,5.091599353236155,1.0556400862858655,1.6275919959884755,297,99,100398.71397188924,33466.23799062975,8.54520770847849e-06,True,True
dgp1_N50_T50_r2026080903_truth1-1-1,1,50,50,2026080903,"(1,1,1)","(0,1,0)",2.873814054275375,5.767158303809082,1.0556400862858655,1.7521794641974175,297,99,100398.71397188924,33466.23799062975,1.040659810801825e-05,True,True
dgp1_N50_T50_r2026080903_truth1-1-1,1,50,50,2026080903,"(1,1,1)","(1,1,0)",2.873814054275375,3.7266094607223366,1.0556400862858655,1.3154988285087355,297,198,100398.71397188924,66932.4759812595,7.764802912583964e-06,True,True
dgp1_N50_T50_r2026080903_truth1-1-1,1,50,50,2026080903,"(1,1,1)","(0,1,1)",2.873814054275375,3.9914123906780063,1.0556400862858655,1.3841451508907703,297,198,100398.71397188924,66932.4759812595,9.816014118374564e-06,True,True
dgp1_N50_T50_r2026080903_truth1-1-1,1,50,50,2026080903,"(1,1,1)","(0,1,3)",2.873814054275375,3.1746957368609685,1.0556400862858655,1.1552117968426487,297,390,100398.71397188924,131836.69511460204,-3.1672425180477475e-06,False,False
