semantic_replication_id,dgp,N,T,replication,true_rank,true_rank_present_in_candidate_set,true_rank_postrefit_numerically_valid,true_rank_postrefit_numerically_invalid,invalid_reasons,Q_hat_true,log_Q_hat_true,d_true,baseline_IC_true
dgp1_N100_T100_r2026080901_truth1-1-1,1,100,100,2026080901,"(1,1,1)",True,True,False,,3.441762989014167,1.235983836910115,597,169160.22385179804
dgp1_N100_T100_r2026080902_truth1-1-1,1,100,100,2026080902,"(1,1,1)",True,True,False,,3.384318441347091,1.2191525393695792,597,169160.2070205005
dgp1_N100_T100_r2026080903_truth1-1-1,1,100,100,2026080903,"(1,1,1)",True,True,False,,3.508921090925426,1.2553086087236696,597,169160.24317656987
dgp1_N50_T50_r2026080901_truth1-1-1,1,50,50,2026080901,"(1,1,1)",True,True,False,,2.9897016518100155,1.0951736004207004,297,100399.80914548966
dgp1_N50_T50_r2026080902_truth1-1-1,1,50,50,2026080902,"(1,1,1)",True,False,True,stationarity_high|objective_stability_failed,2.987574384672764,1.094461815582898,297,inf
dgp1_N50_T50_r2026080903_truth1-1-1,1,50,50,2026080903,"(1,1,1)",True,True,False,,2.873814054275375,1.0556400862858655,297,100399.76961197553
dgp2_N100_T100_r2026080901_truth1-1-1,2,100,100,2026080901,"(1,1,1)",True,True,False,,3.2171804960685164,1.1685053536361754,597,169160.1563733148
dgp2_N100_T100_r2026080902_truth1-1-1,2,100,100,2026080902,"(1,1,1)",True,True,False,,3.1807783221312897,1.1571259222315702,597,169160.14499388338
dgp2_N100_T100_r2026080903_truth1-1-1,2,100,100,2026080903,"(1,1,1)",True,True,False,,3.195552467273645,1.1617599890857981,597,169160.14962795022
dgp2_N50_T50_r2026080901_truth1-1-1,2,50,50,2026080901,"(1,1,1)",True,True,False,,2.638037514441411,0.9700352749830193,297,100399.68400716422
dgp2_N50_T50_r2026080902_truth1-1-1,2,50,50,2026080902,"(1,1,1)",True,False,True,objective_stability_failed,2.6949551286509297,0.9913815543711181,297,inf
dgp2_N50_T50_r2026080903_truth1-1-1,2,50,50,2026080903,"(1,1,1)",True,True,False,,2.756171442992391,1.0138425583981898,297,100399.72781444764
dgp3_N100_T100_r2026080901_truth1-1-1,3,100,100,2026080901,"(1,1,1)",True,True,False,,4.4284564784810545,1.4880510986209379,597,169160.47591905977
dgp3_N100_T100_r2026080902_truth1-1-1,3,100,100,2026080902,"(1,1,1)",True,True,False,,4.364231250017784,1.4734420569467608,597,169160.4613100181
dgp3_N100_T100_r2026080903_truth1-1-1,3,100,100,2026080903,"(1,1,1)",True,True,False,,4.4331131129706955,1.4891020715598076,597,169160.4769700327
dgp3_N50_T50_r2026080901_truth1-1-1,3,50,50,2026080901,"(1,1,1)",True,False,True,objective_stability_failed,4.480859629213569,1.4998149095408753,297,inf
dgp3_N50_T50_r2026080902_truth1-1-1,3,50,50,2026080902,"(1,1,1)",True,False,True,objective_stability_failed,4.865849524770639,1.582241320079366,297,inf
dgp3_N50_T50_r2026080903_truth1-1-1,3,50,50,2026080903,"(1,1,1)",True,False,True,stationarity_high|objective_stability_failed,4.270979260227606,1.451843135895211,297,inf
dgp4_N100_T100_r2026080901_truth1-1-1,4,100,100,2026080901,"(1,1,1)",True,True,False,,3.5373512466849855,1.2633782116781416,597,169160.25124617282
dgp4_N100_T100_r2026080902_truth1-1-1,4,100,100,2026080902,"(1,1,1)",True,True,False,,3.7022758197778036,1.3089477169884893,597,169160.29681567813
dgp4_N100_T100_r2026080903_truth1-1-1,4,100,100,2026080903,"(1,1,1)",True,True,False,,3.2800381515133843,1.187855053887365,597,169160.17572301504
dgp4_N50_T50_r2026080901_truth1-1-1,4,50,50,2026080901,"(1,1,1)",True,False,True,stationarity_high|objective_stability_failed,3.201227505539722,1.1635343317329068,297,inf
dgp4_N50_T50_r2026080902_truth1-1-1,4,50,50,2026080902,"(1,1,1)",True,True,False,,3.2550468037743867,1.1802066545969052,297,100399.89417854384
dgp4_N50_T50_r2026080903_truth1-1-1,4,50,50,2026080903,"(1,1,1)",True,True,False,,3.3160041135805454,1.198760477797172,297,100399.91273236704
