semantic_replication_id,dgp,N,T,replication,eligible,c_lower,c_upper,lower_binding_candidate,upper_binding_candidate,nonempty,ineligibility_reason
dgp1_N100_T100_r2026080901_truth1-1-1,1,100,100,2026080901,True,8.582895976683273e-07,2.611823743282469e-06,"(1,3,3)","(1,0,1)",True,
dgp1_N100_T100_r2026080902_truth1-1-1,1,100,100,2026080902,True,8.664514896337006e-07,3.7398420362609075e-06,"(2,2,2)","(1,0,1)",True,
dgp1_N100_T100_r2026080903_truth1-1-1,1,100,100,2026080903,True,8.13158222066377e-07,2.779098336058064e-06,"(2,1,2)","(1,0,1)",True,
dgp1_N50_T50_r2026080901_truth1-1-1,1,50,50,2026080901,True,3.29381633916973e-06,5.031358412396312e-06,"(1,2,3)","(1,0,1)",True,
dgp1_N50_T50_r2026080902_truth1-1-1,1,50,50,2026080902,False,,,,,False,true_rank_postrefit_numerically_invalid
dgp1_N50_T50_r2026080903_truth1-1-1,1,50,50,2026080903,True,3.4651874083151593e-06,6.142147119702958e-06,"(1,3,3)","(1,0,0)",True,
dgp2_N100_T100_r2026080901_truth1-1-1,2,100,100,2026080901,True,1.0679264529341577e-06,3.2818489396038814e-06,"(1,1,2)","(1,0,1)",True,
dgp2_N100_T100_r2026080902_truth1-1-1,2,100,100,2026080902,True,1.2340837925801765e-06,3.2251488561333417e-06,"(1,1,2)","(1,0,1)",True,
dgp2_N100_T100_r2026080903_truth1-1-1,2,100,100,2026080903,True,1.1202048807394377e-06,3.1841398056697223e-06,"(1,1,2)","(1,0,1)",True,
dgp2_N50_T50_r2026080901_truth1-1-1,2,50,50,2026080901,True,4.565656858823929e-06,6.844233255176467e-06,"(1,1,2)","(1,0,0)",True,
dgp2_N50_T50_r2026080902_truth1-1-1,2,50,50,2026080902,False,,,,,False,true_rank_postrefit_numerically_invalid
dgp2_N50_T50_r2026080903_truth1-1-1,2,50,50,2026080903,True,3.956455637258223e-06,7.574259680855628e-06,"(1,1,2)","(1,0,0)",True,
dgp3_N100_T100_r2026080901_truth1-1-1,3,100,100,2026080901,True,1.0959736893512e-06,2.4261355471350097e-06,"(1,1,3)","(1,0,1)",True,
dgp3_N100_T100_r2026080902_truth1-1-1,3,100,100,2026080902,True,1.0717499250948927e-06,2.757705235945413e-06,"(1,1,3)","(1,0,1)",True,
dgp3_N100_T100_r2026080903_truth1-1-1,3,100,100,2026080903,True,1.1832429035950818e-06,2.3018158052065432e-06,"(1,1,2)","(1,0,1)",True,
dgp3_N50_T50_r2026080901_truth1-1-1,3,50,50,2026080901,False,,,,,False,true_rank_postrefit_numerically_invalid
dgp3_N50_T50_r2026080902_truth1-1-1,3,50,50,2026080902,False,,,,,False,true_rank_postrefit_numerically_invalid
dgp3_N50_T50_r2026080903_truth1-1-1,3,50,50,2026080903,False,,,,,False,true_rank_postrefit_numerically_invalid
dgp4_N100_T100_r2026080901_truth1-1-1,4,100,100,2026080901,True,1.1016787088393548e-06,2.510468870761318e-06,"(1,1,2)","(1,0,1)",True,
dgp4_N100_T100_r2026080902_truth1-1-1,4,100,100,2026080902,True,1.1706948404589157e-06,2.5525172412024158e-06,"(1,1,2)","(1,0,1)",True,
dgp4_N100_T100_r2026080903_truth1-1-1,4,100,100,2026080903,True,1.1417846312215915e-06,2.721266761191829e-06,"(1,1,2)","(1,0,1)",True,
dgp4_N50_T50_r2026080901_truth1-1-1,4,50,50,2026080901,False,,,,,False,true_rank_postrefit_numerically_invalid
dgp4_N50_T50_r2026080902_truth1-1-1,4,50,50,2026080902,True,4.0520090802243174e-06,6.448650335311804e-06,"(1,2,3)","(1,0,0)",True,
dgp4_N50_T50_r2026080903_truth1-1-1,4,50,50,2026080903,True,4.134516811203753e-06,6.04243331725492e-06,"(1,1,2)","(1,0,0)",True,
