design,dgp,N,T,true_rank,c_H,c_xi,intended_pooled_R2,achieved_calibration_R2,r2_scale_identified,C_A,C_beta,C_H,C_Theta,calibration_seed,calibration_draws,status
baseline,1,50,50,"(1,1,1)",0.6546536707079772,1.8078429491333174,0.65,0.6499999999999975,true,0.85,1.7774613391789282,6.1497036679735935,6.1497036679735935,20260807,50,candidate_not_activated
baseline,1,100,100,"(1,1,1)",0.6546536707079772,1.9136634556673244,0.65,0.65,true,0.85,1.7774613391789282,6.509671195844852,6.509671195844852,20260807,50,candidate_not_activated
baseline,1,200,200,"(1,1,1)",0.6546536707079772,1.7475182304894648,0.65,0.6499999999995693,true,0.85,1.7774613391789282,5.94449826354871,5.94449826354871,20260807,50,candidate_not_activated
baseline,1,400,400,"(1,1,1)",0.6546536707079772,1.7576856316127907,0.65,0.6499999999998574,true,0.85,1.7774613391789282,5.979084511215772,5.979084511215772,20260807,50,candidate_not_activated
baseline,2,50,50,"(1,1,1)",0.6546536707079772,1.7317944267764211,0.65,0.6499999999986029,true,0.85,1.7774613391789282,5.891010910891801,5.891010910891801,20260807,50,candidate_not_activated
baseline,2,100,100,"(1,1,1)",0.6546536707079772,1.8309489220350308,0.65,0.6499999999996348,true,0.85,1.7774613391789282,6.228302799814047,6.228302799814047,20260807,50,candidate_not_activated
baseline,2,200,200,"(1,1,1)",0.6546536707079772,1.8058161304421865,0.65,0.6499999999999989,true,0.85,1.7774613391789282,6.142809078847286,6.142809078847286,20260807,50,candidate_not_activated
baseline,2,400,400,"(1,1,1)",0.6546536707079772,1.8091754935604272,0.65,0.6499999999999959,true,0.85,1.7774613391789282,6.154236558042979,6.154236558042979,20260807,50,candidate_not_activated
baseline,3,50,50,"(1,1,1)",0.6546536707079772,2.2863113156832737,0.65,0.6500000000020866,true,0.85,1.7774613391789282,7.777300064105353,7.777300064105353,20260807,50,candidate_not_activated
baseline,3,100,100,"(1,1,1)",0.6546536707079772,2.1479565603939967,0.65,0.6499999999998035,true,0.85,1.7774613391789282,7.306661424564264,7.306661424564264,20260807,50,candidate_not_activated
baseline,3,200,200,"(1,1,1)",0.6546536707079772,2.3145854427427954,0.65,0.65,true,0.85,1.7774613391789282,7.873479603909985,7.873479603909985,20260807,50,candidate_not_activated
baseline,3,400,400,"(1,1,1)",0.6546536707079772,2.1788889791212527,0.65,0.6499999999999982,true,0.85,1.7774613391789282,7.411883622652597,7.411883622652597,20260807,50,candidate_not_activated
baseline,4,50,50,"(1,1,1)",0.6546536707079772,1.981125385973407,0.65,0.6500000000000001,true,0.85,1.71466333698683,6.7391551122717654,6.7391551122717654,20260807,50,candidate_not_activated
baseline,4,100,100,"(1,1,1)",0.6546536707079772,1.9069141690537679,0.65,0.65,true,0.85,1.71466333698683,6.486712280822122,6.486712280822122,20260807,50,candidate_not_activated
baseline,4,200,200,"(1,1,1)",0.6546536707079772,1.9770828505996425,0.65,0.65,true,0.85,1.71466333698683,6.725403699502271,6.725403699502271,20260807,50,candidate_not_activated
baseline,4,400,400,"(1,1,1)",0.6546536707079772,1.9512122585366316,0.65,0.65,true,0.85,1.71466333698683,6.637400217242477,6.637400217242477,20260807,50,candidate_not_activated
