semantic_replication_id,dgp,N,T,replication,true_rank,cap_pilot_numerical_rank_before_thresholding,thresholded_cap_pilot_rank,recovery_classification,pilot_numerically_valid,pilot_converged,pilot_objective_stability_pass,pilot_boundary_active,pilot_max_envelope_ratio,pilot_stationarity_or_KKT_residual,pilot_stationarity_or_KKT_limit,pilot_stationarity_or_KKT_pass,pilot_objective,pilot_acceptance_basis,pilot_stable_thresholded_ranks_agree
dgp1_N50_T50_r2026080901_truth1-1-1,1,50,50,2026080901,"(1,1,1)","(1,1,3)","(1,1,3)",Over only,True,True,True,False,0.9982320864755607,7.088817170886049e-07,1e-06,True,1.2183512897595186,best_valid_route_agreement,True
dgp1_N50_T50_r2026080902_truth1-1-1,1,50,50,2026080902,"(1,1,1)","(1,0,1)","(1,0,1)",Under only,True,True,True,False,0.5175498649759214,7.021814461855494e-07,1e-06,True,1.7878733292934013,best_valid_route_agreement,True
dgp1_N50_T50_r2026080903_truth1-1-1,1,50,50,2026080903,"(1,1,1)","(1,3,3)","(1,3,3)",Over only,True,True,True,True,1.0000000000000002,8.854833809897803e-05,0.0001,True,0.9163859767882321,best_valid_route_agreement,True
dgp2_N50_T50_r2026080901_truth1-1-1,2,50,50,2026080901,"(1,1,1)","(1,1,3)","(1,1,3)",Over only,True,True,True,True,1.0000000000000002,7.354743102901965e-05,0.0001,True,1.020906104838369,best_valid_route_agreement,True
dgp2_N50_T50_r2026080902_truth1-1-1,2,50,50,2026080902,"(1,1,1)","(2,1,3)","(2,1,3)",Over only,True,True,True,True,1.0,9.633453866593369e-05,0.0001,True,0.9398343566139203,best_valid_route_confirmed_agreement,True
dgp2_N50_T50_r2026080903_truth1-1-1,2,50,50,2026080903,"(1,1,1)","(1,2,3)","(1,2,3)",Over only,True,True,True,True,1.0000000000000002,7.40677125106068e-05,0.0001,True,0.9562154636315762,best_valid_route_confirmed_agreement,True
dgp3_N50_T50_r2026080901_truth1-1-1,3,50,50,2026080901,"(1,1,1)","(2,2,3)","(2,2,3)",Over only,True,True,True,True,1.0000000000000002,5.916130739621664e-05,0.0001,True,1.3794348626239707,best_valid_route_agreement,True
dgp3_N50_T50_r2026080902_truth1-1-1,3,50,50,2026080902,"(1,1,1)","(1,3,3)","(1,3,3)",Over only,True,True,True,True,1.0,7.368114929867138e-05,0.0001,True,1.4956128432613494,best_valid_route_confirmed_agreement,True
dgp3_N50_T50_r2026080903_truth1-1-1,3,50,50,2026080903,"(1,1,1)","(1,3,3)","(1,3,3)",Over only,True,True,True,True,1.0000000000000002,5.913222777858915e-05,0.0001,True,1.3585827940063875,best_valid_route_confirmed_agreement,True
dgp4_N50_T50_r2026080901_truth1-1-1,4,50,50,2026080901,"(1,1,1)","(1,2,3)","(1,2,3)",Over only,True,True,True,True,1.0,9.053207757896457e-05,0.0001,True,1.1111777070864786,best_valid_route_confirmed_agreement,True
dgp4_N50_T50_r2026080902_truth1-1-1,4,50,50,2026080902,"(1,1,1)","(2,2,3)","(2,2,3)",Over only,True,True,True,True,1.0,6.54150712217571e-05,0.0001,True,0.9793036283176915,best_valid_route_agreement,True
dgp4_N50_T50_r2026080903_truth1-1-1,4,50,50,2026080903,"(1,1,1)","(1,1,2)","(1,1,2)",Over only,True,True,True,False,0.6784603683430773,7.303894753535774e-07,1e-06,True,1.4477952270432393,best_valid_route_agreement,True
dgp1_N100_T100_r2026080901_truth1-1-1,1,100,100,2026080901,"(1,1,1)","(1,3,3)","(1,3,3)",Over only,True,True,True,True,1.0000000000000002,6.214215267998757e-05,0.0001,True,1.4221528321255363,best_valid_route_confirmed_agreement,True
dgp1_N100_T100_r2026080902_truth1-1-1,1,100,100,2026080902,"(1,1,1)","(2,2,2)","(2,2,2)",Over only,True,True,True,True,0.9999999999999998,5.9840456076993096e-05,0.0001,True,1.46361640484698,best_valid_route_agreement,True
dgp1_N100_T100_r2026080903_truth1-1-1,1,100,100,2026080903,"(1,1,1)","(2,1,2)","(2,1,2)",Over only,True,True,True,False,0.7118882829821327,7.029630487336506e-07,1e-06,True,1.6022053907451943,best_valid_route_agreement,True
dgp2_N100_T100_r2026080901_truth1-1-1,2,100,100,2026080901,"(1,1,1)","(2,2,3)","(2,2,3)",Over only,True,True,True,True,1.0,5.123026605631204e-05,0.0001,True,1.2944787213516908,best_valid_route_agreement,True
dgp2_N100_T100_r2026080902_truth1-1-1,2,100,100,2026080902,"(1,1,1)","(2,2,3)","(2,2,3)",Over only,True,True,True,False,0.6857108786159507,7.932501076490615e-07,1e-06,True,1.2522674103221343,best_valid_route_agreement,True
dgp2_N100_T100_r2026080903_truth1-1-1,2,100,100,2026080903,"(1,1,1)","(2,3,3)","(2,3,3)",Over only,True,True,True,True,1.0,5.7874965031060314e-05,0.0001,True,1.2082768120399512,best_valid_route_agreement,True
dgp3_N100_T100_r2026080901_truth1-1-1,3,100,100,2026080901,"(1,1,1)","(3,1,3)","(3,1,3)",Over only,True,True,True,False,0.7906851911824468,8.983814676759871e-07,1e-06,True,1.7758606854451289,best_valid_route_agreement,True
dgp3_N100_T100_r2026080902_truth1-1-1,3,100,100,2026080902,"(1,1,1)","(1,2,3)","(1,2,3)",Over only,True,True,True,False,0.8149533475696721,4.163651567978618e-07,1e-06,True,1.8566381002297552,best_valid_route_confirmed_agreement,True
dgp3_N100_T100_r2026080903_truth1-1-1,3,100,100,2026080903,"(1,1,1)","(1,3,3)","(1,3,3)",Over only,True,True,True,False,0.9183822525106151,4.305330113203709e-07,1e-06,True,1.763808048646338,best_valid_route_agreement,True
dgp4_N100_T100_r2026080901_truth1-1-1,4,100,100,2026080901,"(1,1,1)","(2,1,3)","(2,1,3)",Over only,True,True,True,False,0.580916683661072,8.861480995259493e-07,1e-06,True,1.4982613050196845,best_valid_route_agreement,True
dgp4_N100_T100_r2026080902_truth1-1-1,4,100,100,2026080902,"(1,1,1)","(1,2,3)","(1,2,3)",Over only,True,True,True,False,0.7919393037909505,4.0448973669471936e-07,1e-06,True,1.5430815735422736,best_valid_route_agreement,True
dgp4_N100_T100_r2026080903_truth1-1-1,4,100,100,2026080903,"(1,1,1)","(1,2,3)","(1,2,3)",Over only,True,True,True,False,0.935390522363799,4.0128496483210114e-07,1e-06,True,1.3826371552534495,best_valid_route_agreement,True
