summary_type,stratum_type,stratum_value,category,count,total,rate
rank_distribution,pooled,all,"(1,0,1)",1,24,0.041666666666666664
rank_distribution,pooled,all,"(1,1,2)",1,24,0.041666666666666664
rank_distribution,pooled,all,"(1,1,3)",2,24,0.08333333333333333
rank_distribution,pooled,all,"(1,2,3)",5,24,0.20833333333333334
rank_distribution,pooled,all,"(1,3,3)",5,24,0.20833333333333334
rank_distribution,pooled,all,"(2,1,2)",1,24,0.041666666666666664
rank_distribution,pooled,all,"(2,1,3)",2,24,0.08333333333333333
rank_distribution,pooled,all,"(2,2,2)",1,24,0.041666666666666664
rank_distribution,pooled,all,"(2,2,3)",4,24,0.16666666666666666
rank_distribution,pooled,all,"(2,3,3)",1,24,0.041666666666666664
rank_distribution,pooled,all,"(3,1,3)",1,24,0.041666666666666664
recovery_classification,pooled,all,Exact,0,24,0.0
recovery_classification,pooled,all,Under only,1,24,0.041666666666666664
recovery_classification,pooled,all,Over only,23,24,0.9583333333333334
recovery_classification,pooled,all,Mixed,0,24,0.0
rank_distribution,N,50,"(1,0,1)",1,12,0.08333333333333333
rank_distribution,N,50,"(1,1,2)",1,12,0.08333333333333333
rank_distribution,N,50,"(1,1,3)",2,12,0.16666666666666666
rank_distribution,N,50,"(1,2,3)",2,12,0.16666666666666666
rank_distribution,N,50,"(1,3,3)",3,12,0.25
rank_distribution,N,50,"(2,1,3)",1,12,0.08333333333333333
rank_distribution,N,50,"(2,2,3)",2,12,0.16666666666666666
recovery_classification,N,50,Exact,0,12,0.0
recovery_classification,N,50,Under only,1,12,0.08333333333333333
recovery_classification,N,50,Over only,11,12,0.9166666666666666
recovery_classification,N,50,Mixed,0,12,0.0
rank_distribution,N,100,"(1,2,3)",3,12,0.25
rank_distribution,N,100,"(1,3,3)",2,12,0.16666666666666666
rank_distribution,N,100,"(2,1,2)",1,12,0.08333333333333333
rank_distribution,N,100,"(2,1,3)",1,12,0.08333333333333333
rank_distribution,N,100,"(2,2,2)",1,12,0.08333333333333333
rank_distribution,N,100,"(2,2,3)",2,12,0.16666666666666666
rank_distribution,N,100,"(2,3,3)",1,12,0.08333333333333333
rank_distribution,N,100,"(3,1,3)",1,12,0.08333333333333333
recovery_classification,N,100,Exact,0,12,0.0
recovery_classification,N,100,Under only,0,12,0.0
recovery_classification,N,100,Over only,12,12,1.0
recovery_classification,N,100,Mixed,0,12,0.0
rank_distribution,DGP,1,"(1,0,1)",1,6,0.16666666666666666
rank_distribution,DGP,1,"(1,1,3)",1,6,0.16666666666666666
rank_distribution,DGP,1,"(1,3,3)",2,6,0.3333333333333333
rank_distribution,DGP,1,"(2,1,2)",1,6,0.16666666666666666
rank_distribution,DGP,1,"(2,2,2)",1,6,0.16666666666666666
recovery_classification,DGP,1,Exact,0,6,0.0
recovery_classification,DGP,1,Under only,1,6,0.16666666666666666
recovery_classification,DGP,1,Over only,5,6,0.8333333333333334
recovery_classification,DGP,1,Mixed,0,6,0.0
rank_distribution,DGP,2,"(1,1,3)",1,6,0.16666666666666666
rank_distribution,DGP,2,"(1,2,3)",1,6,0.16666666666666666
rank_distribution,DGP,2,"(2,1,3)",1,6,0.16666666666666666
rank_distribution,DGP,2,"(2,2,3)",2,6,0.3333333333333333
rank_distribution,DGP,2,"(2,3,3)",1,6,0.16666666666666666
recovery_classification,DGP,2,Exact,0,6,0.0
recovery_classification,DGP,2,Under only,0,6,0.0
recovery_classification,DGP,2,Over only,6,6,1.0
recovery_classification,DGP,2,Mixed,0,6,0.0
rank_distribution,DGP,3,"(1,2,3)",1,6,0.16666666666666666
rank_distribution,DGP,3,"(1,3,3)",3,6,0.5
rank_distribution,DGP,3,"(2,2,3)",1,6,0.16666666666666666
rank_distribution,DGP,3,"(3,1,3)",1,6,0.16666666666666666
recovery_classification,DGP,3,Exact,0,6,0.0
recovery_classification,DGP,3,Under only,0,6,0.0
recovery_classification,DGP,3,Over only,6,6,1.0
recovery_classification,DGP,3,Mixed,0,6,0.0
rank_distribution,DGP,4,"(1,1,2)",1,6,0.16666666666666666
rank_distribution,DGP,4,"(1,2,3)",3,6,0.5
rank_distribution,DGP,4,"(2,1,3)",1,6,0.16666666666666666
rank_distribution,DGP,4,"(2,2,3)",1,6,0.16666666666666666
recovery_classification,DGP,4,Exact,0,6,0.0
recovery_classification,DGP,4,Under only,0,6,0.0
recovery_classification,DGP,4,Over only,6,6,1.0
recovery_classification,DGP,4,Mixed,0,6,0.0
