record_type,semantic_replication_id,dgp,N,T,replication,matrix,true_rank,tau_NT,thresholded_rank,sigma_1_hat,sigma_2_hat,sigma_1_hat_over_tau_NT,sigma_2_hat_over_tau_NT,sigma_1_hat_minus_tau_NT,tau_NT_minus_sigma_2_hat,near_threshold_classification,singular_value_margin_available,minimum_signal_above_threshold_ratio,median_signal_above_threshold_ratio,minimum_noise_below_threshold_margin,near_threshold_classification_count,unavailability_reason
matrix,dgp1_N50_T50_r2026080901_truth1-1-1,1.0,50,50,2026080901.0,A,1,6.390555465883287,1.0,,,,,,,unavailable,False,,,,,accepted pilot matrix-specific singular values were not saved
matrix,dgp1_N50_T50_r2026080901_truth1-1-1,1.0,50,50,2026080901.0,B,1,6.390555465883287,1.0,,,,,,,unavailable,False,,,,,accepted pilot matrix-specific singular values were not saved
matrix,dgp1_N50_T50_r2026080901_truth1-1-1,1.0,50,50,2026080901.0,H,1,6.390555465883287,3.0,,,,,,,unavailable,False,,,,,accepted pilot matrix-specific singular values were not saved
matrix,dgp1_N50_T50_r2026080902_truth1-1-1,1.0,50,50,2026080902.0,A,1,6.390555465883287,1.0,,,,,,,unavailable,False,,,,,accepted pilot matrix-specific singular values were not saved
matrix,dgp1_N50_T50_r2026080902_truth1-1-1,1.0,50,50,2026080902.0,B,1,6.390555465883287,0.0,,,,,,,unavailable,False,,,,,accepted pilot matrix-specific singular values were not saved
matrix,dgp1_N50_T50_r2026080902_truth1-1-1,1.0,50,50,2026080902.0,H,1,6.390555465883287,1.0,,,,,,,unavailable,False,,,,,accepted pilot matrix-specific singular values were not saved
matrix,dgp1_N50_T50_r2026080903_truth1-1-1,1.0,50,50,2026080903.0,A,1,6.390555465883287,1.0,,,,,,,unavailable,False,,,,,accepted pilot matrix-specific singular values were not saved
matrix,dgp1_N50_T50_r2026080903_truth1-1-1,1.0,50,50,2026080903.0,B,1,6.390555465883287,3.0,,,,,,,unavailable,False,,,,,accepted pilot matrix-specific singular values were not saved
matrix,dgp1_N50_T50_r2026080903_truth1-1-1,1.0,50,50,2026080903.0,H,1,6.390555465883287,3.0,,,,,,,unavailable,False,,,,,accepted pilot matrix-specific singular values were not saved
matrix,dgp2_N50_T50_r2026080901_truth1-1-1,2.0,50,50,2026080901.0,A,1,6.390555465883287,1.0,,,,,,,unavailable,False,,,,,accepted pilot matrix-specific singular values were not saved
matrix,dgp2_N50_T50_r2026080901_truth1-1-1,2.0,50,50,2026080901.0,B,1,6.390555465883287,1.0,,,,,,,unavailable,False,,,,,accepted pilot matrix-specific singular values were not saved
matrix,dgp2_N50_T50_r2026080901_truth1-1-1,2.0,50,50,2026080901.0,H,1,6.390555465883287,3.0,,,,,,,unavailable,False,,,,,accepted pilot matrix-specific singular values were not saved
matrix,dgp2_N50_T50_r2026080902_truth1-1-1,2.0,50,50,2026080902.0,A,1,6.390555465883287,2.0,,,,,,,unavailable,False,,,,,accepted pilot matrix-specific singular values were not saved
matrix,dgp2_N50_T50_r2026080902_truth1-1-1,2.0,50,50,2026080902.0,B,1,6.390555465883287,1.0,,,,,,,unavailable,False,,,,,accepted pilot matrix-specific singular values were not saved
matrix,dgp2_N50_T50_r2026080902_truth1-1-1,2.0,50,50,2026080902.0,H,1,6.390555465883287,3.0,,,,,,,unavailable,False,,,,,accepted pilot matrix-specific singular values were not saved
matrix,dgp2_N50_T50_r2026080903_truth1-1-1,2.0,50,50,2026080903.0,A,1,6.390555465883287,1.0,,,,,,,unavailable,False,,,,,accepted pilot matrix-specific singular values were not saved
matrix,dgp2_N50_T50_r2026080903_truth1-1-1,2.0,50,50,2026080903.0,B,1,6.390555465883287,2.0,,,,,,,unavailable,False,,,,,accepted pilot matrix-specific singular values were not saved
matrix,dgp2_N50_T50_r2026080903_truth1-1-1,2.0,50,50,2026080903.0,H,1,6.390555465883287,3.0,,,,,,,unavailable,False,,,,,accepted pilot matrix-specific singular values were not saved
matrix,dgp3_N50_T50_r2026080901_truth1-1-1,3.0,50,50,2026080901.0,A,1,6.390555465883287,2.0,,,,,,,unavailable,False,,,,,accepted pilot matrix-specific singular values were not saved
matrix,dgp3_N50_T50_r2026080901_truth1-1-1,3.0,50,50,2026080901.0,B,1,6.390555465883287,2.0,,,,,,,unavailable,False,,,,,accepted pilot matrix-specific singular values were not saved
matrix,dgp3_N50_T50_r2026080901_truth1-1-1,3.0,50,50,2026080901.0,H,1,6.390555465883287,3.0,,,,,,,unavailable,False,,,,,accepted pilot matrix-specific singular values were not saved
matrix,dgp3_N50_T50_r2026080902_truth1-1-1,3.0,50,50,2026080902.0,A,1,6.390555465883287,1.0,,,,,,,unavailable,False,,,,,accepted pilot matrix-specific singular values were not saved
matrix,dgp3_N50_T50_r2026080902_truth1-1-1,3.0,50,50,2026080902.0,B,1,6.390555465883287,3.0,,,,,,,unavailable,False,,,,,accepted pilot matrix-specific singular values were not saved
