record_type,stratum_type,stratum_value,semantic_replication_id,dgp,N,T,replication,true_rank,path_proposal_count,distinct_path_rank_count,any_path_proposal_equals_truth,truth_proposal_frequency,modal_path_rank,modal_path_rank_frequency,path_rank_proposals
replication,replication,dgp1_N50_T50_r2026080901_truth1-1-1,dgp1_N50_T50_r2026080901_truth1-1-1,1.0,50.0,50.0,2026080901.0,"(1,1,1)",22,7,True,3,"[""(1,3,3)""]",8,"[""(0,0,0)"", ""(0,0,0)"", ""(0,0,0)"", ""(1,0,0)"", ""(1,0,0)"", ""(1,0,1)"", ""(1,0,1)"", ""(1,1,1)"", ""(1,1,1)"", ""(1,1,1)"", ""(1,1,3)"", ""(1,1,3)"", ""(1,1,3)"", ""(1,2,3)"", ""(1,3,3)"", ""(1,3,3)"", ""(1,3,3)"", ""(1,3,3)"", ""(1,3,3)"", ""(1,3,3)"", ""(1,3,3)"", ""(1,3,3)""]"
replication,replication,dgp1_N50_T50_r2026080902_truth1-1-1,dgp1_N50_T50_r2026080902_truth1-1-1,1.0,50.0,50.0,2026080902.0,"(1,1,1)",22,7,True,3,"[""(1,3,3)""]",5,"[""(0,0,0)"", ""(0,0,0)"", ""(0,0,0)"", ""(1,0,0)"", ""(1,0,0)"", ""(1,0,0)"", ""(1,0,0)"", ""(1,0,1)"", ""(1,0,1)"", ""(1,1,1)"", ""(1,1,1)"", ""(1,1,1)"", ""(1,1,3)"", ""(1,1,3)"", ""(1,1,3)"", ""(1,2,3)"", ""(1,2,3)"", ""(1,3,3)"", ""(1,3,3)"", ""(1,3,3)"", ""(1,3,3)"", ""(1,3,3)""]"
replication,replication,dgp1_N50_T50_r2026080903_truth1-1-1,dgp1_N50_T50_r2026080903_truth1-1-1,1.0,50.0,50.0,2026080903.0,"(1,1,1)",22,6,True,4,"[""(1,3,3)""]",9,"[""(0,0,0)"", ""(0,0,0)"", ""(1,0,0)"", ""(1,0,0)"", ""(1,1,1)"", ""(1,1,1)"", ""(1,1,1)"", ""(1,1,1)"", ""(1,1,3)"", ""(1,2,3)"", ""(1,2,3)"", ""(1,2,3)"", ""(1,2,3)"", ""(1,3,3)"", ""(1,3,3)"", ""(1,3,3)"", ""(1,3,3)"", ""(1,3,3)"", ""(1,3,3)"", ""(1,3,3)"", ""(1,3,3)"", ""(1,3,3)""]"
replication,replication,dgp2_N50_T50_r2026080901_truth1-1-1,dgp2_N50_T50_r2026080901_truth1-1-1,2.0,50.0,50.0,2026080901.0,"(1,1,1)",22,6,True,3,"[""(1,1,3)""]",6,"[""(0,0,0)"", ""(0,0,0)"", ""(0,0,0)"", ""(1,0,0)"", ""(1,0,0)"", ""(1,0,0)"", ""(1,1,1)"", ""(1,1,1)"", ""(1,1,1)"", ""(1,1,2)"", ""(1,1,2)"", ""(1,1,3)"", ""(1,1,3)"", ""(1,1,3)"", ""(1,1,3)"", ""(1,1,3)"", ""(1,1,3)"", ""(1,2,3)"", ""(1,2,3)"", ""(1,2,3)"", ""(1,2,3)"", ""(1,2,3)""]"
replication,replication,dgp2_N50_T50_r2026080902_truth1-1-1,dgp2_N50_T50_r2026080902_truth1-1-1,2.0,50.0,50.0,2026080902.0,"(1,1,1)",22,7,True,2,"[""(1,1,3)""]",10,"[""(0,0,0)"", ""(0,0,0)"", ""(1,0,0)"", ""(1,0,0)"", ""(1,0,1)"", ""(1,1,1)"", ""(1,1,1)"", ""(1,1,2)"", ""(1,1,3)"", ""(1,1,3)"", ""(1,1,3)"", ""(1,1,3)"", ""(1,1,3)"", ""(1,1,3)"", ""(1,1,3)"", ""(1,1,3)"", ""(1,1,3)"", ""(1,1,3)"", ""(1,2,3)"", ""(1,2,3)"", ""(1,2,3)"", ""(1,2,3)""]"
replication,replication,dgp2_N50_T50_r2026080903_truth1-1-1,dgp2_N50_T50_r2026080903_truth1-1-1,2.0,50.0,50.0,2026080903.0,"(1,1,1)",22,5,True,4,"[""(1,2,3)""]",6,"[""(0,0,0)"", ""(0,0,0)"", ""(0,0,0)"", ""(1,0,0)"", ""(1,0,0)"", ""(1,0,0)"", ""(1,0,0)"", ""(1,1,1)"", ""(1,1,1)"", ""(1,1,1)"", ""(1,1,1)"", ""(1,1,3)"", ""(1,1,3)"", ""(1,1,3)"", ""(1,1,3)"", ""(1,1,3)"", ""(1,2,3)"", ""(1,2,3)"", ""(1,2,3)"", ""(1,2,3)"", ""(1,2,3)"", ""(1,2,3)""]"
replication,replication,dgp3_N50_T50_r2026080901_truth1-1-1,dgp3_N50_T50_r2026080901_truth1-1-1,3.0,50.0,50.0,2026080901.0,"(1,1,1)",22,8,True,1,"[""(1,3,3)""]",7,"[""(0,0,0)"", ""(0,0,0)"", ""(1,0,0)"", ""(1,0,0)"", ""(1,0,1)"", ""(1,0,1)"", ""(1,0,1)"", ""(1,1,1)"", ""(1,1,2)"", ""(1,1,3)"", ""(1,1,3)"", ""(1,1,3)"", ""(1,2,3)"", ""(1,2,3)"", ""(1,2,3)"", ""(1,3,3)"", ""(1,3,3)"", ""(1,3,3)"", ""(1,3,3)"", ""(1,3,3)"", ""(1,3,3)"", ""(1,3,3)""]"
replication,replication,dgp3_N50_T50_r2026080902_truth1-1-1,dgp3_N50_T50_r2026080902_truth1-1-1,3.0,50.0,50.0,2026080902.0,"(1,1,1)",22,8,True,2,"[""(1,3,3)""]",9,"[""(0,0,0)"", ""(0,0,0)"", ""(1,0,0)"", ""(1,0,0)"", ""(1,0,0)"", ""(1,0,1)"", ""(1,1,1)"", ""(1,1,1)"", ""(1,1,2)"", ""(1,1,3)"", ""(1,1,3)"", ""(1,2,3)"", ""(1,2,3)"", ""(1,3,3)"", ""(1,3,3)"", ""(1,3,3)"", ""(1,3,3)"", ""(1,3,3)"", ""(1,3,3)"", ""(1,3,3)"", ""(1,3,3)"", ""(1,3,3)""]"
replication,replication,dgp3_N50_T50_r2026080903_truth1-1-1,dgp3_N50_T50_r2026080903_truth1-1-1,3.0,50.0,50.0,2026080903.0,"(1,1,1)",22,7,True,2,"[""(1,1,3)""]",6,"[""(0,0,0)"", ""(0,0,0)"", ""(0,0,0)"", ""(1,0,0)"", ""(1,0,0)"", ""(1,0,0)"", ""(1,0,1)"", ""(1,1,1)"", ""(1,1,1)"", ""(1,1,3)"", ""(1,1,3)"", ""(1,1,3)"", ""(1,1,3)"", ""(1,1,3)"", ""(1,1,3)"", ""(1,2,3)"", ""(1,2,3)"", ""(1,3,3)"", ""(1,3,3)"", ""(1,3,3)"", ""(1,3,3)"", ""(1,3,3)""]"
replication,replication,dgp4_N50_T50_r2026080901_truth1-1-1,dgp4_N50_T50_r2026080901_truth1-1-1,4.0,50.0,50.0,2026080901.0,"(1,1,1)",22,6,True,3,"[""(1,2,3)""]",8,"[""(0,0,0)"", ""(0,0,0)"", ""(1,0,0)"", ""(1,0,0)"", ""(1,0,0)"", ""(1,0,1)"", ""(1,1,1)"", ""(1,1,1)"", ""(1,1,1)"", ""(1,1,3)"", ""(1,1,3)"", ""(1,1,3)"", ""(1,1,3)"", ""(1,1,3)"", ""(1,2,3)"", ""(1,2,3)"", ""(1,2,3)"", ""(1,2,3)"", ""(1,2,3)"", ""(1,2,3)"", ""(1,2,3)"", ""(1,2,3)""]"
replication,replication,dgp4_N50_T50_r2026080902_truth1-1-1,dgp4_N50_T50_r2026080902_truth1-1-1,4.0,50.0,50.0,2026080902.0,"(1,1,1)",22,7,True,3,"[""(1,2,3)""]",6,"[""(0,0,0)"", ""(0,0,0)"", ""(0,0,0)"", ""(1,0,0)"", ""(1,0,0)"", ""(1,0,0)"", ""(1,0,0)"", ""(1,0,1)"", ""(1,1,1)"", ""(1,1,1)"", ""(1,1,1)"", ""(1,1,3)"", ""(1,1,3)"", ""(1,2,3)"", ""(1,2,3)"", ""(1,2,3)"", ""(1,2,3)"", ""(1,2,3)"", ""(1,2,3)"", ""(1,3,3)"", ""(1,3,3)"", ""(1,3,3)""]"
replication,replication,dgp4_N50_T50_r2026080903_truth1-1-1,dgp4_N50_T50_r2026080903_truth1-1-1,4.0,50.0,50.0,2026080903.0,"(1,1,1)",22,7,True,2,"[""(1,1,3)""]",7,"[""(0,0,0)"", ""(0,0,0)"", ""(1,0,0)"", ""(1,0,0)"", ""(1,0,0)"", ""(1,0,1)"", ""(1,1,1)"", ""(1,1,1)"", ""(1,1,2)"", ""(1,1,3)"", ""(1,1,3)"", ""(1,1,3)"", ""(1,1,3)"", ""(1,1,3)"", ""(1,1,3)"", ""(1,1,3)"", ""(1,2,3)"", ""(1,2,3)"", ""(1,2,3)"", ""(1,2,3)"", ""(1,2,3)"", ""(1,2,3)""]"
replication,replication,dgp1_N100_T100_r2026080901_truth1-1-1,dgp1_N100_T100_r2026080901_truth1-1-1,1.0,100.0,100.0,2026080901.0,"(1,1,1)",22,7,True,5,"[""(1,1,1)"", ""(1,3,3)""]",5,"[""(0,0,0)"", ""(0,0,0)"", ""(0,0,0)"", ""(1,0,0)"", ""(1,0,0)"", ""(1,0,0)"", ""(1,0,0)"", ""(1,0,1)"", ""(1,1,1)"", ""(1,1,1)"", ""(1,1,1)"", ""(1,1,1)"", ""(1,1,1)"", ""(1,1,3)"", ""(1,1,3)"", ""(1,1,3)"", ""(1,2,3)"", ""(1,3,3)"", ""(1,3,3)"", ""(1,3,3)"", ""(1,3,3)"", ""(1,3,3)""]"
replication,replication,dgp1_N100_T100_r2026080902_truth1-1-1,dgp1_N100_T100_r2026080902_truth1-1-1,1.0,100.0,100.0,2026080902.0,"(1,1,1)",22,7,True,6,"[""(1,1,1)""]",6,"[""(0,0,0)"", ""(0,0,0)"", ""(1,0,0)"", ""(1,0,0)"", ""(1,0,0)"", ""(1,1,1)"", ""(1,1,1)"", ""(1,1,1)"", ""(1,1,1)"", ""(1,1,1)"", ""(1,1,1)"", ""(1,1,2)"", ""(1,1,3)"", ""(1,1,3)"", ""(1,1,3)"", ""(1,2,3)"", ""(1,2,3)"", ""(1,2,3)"", ""(1,2,3)"", ""(1,2,3)"", ""(1,3,3)"", ""(1,3,3)""]"
replication,replication,dgp1_N100_T100_r2026080903_truth1-1-1,dgp1_N100_T100_r2026080903_truth1-1-1,1.0,100.0,100.0,2026080903.0,"(1,1,1)",22,7,True,5,"[""(1,1,1)"", ""(1,3,3)""]",5,"[""(0,0,0)"", ""(0,0,0)"", ""(1,0,0)"", ""(1,0,0)"", ""(1,0,0)"", ""(1,0,1)"", ""(1,0,1)"", ""(1,1,1)"", ""(1,1,1)"", ""(1,1,1)"", ""(1,1,1)"", ""(1,1,1)"", ""(1,1,3)"", ""(1,1,3)"", ""(1,1,3)"", ""(1,1,3)"", ""(1,2,3)"", ""(1,3,3)"", ""(1,3,3)"", ""(1,3,3)"", ""(1,3,3)"", ""(1,3,3)""]"
