semantic_replication_id,dgp,N,T,replication,true_rank,thresholded_cap_pilot_rank,final_IC_selected_rank,pilot_exact,IC_exact,pilot_vs_IC_classification
dgp1_N50_T50_r2026080901_truth1-1-1,1,50,50,2026080901,"(1,1,1)","(1,1,3)","(0,0,0)",False,False,incorrect pilot -> incorrect IC
dgp1_N50_T50_r2026080902_truth1-1-1,1,50,50,2026080902,"(1,1,1)","(1,0,1)","(0,0,0)",False,False,incorrect pilot -> incorrect IC
dgp1_N50_T50_r2026080903_truth1-1-1,1,50,50,2026080903,"(1,1,1)","(1,3,3)","(0,0,0)",False,False,incorrect pilot -> incorrect IC
dgp2_N50_T50_r2026080901_truth1-1-1,2,50,50,2026080901,"(1,1,1)","(1,1,3)","(0,0,0)",False,False,incorrect pilot -> incorrect IC
dgp2_N50_T50_r2026080902_truth1-1-1,2,50,50,2026080902,"(1,1,1)","(2,1,3)","(0,0,0)",False,False,incorrect pilot -> incorrect IC
dgp2_N50_T50_r2026080903_truth1-1-1,2,50,50,2026080903,"(1,1,1)","(1,2,3)","(0,0,0)",False,False,incorrect pilot -> incorrect IC
dgp3_N50_T50_r2026080901_truth1-1-1,3,50,50,2026080901,"(1,1,1)","(2,2,3)","(0,0,0)",False,False,incorrect pilot -> incorrect IC
dgp3_N50_T50_r2026080902_truth1-1-1,3,50,50,2026080902,"(1,1,1)","(1,3,3)","(0,0,0)",False,False,incorrect pilot -> incorrect IC
dgp3_N50_T50_r2026080903_truth1-1-1,3,50,50,2026080903,"(1,1,1)","(1,3,3)","(0,0,0)",False,False,incorrect pilot -> incorrect IC
dgp4_N50_T50_r2026080901_truth1-1-1,4,50,50,2026080901,"(1,1,1)","(1,2,3)","(0,0,0)",False,False,incorrect pilot -> incorrect IC
dgp4_N50_T50_r2026080902_truth1-1-1,4,50,50,2026080902,"(1,1,1)","(2,2,3)","(0,0,0)",False,False,incorrect pilot -> incorrect IC
dgp4_N50_T50_r2026080903_truth1-1-1,4,50,50,2026080903,"(1,1,1)","(1,1,2)","(0,0,0)",False,False,incorrect pilot -> incorrect IC
dgp1_N100_T100_r2026080901_truth1-1-1,1,100,100,2026080901,"(1,1,1)","(1,3,3)","(0,0,0)",False,False,incorrect pilot -> incorrect IC
dgp1_N100_T100_r2026080902_truth1-1-1,1,100,100,2026080902,"(1,1,1)","(2,2,2)","(0,0,0)",False,False,incorrect pilot -> incorrect IC
dgp1_N100_T100_r2026080903_truth1-1-1,1,100,100,2026080903,"(1,1,1)","(2,1,2)","(0,0,0)",False,False,incorrect pilot -> incorrect IC
dgp2_N100_T100_r2026080901_truth1-1-1,2,100,100,2026080901,"(1,1,1)","(2,2,3)","(0,0,0)",False,False,incorrect pilot -> incorrect IC
dgp2_N100_T100_r2026080902_truth1-1-1,2,100,100,2026080902,"(1,1,1)","(2,2,3)","(0,0,0)",False,False,incorrect pilot -> incorrect IC
dgp2_N100_T100_r2026080903_truth1-1-1,2,100,100,2026080903,"(1,1,1)","(2,3,3)","(0,0,0)",False,False,incorrect pilot -> incorrect IC
dgp3_N100_T100_r2026080901_truth1-1-1,3,100,100,2026080901,"(1,1,1)","(3,1,3)","(0,0,0)",False,False,incorrect pilot -> incorrect IC
dgp3_N100_T100_r2026080902_truth1-1-1,3,100,100,2026080902,"(1,1,1)","(1,2,3)","(0,0,0)",False,False,incorrect pilot -> incorrect IC
dgp3_N100_T100_r2026080903_truth1-1-1,3,100,100,2026080903,"(1,1,1)","(1,3,3)","(0,0,0)",False,False,incorrect pilot -> incorrect IC
dgp4_N100_T100_r2026080901_truth1-1-1,4,100,100,2026080901,"(1,1,1)","(2,1,3)","(0,0,0)",False,False,incorrect pilot -> incorrect IC
dgp4_N100_T100_r2026080902_truth1-1-1,4,100,100,2026080902,"(1,1,1)","(1,2,3)","(0,0,0)",False,False,incorrect pilot -> incorrect IC
dgp4_N100_T100_r2026080903_truth1-1-1,4,100,100,2026080903,"(1,1,1)","(1,2,3)","(0,0,0)",False,False,incorrect pilot -> incorrect IC
