design,dgp,true_rank_vector,C_A_raw,C_A,C_BETA,C_H_raw,c_xi_upper,c_h_upper,C_H,C_Theta,B,B_minus_margin,status
baseline,1,"(1,1,1)",0.9385640646055102,0.85,2.031384387633061,5.196152422706632,1000,unbounded,unbounded,unbounded,9,8,NOT_VERIFIED
baseline,2,"(1,1,1)",0.9385640646055102,0.85,2.031384387633061,5.196152422706632,1000,unbounded,unbounded,unbounded,9,8,NOT_VERIFIED
baseline,3,"(1,1,1)",0.9385640646055102,0.85,2.031384387633061,5.196152422706632,1000,unbounded,unbounded,unbounded,9,8,NOT_VERIFIED
baseline,4,"(1,1,1)",0.9908512516844082,0.85,1.959615242270663,5.196152422706632,1000,unbounded,unbounded,unbounded,9,8,NOT_VERIFIED
rank_stress,1,"(1,1,1)",0.9385640646055102,0.85,2.031384387633061,5.196152422706632,1000,unbounded,unbounded,unbounded,9,8,NOT_VERIFIED
rank_stress,2,"(1,1,1)",0.9385640646055102,0.85,2.031384387633061,5.196152422706632,1000,unbounded,unbounded,unbounded,9,8,NOT_VERIFIED
rank_stress,3,"(1,1,1)",0.9385640646055102,0.85,2.031384387633061,5.196152422706632,1000,unbounded,unbounded,unbounded,9,8,NOT_VERIFIED
rank_stress,4,"(1,1,1)",0.9908512516844082,0.85,1.959615242270663,5.196152422706632,1000,unbounded,unbounded,unbounded,9,8,NOT_VERIFIED
rank_stress,1,"(2,1,1)",0.9385640646055102,0.85,2.031384387633061,5.196152422706632,1000,unbounded,unbounded,unbounded,9,8,NOT_VERIFIED
rank_stress,2,"(2,1,1)",0.9385640646055102,0.85,2.031384387633061,5.196152422706632,1000,unbounded,unbounded,unbounded,9,8,NOT_VERIFIED
rank_stress,3,"(2,1,1)",0.9385640646055102,0.85,2.031384387633061,5.196152422706632,1000,unbounded,unbounded,unbounded,9,8,NOT_VERIFIED
rank_stress,4,"(2,1,1)",0.9908512516844082,0.85,1.959615242270663,5.196152422706632,1000,unbounded,unbounded,unbounded,9,8,NOT_VERIFIED
rank_stress,1,"(1,0,2)",0.9385640646055102,0.85,0,5.196152422706632,1,unbounded,unbounded,unbounded,9,8,NOT_VERIFIED
rank_stress,2,"(1,0,2)",0.9385640646055102,0.85,0,5.196152422706632,1,unbounded,unbounded,unbounded,9,8,NOT_VERIFIED
rank_stress,3,"(1,0,2)",0.9385640646055102,0.85,0,5.196152422706632,1,unbounded,unbounded,unbounded,9,8,NOT_VERIFIED
rank_stress,4,"(1,0,2)",0.9908512516844082,0.85,0,5.196152422706632,1,unbounded,unbounded,unbounded,9,8,NOT_VERIFIED

