dgp,n,t,c_h,c_xi,target_h_share,achieved_h_share,target_r2,achieved_r2,mean_a,sd_a,mean_b,sd_b,min_a,max_a,min_b,max_b,mean_c_a,max_pre_scaling_abs_a,max_final_abs_a,var_u_tilde,var_h_raw,calibration_draws,minimum_grid_r2,large_c_xi_r2_floor,target_r2_feasible,r2_scale_identified,requested_r2,c_xi_normalization,bracket_lower,bracket_upper,root_residual,infeasible_c_xi_normalization,true_rank_vector,theoretical_max_abs_A,theoretical_max_abs_B,theoretical_max_abs_H,theoretical_coefficient_envelope,realized_calibration_max_abs_A,realized_calibration_max_abs_B,realized_calibration_max_abs_H,recommended_common_B,required_simulation_interior_margin,deterministic_interior_margin,envelope_condition_pass
1,50,50,0.720993596245841,1.0,0.3,0.29999999999999993,,0.530215207174466,0.5002614851728938,0.10926983228009969,0.0,0.0,0.2051012675030438,0.85,0.0,0.0,0.996694855547538,0.8882072772861184,0.85,0.9993052859178103,0.8238698019598988,50,0.530215207174466,0.530215207174466,,False,,1.0,,,,,"[1, 0, 2]",0.85,0.0,3.7463926218887935,3.7463926218887935,0.85,0.0,2.806245547044474,9.0,1.0,5.253607378111207,True
1,50,50,0.6538040492104275,1.835893503258558,0.3,0.30000000000000004,0.65,0.6499999999993391,0.5020122764265743,0.11416287978315642,0.5985353579884418,0.31857134296379164,0.2047619195936981,0.85,0.030108034954577555,1.8643008624312092,0.998201753926198,0.8731852294897797,0.85,0.9980365292894404,1.0006321211990743,50,0.5735575282893257,0.5735595382724002,True,True,0.65,,1.7912844546220021,2.196707090793235,-6.609157665593557e-13,,"[1, 1, 1]",0.85,2.031384387633061,6.237017649793434,6.237017649793434,0.85,1.8643008624312092,5.269757580884544,9.0,1.0,2.762982350206566,True
1,50,50,0.6652071691123581,0.8408984191077632,0.3,0.30000000000000004,0.65,0.6499999999984705,0.11927374241115862,0.24435396826442224,0.5982897950000349,0.32481914882259894,-0.635504648561823,0.85,0.03277177810225369,1.8388157432563743,0.9972545666828918,0.8778775697237844,0.85,1.0084789458021433,0.9767337809994848,50,0.37348638279143787,0.37348029446129066,True,True,0.65,,0.7920164050192549,0.9712740198471168,-1.5295542610260782e-12,,"[2, 1, 1]",0.85,2.031384387633061,2.906580390120221,2.906580390120221,0.85,1.8388157432563743,2.5059599795543015,9.0,1.0,6.0934196098797795,True
1,100,100,0.7246152955241518,1.0,0.3,0.3,,0.5367198138038246,0.4978796850557661,0.11148419982476546,0.0,0.0,0.20118427705745115,0.85,0.0,0.0,0.9925163751417745,0.8852095192143933,0.85,1.0020492775257603,0.8178945226408119,50,0.5367198138038246,0.5367198138038246,,False,,1.0,,,,,"[1, 0, 2]",0.85,0.0,3.765211523368103,3.765211523368103,0.85,0.0,2.9893762336364675,9.0,1.0,5.234788476631897,True
1,100,100,0.6590357640236644,1.802794544151547,0.3,0.30000000000000004,0.65,0.6499999999999996,0.4947105597953542,0.11243163144198502,0.6045343911454719,0.32419648654075534,0.21169757386099466,0.85,0.026661768314282745,1.8723963368902121,0.9932353423134076,0.8914789066269867,0.85,1.0013091681707844,0.9880375293242092,50,0.5669371103059124,0.5669450581442166,True,True,0.65,,1.7912844546220021,2.196707090793235,-4.440892098500626e-16,,"[1, 1, 1]",0.85,2.031384387633061,6.173580284894879,6.173580284894879,0.85,1.8723963368902121,5.255734074661011,9.0,1.0,2.8264197151051214,True
1,100,100,0.658506972222291,0.8251604198001795,0.3,0.3,0.65,0.6499999999997341,0.11827039421842267,0.23775862206538964,0.5925106701677614,0.31812325857910984,-0.6384956809668515,0.85,0.025965794138775936,1.8766629599641882,0.9933199053465819,0.8879414279888836,0.85,0.9983512408525768,0.9867015752886352,50,0.37321071991701266,0.3732090479553846,True,True,0.65,,0.7920164050192549,0.9712740198471168,-2.65898414397725e-13,,"[2, 1, 1]",0.85,2.031384387633061,2.823453553089923,2.823453553089923,0.85,1.8766629599641882,2.546910164164506,9.0,1.0,6.176546446910077,True
1,200,200,0.7363307413390998,1.0,0.3,0.30000000000000004,,0.5314379419249721,0.4944505844166703,0.1110201467823951,0.0,0.0,0.19443855946117652,0.85,0.0,0.0,0.9889173308276341,0.8889398746274763,0.85,1.001339929480321,0.7915145167152491,50,0.5314379419249721,0.5314379419249721,,False,,1.0,,,,,"[1, 0, 2]",0.85,0.0,3.8260867655225335,3.8260867655225335,0.85,0.0,3.2038715418926085,9.0,1.0,5.1739132344774665,True
1,200,200,0.6449077412878839,1.885270267900646,0.3,0.30000000000000004,0.65,0.6500000000000001,0.4947180580027954,0.11114596235078365,0.5981530475510205,0.32161675934179934,0.19157651129624043,0.85,0.02255521922974053,1.8826354613405256,0.9902304315622851,0.8852646167069146,0.85,0.9964444976101542,1.0267888590208063,50,0.5717237003012197,0.5717227589660947,True,True,0.65,,1.7912844546220021,2.196707090793235,1.1102230246251565e-16,,"[1, 1, 1]",0.85,2.031384387633061,6.317614046818855,6.317614046818855,0.85,1.8826354613405256,5.548317110188552,9.0,1.0,2.6823859531811447,True
1,200,200,0.6533783614200602,0.828869363782782,0.3,0.3,0.65,0.6499999999995542,0.11717573862542018,0.23524701933731118,0.5984076117688807,0.3195255788219982,-0.6380489606855251,0.85,0.021194201629629286,1.8536282586121293,0.9830296255769375,0.9019772949421987,0.85,0.9986964636956153,1.0025989188348639,50,0.3728285362525564,0.3728281086556598,True,True,0.65,,0.7920164050192549,0.9712740198471168,-4.4586556668946287e-13,,"[2, 1, 1]",0.85,2.031384387633061,2.814055880669258,2.814055880669258,0.85,1.8536282586121293,2.4784677663309718,9.0,1.0,6.185944119330742,True
2,50,50,0.7292079899674058,1.0,0.3,0.30000000000000004,,0.5299104135238131,0.4965643055919401,0.11413081623163758,0.0,0.0,0.19030294789973068,0.85,0.0,0.0,0.9969891480446811,0.8801591268843038,0.85,1.0070492617727227,0.8116542983907121,50,0.5299104135238131,0.5299104135238131,,False,,1.0,,,,,"[1, 0, 2]",0.85,0.0,3.7890758637261683,3.7890758637261683,0.85,0.0,2.9845099953886036,9.0,1.0,5.210924136273832,True
