dgp,N,T,replication,cap_pilot_success,status,attempted_routes,valid_routes,stable_routes,route_objectives,best_two_gap,thresholded_cap_rank,candidate_covers_111,selected_rank,runtime_seconds,truth_envelope,truth_envelope_pass,cap_envelope_ratio,selected_envelope_ratio
1,50,50,0,True,success,6,5,4,"[1.2445162254632924, 1.2445162254632924, 1.2445162254632924, 1.2445162254632924, 1.2587935285044822]",0.0,"[1, 2, 1]",True,"[0, 0, 0]",129.48000789999787,4.133857901723758,True,0.9119991275955948,0.0
1,50,50,1,False,rank_pilot_failure,6,6,1,"[1.195623431637011, 1.195623431637011, 1.1956234545090696, 1.195623431637011, 0.89253306047341, 1.0987283323614785]",0.20619527188806852,,False,,101.9221719000052,3.202802839453976,True,,
1,50,50,2,False,rank_pilot_failure,6,4,1,"[1.4668027532258041, 1.4668027532258041, 1.4668027532258041, 1.3396585843443212]",0.09490788949313682,,False,,81.96687740000198,4.594205330225987,True,,
2,50,50,0,True,success,6,5,5,"[1.3001243133756686, 1.3001243133756686, 1.3001243133756686, 1.300119554677486, 1.300124331171029]",3.6602004527167454e-06,"[1, 1, 2]",True,"[0, 0, 0]",103.43805519999296,4.322340499928515,True,0.9225002156307794,0.0
2,50,50,1,False,rank_pilot_failure,6,5,1,"[1.2972932482955994, 1.2972932482955994, 1.2972932482955994, 1.2972904106964385, 1.148689477802969]",0.12936562558028278,,False,,86.22449720000441,4.336195708643688,True,,
2,50,50,2,True,success,6,5,5,"[1.103439103756095, 1.103439103756095, 1.103439103756095, 1.103439103756095, 1.1034425002855752]",0.0,"[1, 1, 2]",True,"[0, 0, 0]",107.63270220000413,4.16728842704348,True,0.7108459380570125,0.0
3,50,50,0,True,success,6,4,4,"[2.0698226676577414, 2.0698226676577414, 2.0698220462041887, 2.069817519462068]",2.1870247392047347e-06,"[1, 1, 1]",True,"[0, 0, 0]",106.897200899999,5.541475273625376,True,0.875951556278186,0.0
3,50,50,1,True,success,6,3,3,"[2.3148948044183473, 2.3148948044183473, 2.31489777507728]",0.0,"[1, 1, 1]",True,"[0, 0, 0]",108.98838379999506,4.456223714984214,True,0.6776994763261667,0.0
3,50,50,2,True,success,6,4,3,"[1.9753638378778673, 1.9753638378778673, 1.9753638378778673, 2.255799452626425]",0.0,"[1, 1, 2]",True,"[0, 0, 0]",108.49351159999787,5.030291472704521,True,0.9960195952289485,0.0
4,50,50,0,False,rank_pilot_failure,6,3,1,"[2.2902932613126357, 2.2902933060825466, 0.9855882670411092]",1.3047049942715265,,False,,77.53603990000556,4.145806494349263,True,,
4,50,50,1,True,success,6,4,4,"[1.9632526468586002, 1.9632526467917608, 1.963245365932751, 1.9632582759485955]",3.7085833163079778e-06,"[1, 1, 1]",True,"[0, 0, 0]",118.44383139999991,4.939090029715719,True,0.991939565232257,0.0
4,50,50,2,True,success,6,3,3,"[1.841873320770976, 1.841873320770976, 1.8418837153812089]",0.0,"[1, 1, 1]",True,"[0, 0, 0]",100.89557839999907,5.300443903183903,True,0.8096736503863151,0.0
