dgp,N,T,replication,c_kappa,selected_rank,selected_ic,true_ic,true_candidate_valid,true_rank_selected,underfit,overfit
1,50,50,0,1e-08,"(1,2,1)",0.9132187907115746,1.009368984081957,True,False,False,True
1,50,50,0,3e-08,"(1,2,1)",0.9158825680385055,1.0113769583613947,True,False,False,True
1,50,50,0,1e-07,"(1,2,1)",0.9252057886827638,1.0184048683394271,True,False,False,True
1,50,50,0,3e-07,"(1,2,1)",0.9518435619520732,1.0384846111338049,True,False,False,True
1,50,50,0,1e-06,"(1,2,1)",1.0450757683946559,1.1087637109141273,True,False,False,True
1,50,50,0,3e-06,"(1,1,1)",1.3095611388579058,1.3095611388579058,True,True,False,False
1,50,50,0,1e-05,"(1,0,0)",1.8524499943201398,2.0123521366611303,True,False,True,False
1,50,50,0,3e-05,"(0,0,0)",2.1294250668088344,4.020326416098915,True,False,True,False
1,50,50,0,0.0001,"(0,0,0)",2.1294250668088344,11.048236394131163,True,False,True,False
1,50,50,0,0.0003,"(0,0,0)",2.1294250668088344,31.127979188509006,True,False,True,False
1,50,50,0,0.001,"(0,0,0)",2.1294250668088344,101.40707896883147,True,False,True,False
2,50,50,0,1e-08,"(1,1,2)",0.9569325629154058,1.0945028983158496,True,False,False,True
2,50,50,0,3e-08,"(1,1,2)",0.9595963402423368,1.0965108725952872,True,False,False,True
2,50,50,0,1e-07,"(1,1,2)",0.968919560886595,1.1035387825733196,True,False,False,True
2,50,50,0,3e-07,"(1,1,2)",0.9955573341559044,1.1236185253676974,True,False,False,True
2,50,50,0,1e-06,"(1,1,2)",1.088789540598487,1.1938976251480198,True,False,False,True
2,50,50,0,3e-06,"(1,1,2)",1.3551672732915805,1.3946950530917983,True,False,False,True
2,50,50,0,1e-05,"(1,0,0)",1.8985669057220576,2.0974860508950233,True,False,True,False
2,50,50,0,3e-05,"(0,0,0)",2.275468979333903,4.105460330332808,True,False,True,False
2,50,50,0,0.0001,"(0,0,0)",2.275468979333903,11.133370308365055,True,False,True,False
2,50,50,0,0.0003,"(0,0,0)",2.275468979333903,31.2131131027429,True,False,True,False
2,50,50,0,0.001,"(0,0,0)",2.275468979333903,101.49221288306536,True,False,True,False
2,50,50,2,1e-08,"(1,1,2)",0.7929033399772211,0.9117086888603723,True,False,False,True
2,50,50,2,3e-08,"(1,1,2)",0.795567117304152,0.91371666313981,True,False,False,True
2,50,50,2,1e-07,"(1,1,2)",0.8048903379484103,0.9207445731178422,True,False,False,True
2,50,50,2,3e-07,"(1,1,2)",0.8315281112177196,0.94082431591222,True,False,False,True
2,50,50,2,1e-06,"(1,1,2)",0.9247603176603023,1.0111034156925425,True,False,False,True
2,50,50,2,3e-06,"(1,1,2)",1.1911380503533957,1.211900843636321,True,False,False,True
2,50,50,2,1e-05,"(1,0,0)",1.76419135204302,1.9146918414395457,True,False,True,False
2,50,50,2,3e-05,"(0,0,0)",2.1228554491458866,3.922666120877331,True,False,True,False
2,50,50,2,0.0001,"(0,0,0)",2.1228554491458866,10.950576098909579,True,False,True,False
2,50,50,2,0.0003,"(0,0,0)",2.1228554491458866,31.030318893287422,True,False,True,False
2,50,50,2,0.001,"(0,0,0)",2.1228554491458866,101.30941867360988,True,False,True,False
3,50,50,0,1e-08,"(1,0,1)",1.554041789750482,1.421589044847095,False,False,True,False
3,50,50,0,3e-08,"(1,0,1)",1.5553804392701072,1.4235970191265326,False,False,True,False
3,50,50,0,1e-07,"(1,0,1)",1.5600657125887951,1.430624929104565,False,False,True,False
3,50,50,0,3e-07,"(1,0,1)",1.573452207785047,1.4507046718989427,False,False,True,False
3,50,50,0,1e-06,"(1,0,1)",1.6203049409719288,1.5209837716792651,False,False,True,False
3,50,50,0,3e-06,"(1,0,1)",1.7541698929344478,1.7217811996230437,False,False,True,False
3,50,50,0,1e-05,"(1,0,0)",2.124486050919471,2.4245721974262686,False,False,True,False
3,50,50,0,3e-05,"(0,0,0)",2.5069103239845925,4.4325464768640535,False,False,True,False
3,50,50,0,0.0001,"(0,0,0)",2.5069103239845925,11.4604564548963,False,False,True,False
3,50,50,0,0.0003,"(0,0,0)",2.5069103239845925,31.540199249274146,False,False,True,False
3,50,50,0,0.001,"(0,0,0)",2.5069103239845925,101.8192990295966,False,False,True,False
3,50,50,1,1e-08,"(1,1,2)",1.4038348949493822,1.5335095752569083,True,False,False,True
3,50,50,1,3e-08,"(1,1,2)",1.406498672276313,1.535517549536346,True,False,False,True
3,50,50,1,1e-07,"(1,1,2)",1.4158218929205715,1.5425454595143784,True,False,False,True
3,50,50,1,3e-07,"(1,1,2)",1.4424596661898808,1.5626252023087561,True,False,False,True
3,50,50,1,1e-06,"(1,1,2)",1.5356918726324633,1.6329043020890786,True,False,False,True
3,50,50,1,3e-06,"(1,1,2)",1.8020696053255567,1.833701730032857,True,False,False,True
3,50,50,1,1e-05,"(1,0,0)",2.20617030228152,2.536492727836082,True,False,True,False
3,50,50,1,3e-05,"(0,0,0)",2.5930599517990665,4.544467007273867,True,False,True,False
3,50,50,1,0.0001,"(0,0,0)",2.5930599517990665,11.572376985306114,True,False,True,False
3,50,50,1,0.0003,"(0,0,0)",2.5930599517990665,31.652119779683957,True,False,True,False
3,50,50,1,0.001,"(0,0,0)",2.5930599517990665,101.93121956000643,True,False,True,False
3,50,50,2,1e-08,"(1,1,2)",1.375224188377733,1.5076590025713468,True,False,False,True
3,50,50,2,3e-08,"(1,1,2)",1.3778879657046639,1.5096669768507844,True,False,False,True
3,50,50,2,1e-07,"(1,1,2)",1.3872111863489223,1.5166948868288168,True,False,False,True
3,50,50,2,3e-07,"(1,1,2)",1.4138489596182315,1.5367746296231946,True,False,False,True
3,50,50,2,1e-06,"(1,1,2)",1.507081166060814,1.607053729403517,True,False,False,True
3,50,50,2,3e-06,"(1,1,2)",1.7734588987539075,1.8078511573472955,True,False,False,True
3,50,50,2,1e-05,"(1,0,0)",2.2034873295210504,2.5106421551505202,True,False,True,False
3,50,50,2,3e-05,"(0,0,0)",2.8362050847068425,4.518616434588305,True,False,True,False
3,50,50,2,0.0001,"(0,0,0)",2.8362050847068425,11.546526412620553,True,False,True,False
3,50,50,2,0.0003,"(0,0,0)",2.8362050847068425,31.626269206998394,True,False,True,False
3,50,50,2,0.001,"(0,0,0)",2.8362050847068425,101.90536898732087,True,False,True,False
4,50,50,1,1e-08,"(1,1,1)",1.3687482465056584,1.3687482465056584,True,True,False,False
4,50,50,1,3e-08,"(1,1,1)",1.370756220785096,1.370756220785096,True,True,False,False
4,50,50,1,1e-07,"(1,1,1)",1.3777841307631284,1.3777841307631284,True,True,False,False
4,50,50,1,3e-07,"(1,1,1)",1.3978638735575062,1.3978638735575062,True,True,False,False
4,50,50,1,1e-06,"(1,1,1)",1.4681429733378286,1.4681429733378286,True,True,False,False
4,50,50,1,3e-06,"(1,1,1)",1.6689404012816071,1.6689404012816071,True,True,False,False
4,50,50,1,1e-05,"(1,0,0)",2.1354300902534886,2.371731399084832,True,False,True,False
4,50,50,1,3e-05,"(0,0,0)",2.5724469784131974,4.379705678522617,True,False,True,False
4,50,50,1,0.0001,"(0,0,0)",2.5724469784131974,11.407615656554864,True,False,True,False
4,50,50,1,0.0003,"(0,0,0)",2.5724469784131974,31.487358450932707,True,False,True,False
4,50,50,1,0.001,"(0,0,0)",2.5724469784131974,101.76645823125517,True,False,True,False
4,50,50,2,1e-08,"(1,2,1)",1.2151304384595087,1.3049327244219402,True,False,False,True
4,50,50,2,3e-08,"(1,2,1)",1.2177942157864396,1.3069406987013779,True,False,False,True
4,50,50,2,1e-07,"(1,2,1)",1.227117436430698,1.3139686086794102,True,False,False,True
4,50,50,2,3e-07,"(1,2,1)",1.2537552097000073,1.334048351473788,True,False,False,True
4,50,50,2,1e-06,"(1,2,1)",1.3469874161425899,1.4043274512541104,True,False,False,True
4,50,50,2,3e-06,"(1,1,1)",1.605124879197889,1.605124879197889,True,True,False,False
4,50,50,2,1e-05,"(1,0,0)",2.126969873337373,2.307915877001114,True,False,True,False
4,50,50,2,3e-05,"(0,0,0)",2.5220998104748196,4.315890156438899,True,False,True,False
4,50,50,2,0.0001,"(0,0,0)",2.5220998104748196,11.343800134471147,True,False,True,False
4,50,50,2,0.0003,"(0,0,0)",2.5220998104748196,31.42354292884899,True,False,True,False
4,50,50,2,0.001,"(0,0,0)",2.5220998104748196,101.70264270917146,True,False,True,False
