N,T,NT,rank_r,log_NT,b_NT,base_kappa,delta_d,base_increment,delta_d_1,base_increment_1,increment_c_1e-08,increment_1_c_1e-08,increment_c_3e-08,increment_1_c_3e-08,increment_c_1e-07,increment_1_c_1e-07,increment_c_3e-07,increment_1_c_3e-07,increment_c_1e-06,increment_1_c_1e-06,increment_c_3e-06,increment_1_c_3e-06,increment_c_1e-05,increment_1_c_1e-05,increment_c_3e-05,increment_1_c_3e-05,increment_c_1e-04,increment_1_c_1e-04,increment_c_3e-04,increment_1_c_3e-04,increment_c_1e-03,increment_1_c_1e-03
50,50,2500,0,7.824046010856292,15.017341715546726,845107.0199653977,99,33466.23799062974,99,33466.23799062974,0.00033466237990629745,0.00033466237990629745,0.0010039871397188923,0.0010039871397188923,0.003346623799062974,0.003346623799062974,0.010039871397188923,0.010039871397188923,0.03346623799062974,0.03346623799062974,0.10039871397188924,0.10039871397188924,0.33466237990629744,0.33466237990629744,1.0039871397188924,1.0039871397188924,3.3466237990629746,3.3466237990629746,10.039871397188922,10.039871397188922,33.46623799062974,33.46623799062974
50,50,2500,1,7.824046010856292,15.017341715546726,845107.0199653977,97,32790.15237465743,99,33466.23799062974,0.00032790152374657434,0.00033466237990629745,0.0009837045712397228,0.0010039871397188923,0.003279015237465743,0.003346623799062974,0.009837045712397229,0.010039871397188923,0.03279015237465743,0.03346623799062974,0.0983704571239723,0.10039871397188924,0.32790152374657433,0.33466237990629744,0.983704571239723,1.0039871397188924,3.2790152374657433,3.3466237990629746,9.837045712397229,10.039871397188922,32.79015237465743,33.46623799062974
50,50,2500,2,7.824046010856292,15.017341715546726,845107.0199653977,95,32114.066758685112,99,33466.23799062974,0.0003211406675868511,0.00033466237990629745,0.0009634220027605533,0.0010039871397188923,0.003211406675868511,0.003346623799062974,0.009634220027605533,0.010039871397188923,0.03211406675868511,0.03346623799062974,0.09634220027605533,0.10039871397188924,0.32114066758685117,0.33466237990629744,0.9634220027605533,1.0039871397188924,3.2114066758685116,3.3466237990629746,9.634220027605533,10.039871397188922,32.11406675868511,33.46623799062974
100,100,10000,0,9.210340371976184,19.843076804386655,2833483.8838854465,199,56386.32928932038,199,56386.32928932038,0.0005638632928932039,0.0005638632928932039,0.0016915898786796113,0.0016915898786796113,0.005638632928932038,0.005638632928932038,0.016915898786796113,0.016915898786796113,0.05638632928932038,0.05638632928932038,0.16915898786796116,0.16915898786796116,0.5638632928932039,0.5638632928932039,1.6915898786796115,1.6915898786796115,5.638632928932038,5.638632928932038,16.915898786796113,16.915898786796113,56.386329289320386,56.386329289320386
100,100,10000,1,9.210340371976184,19.843076804386655,2833483.8838854465,197,55819.6325125433,199,56386.32928932038,0.000558196325125433,0.0005638632928932039,0.001674588975376299,0.0016915898786796113,0.0055819632512543295,0.005638632928932038,0.01674588975376299,0.016915898786796113,0.0558196325125433,0.05638632928932038,0.1674588975376299,0.16915898786796116,0.558196325125433,0.5638632928932039,1.674588975376299,1.6915898786796115,5.58196325125433,5.638632928932038,16.745889753762988,16.915898786796113,55.8196325125433,56.386329289320386
100,100,10000,2,9.210340371976184,19.843076804386655,2833483.8838854465,195,55252.93573576621,199,56386.32928932038,0.0005525293573576621,0.0005638632928932039,0.001657588072072986,0.0016915898786796113,0.005525293573576621,0.005638632928932038,0.016575880720729862,0.016915898786796113,0.05525293573576621,0.05638632928932038,0.16575880720729863,0.16915898786796116,0.5525293573576622,0.5638632928932039,1.6575880720729863,1.6915898786796115,5.525293573576621,5.638632928932038,16.57588072072986,16.915898786796113,55.25293573576621,56.386329289320386
200,200,40000,0,10.596634733096073,25.62553632834239,8279760.70066367,399,82590.61298912011,399,82590.61298912011,0.0008259061298912012,0.0008259061298912012,0.002477718389673603,0.002477718389673603,0.008259061298912011,0.008259061298912011,0.024777183896736034,0.024777183896736034,0.08259061298912011,0.08259061298912011,0.24777183896736035,0.24777183896736035,0.8259061298912012,0.8259061298912012,2.4777183896736035,2.4777183896736035,8.259061298912012,8.259061298912012,24.77718389673603,24.77718389673603,82.59061298912012,82.59061298912012
200,200,40000,1,10.596634733096073,25.62553632834239,8279760.70066367,397,82176.62495408692,399,82590.61298912011,0.0008217662495408692,0.0008259061298912012,0.0024652987486226074,0.002477718389673603,0.008217662495408692,0.008259061298912011,0.024652987486226074,0.024777183896736034,0.08217662495408691,0.08259061298912011,0.24652987486226077,0.24777183896736035,0.8217662495408693,0.8259061298912012,2.4652987486226077,2.4777183896736035,8.217662495408693,8.259061298912012,24.652987486226074,24.77718389673603,82.17662495408692,82.59061298912012
200,200,40000,2,10.596634733096073,25.62553632834239,8279760.70066367,395,81762.63691905375,399,82590.61298912011,0.0008176263691905375,0.0008259061298912012,0.0024528791075716125,0.002477718389673603,0.008176263691905375,0.008259061298912011,0.024528791075716126,0.024777183896736034,0.08176263691905375,0.08259061298912011,0.24528791075716125,0.24777183896736035,0.8176263691905375,0.8259061298912012,2.4528791075716128,2.4777183896736035,8.176263691905376,8.259061298912012,24.528791075716125,24.77718389673603,81.76263691905375,82.59061298912012
400,400,160000,0,11.982929094215963,32.52667383174745,21813797.01020475,799,108932.64881970997,799,108932.64881970997,0.0010893264881970998,0.0010893264881970998,0.003267979464591299,0.003267979464591299,0.010893264881970996,0.010893264881970996,0.03267979464591299,0.03267979464591299,0.10893264881970996,0.10893264881970996,0.3267979464591299,0.3267979464591299,1.0893264881970999,1.0893264881970999,3.267979464591299,3.267979464591299,10.893264881970998,10.893264881970998,32.679794645912985,32.679794645912985,108.93264881970997,108.93264881970997
