DGP,semantic_replication_id,method,split_type,split_index,effective_N,effective_T,coefficient_envelope,full_coefficient_envelope,stationarity_residual,full_stationarity_residual,sigma_r_over_sigma_1,full_sigma_r_over_sigma_1,objective_stability_gap,full_objective_stability_gap,runtime_seconds,full_runtime_seconds,primary_numerical_cause
1,dgp1_N50_T50_r00003_truth1-1-1,fixed_rank,time,0,50,25,10.768822797104423,8.763240204818825,3.647038684202163e-05,2.3425190929307788e-05,1.0,1.0,,2.5119902895858233e-06,0.013443500007269904,0.02707949999603443,coefficient_bound_hit
1,dgp1_N50_T50_r00003_truth1-1-1,fixed_rank,time,1,50,25,5.80987892115958,8.763240204818825,4.998361691678955e-05,2.3425190929307788e-05,1.0,1.0,,2.5119902895858233e-06,0.03202600000076927,0.02707949999603443,valid
1,dgp1_N50_T50_r00003_truth1-1-1,fixed_rank,unit,0,26,50,9.334715428164868,8.763240204818825,2.7031776676747224e-05,2.3425190929307788e-05,1.0,1.0,,2.5119902895858233e-06,0.02801249999902211,0.02707949999603443,coefficient_bound_hit
1,dgp1_N50_T50_r00003_truth1-1-1,fixed_rank,unit,1,24,50,5.907360785299983,8.763240204818825,5.196459616614552e-05,2.3425190929307788e-05,1.0,1.0,,2.5119902895858233e-06,0.020472100004553795,0.02707949999603443,valid
1,dgp1_N50_T50_r00005_truth1-1-1,fixed_rank,time,0,50,25,5.413467501138298,6.1895580110921955,4.206723309769403e-05,1.9667757039698558e-05,1.0,1.0,,7.610182573012634e-07,0.01643389998935163,0.018395199993392453,valid
1,dgp1_N50_T50_r00005_truth1-1-1,fixed_rank,time,1,50,25,7.024168689817087,6.1895580110921955,4.706761379753897e-05,1.9667757039698558e-05,1.0,1.0,,7.610182573012634e-07,0.01785340000060387,0.018395199993392453,valid
1,dgp1_N50_T50_r00005_truth1-1-1,fixed_rank,unit,0,26,50,10.118980635272933,6.1895580110921955,3.523220477827778e-05,1.9667757039698558e-05,1.0,1.0,,7.610182573012634e-07,0.019303000008221716,0.018395199993392453,coefficient_bound_hit
1,dgp1_N50_T50_r00005_truth1-1-1,fixed_rank,unit,1,24,50,5.803691816670975,6.1895580110921955,4.048530775442152e-05,1.9667757039698558e-05,1.0,1.0,,7.610182573012634e-07,0.019321200001286343,0.018395199993392453,valid
2,dgp2_N50_T50_r00004_truth1-1-1,fixed_rank,time,0,50,25,11.456503323408224,7.638836835363397,4.617038611743153e-05,2.2301192415310002e-05,1.0,1.0,,1.0340254500415471e-06,0.02092039998387918,0.026169000018853694,coefficient_bound_hit
2,dgp2_N50_T50_r00004_truth1-1-1,fixed_rank,time,1,50,25,7.6464048504687065,7.638836835363397,3.2475482687991475e-05,2.2301192415310002e-05,1.0,1.0,,1.0340254500415471e-06,0.013763499999186024,0.026169000018853694,valid
