split_type,primary_numerical_cause,sample_size,method,aggregation,fit_count,total_split_fits,dgp,failure_rate
time,coefficient_bound_hit,50,fixed_rank,method_split_cause,6,22,,
time,valid,50,fixed_rank,method_split_cause,16,22,,
unit,coefficient_bound_hit,50,fixed_rank,method_split_cause,9,22,,
unit,valid,50,fixed_rank,method_split_cause,13,22,,
time,coefficient_bound_hit,50,fixed_rank,method_split_dgp_cause,1,6,1.0,
time,valid,50,fixed_rank,method_split_dgp_cause,5,6,1.0,
time,coefficient_bound_hit,50,fixed_rank,method_split_dgp_cause,1,6,2.0,
time,valid,50,fixed_rank,method_split_dgp_cause,5,6,2.0,
time,coefficient_bound_hit,50,fixed_rank,method_split_dgp_cause,3,6,3.0,
time,valid,50,fixed_rank,method_split_dgp_cause,3,6,3.0,
time,coefficient_bound_hit,50,fixed_rank,method_split_dgp_cause,1,4,4.0,
time,valid,50,fixed_rank,method_split_dgp_cause,3,4,4.0,
unit,coefficient_bound_hit,50,fixed_rank,method_split_dgp_cause,2,6,1.0,
unit,valid,50,fixed_rank,method_split_dgp_cause,4,6,1.0,
unit,coefficient_bound_hit,50,fixed_rank,method_split_dgp_cause,1,6,2.0,
unit,valid,50,fixed_rank,method_split_dgp_cause,5,6,2.0,
unit,coefficient_bound_hit,50,fixed_rank,method_split_dgp_cause,4,6,3.0,
unit,valid,50,fixed_rank,method_split_dgp_cause,2,6,3.0,
unit,coefficient_bound_hit,50,fixed_rank,method_split_dgp_cause,2,4,4.0,
unit,valid,50,fixed_rank,method_split_dgp_cause,2,4,4.0,
time,any_failure,50,fixed_rank,split_failure_rate,6,22,,0.2727272727272727
unit,any_failure,50,fixed_rank,split_failure_rate,9,22,,0.4090909090909091
time,coefficient_bound_hit,50,selected_rank,method_split_cause,5,18,,
time,valid,50,selected_rank,method_split_cause,13,18,,
unit,coefficient_bound_hit,50,selected_rank,method_split_cause,7,18,,
unit,valid,50,selected_rank,method_split_cause,11,18,,
time,coefficient_bound_hit,50,selected_rank,method_split_dgp_cause,1,6,1.0,
time,valid,50,selected_rank,method_split_dgp_cause,5,6,1.0,
time,coefficient_bound_hit,50,selected_rank,method_split_dgp_cause,1,6,2.0,
time,valid,50,selected_rank,method_split_dgp_cause,5,6,2.0,
time,coefficient_bound_hit,50,selected_rank,method_split_dgp_cause,3,4,3.0,
time,valid,50,selected_rank,method_split_dgp_cause,1,4,3.0,
time,valid,50,selected_rank,method_split_dgp_cause,2,2,4.0,
unit,coefficient_bound_hit,50,selected_rank,method_split_dgp_cause,2,6,1.0,
unit,valid,50,selected_rank,method_split_dgp_cause,4,6,1.0,
unit,coefficient_bound_hit,50,selected_rank,method_split_dgp_cause,1,6,2.0,
unit,valid,50,selected_rank,method_split_dgp_cause,5,6,2.0,
unit,coefficient_bound_hit,50,selected_rank,method_split_dgp_cause,3,4,3.0,
unit,valid,50,selected_rank,method_split_dgp_cause,1,4,3.0,
unit,coefficient_bound_hit,50,selected_rank,method_split_dgp_cause,1,2,4.0,
unit,valid,50,selected_rank,method_split_dgp_cause,1,2,4.0,
time,any_failure,50,selected_rank,split_failure_rate,5,18,,0.2777777777777778
unit,any_failure,50,selected_rank,split_failure_rate,7,18,,0.3888888888888889
time,valid,100,fixed_rank,method_split_cause,24,24,,
unit,coefficient_bound_hit,100,fixed_rank,method_split_cause,1,24,,
unit,valid,100,fixed_rank,method_split_cause,23,24,,
time,valid,100,fixed_rank,method_split_dgp_cause,6,6,1.0,
time,valid,100,fixed_rank,method_split_dgp_cause,6,6,2.0,
time,valid,100,fixed_rank,method_split_dgp_cause,6,6,3.0,
time,valid,100,fixed_rank,method_split_dgp_cause,6,6,4.0,
unit,valid,100,fixed_rank,method_split_dgp_cause,6,6,1.0,
unit,valid,100,fixed_rank,method_split_dgp_cause,6,6,2.0,
unit,coefficient_bound_hit,100,fixed_rank,method_split_dgp_cause,1,6,3.0,
unit,valid,100,fixed_rank,method_split_dgp_cause,5,6,3.0,
unit,valid,100,fixed_rank,method_split_dgp_cause,6,6,4.0,
time,any_failure,100,fixed_rank,split_failure_rate,0,24,,0.0
unit,any_failure,100,fixed_rank,split_failure_rate,1,24,,0.041666666666666664
