DGP,semantic_replication_id,method,split_type,split_index,effective_N,effective_T,requested_rank,realized_numerical_rank,objective,iterations,convergence,iteration_cap_hit,stationarity_residual,stationarity_pass,coefficient_envelope,coefficient_envelope_ratio,coefficient_bound_hit,sigma_1,sigma_r,sigma_r_over_sigma_1,numerical_rank_loss,best_objective,second_best_objective,objective_stability_gap,objective_stability_pass,objective_stability_assessed,runtime_seconds,primary_numerical_cause,exact_invalidity_reason,A_sigma_1,A_sigma_r,A_sigma_r_over_sigma_1,A_rank_supported,B_sigma_1,B_sigma_r,B_sigma_r_over_sigma_1,B_rank_supported,H_sigma_1,H_sigma_r,H_sigma_r_over_sigma_1,H_rank_supported,full_coefficient_envelope,full_coefficient_envelope_ratio,full_stationarity_residual,full_sigma_r_over_sigma_1,full_objective_stability_gap,full_runtime_seconds
1,dgp1_N50_T50_r00003_truth1-1-1,fixed_rank,time,0,50,25,"[1, 1, 1]","[1, 1, 1]",1.6528811318309202,9,True,False,3.647038684202163e-05,True,10.768822797104423,1.196535866344936,True,20.42198084202433,20.42198084202433,1.0,False,,,,,False,0.013443500007269904,coefficient_bound_hit,coefficient_bound_hit,20.42198084202433,20.42198084202433,1.0,True,29.308813238905845,29.308813238905845,1.0,True,50.16066231519942,50.16066231519942,1.0,True,8.763240204818825,0.9736933560909805,2.3425190929307788e-05,1.0,2.5119902895858233e-06,0.02707949999603443
1,dgp1_N50_T50_r00003_truth1-1-1,fixed_rank,time,1,50,25,"[1, 1, 1]","[1, 1, 1]",1.4500768420276744,21,True,False,4.998361691678955e-05,True,5.80987892115958,0.6455421023510645,False,18.887036850101204,18.887036850101204,1.0,False,,,,,False,0.03202600000076927,valid,valid,18.887036850101204,18.887036850101204,1.0,True,32.97655340843385,32.97655340843385,1.0,True,41.06749503672601,41.06749503672601,1.0,True,8.763240204818825,0.9736933560909805,2.3425190929307788e-05,1.0,2.5119902895858233e-06,0.02707949999603443
1,dgp1_N50_T50_r00003_truth1-1-1,fixed_rank,unit,0,26,50,"[1, 1, 1]","[1, 1, 1]",1.6357524691672163,15,True,False,2.7031776676747224e-05,True,9.334715428164868,1.0371906031294298,True,20.115727735789566,20.115727735789566,1.0,False,,,,,False,0.02801249999902211,coefficient_bound_hit,coefficient_bound_hit,20.115727735789566,20.115727735789566,1.0,True,33.224461058426904,33.224461058426904,1.0,True,44.43399082544207,44.43399082544207,1.0,True,8.763240204818825,0.9736933560909805,2.3425190929307788e-05,1.0,2.5119902895858233e-06,0.02707949999603443
1,dgp1_N50_T50_r00003_truth1-1-1,fixed_rank,unit,1,24,50,"[1, 1, 1]","[1, 1, 1]",1.4168967413532931,11,True,False,5.196459616614552e-05,True,5.907360785299983,0.656373420588887,False,20.147269091439213,20.147269091439213,1.0,False,,,,,False,0.020472100004553795,valid,valid,20.147269091439213,20.147269091439213,1.0,True,30.85101949530254,30.85101949530254,1.0,True,41.23264343132689,41.23264343132689,1.0,True,8.763240204818825,0.9736933560909805,2.3425190929307788e-05,1.0,2.5119902895858233e-06,0.02707949999603443
1,dgp1_N50_T50_r00005_truth1-1-1,fixed_rank,time,0,50,25,"[1, 1, 1]","[1, 1, 1]",1.5311059590478315,9,True,False,4.206723309769403e-05,True,5.413467501138298,0.6014963890153664,False,20.188842875016245,20.188842875016245,1.0,False,,,,,False,0.01643389998935163,valid,valid,20.188842875016245,20.188842875016245,1.0,True,34.21126989405554,34.21126989405554,1.0,True,53.87122523186011,53.87122523186011,1.0,True,6.1895580110921955,0.6877286678991328,1.9667757039698558e-05,1.0,7.610182573012634e-07,0.018395199993392453
1,dgp1_N50_T50_r00005_truth1-1-1,fixed_rank,time,1,50,25,"[1, 1, 1]","[1, 1, 1]",1.5783544435813968,9,True,False,4.706761379753897e-05,True,7.024168689817087,0.7804631877574542,False,18.94632533565447,18.94632533565447,1.0,False,,,,,False,0.01785340000060387,valid,valid,18.94632533565447,18.94632533565447,1.0,True,39.804856294980624,39.804856294980624,1.0,True,47.198737334429225,47.198737334429225,1.0,True,6.1895580110921955,0.6877286678991328,1.9667757039698558e-05,1.0,7.610182573012634e-07,0.018395199993392453
1,dgp1_N50_T50_r00005_truth1-1-1,fixed_rank,unit,0,26,50,"[1, 1, 1]","[1, 1, 1]",1.6660879044840466,8,True,False,3.523220477827778e-05,True,10.118980635272933,1.1243311816969925,True,19.51244135887232,19.51244135887232,1.0,False,,,,,False,0.019303000008221716,coefficient_bound_hit,coefficient_bound_hit,19.51244135887232,19.51244135887232,1.0,True,47.44726654763589,47.44726654763589,1.0,True,49.00789836242248,49.00789836242248,1.0,True,6.1895580110921955,0.6877286678991328,1.9667757039698558e-05,1.0,7.610182573012634e-07,0.018395199993392453
1,dgp1_N50_T50_r00005_truth1-1-1,fixed_rank,unit,1,24,50,"[1, 1, 1]","[1, 1, 1]",1.4227419277554125,9,True,False,4.048530775442152e-05,True,5.803691816670975,0.644854646296775,False,19.258007431298935,19.258007431298935,1.0,False,,,,,False,0.019321200001286343,valid,valid,19.258007431298935,19.258007431298935,1.0,True,30.144231928976247,30.144231928976247,1.0,True,56.62534851909251,56.62534851909251,1.0,True,6.1895580110921955,0.6877286678991328,1.9667757039698558e-05,1.0,7.610182573012634e-07,0.018395199993392453
2,dgp2_N50_T50_r00004_truth1-1-1,fixed_rank,time,0,50,25,"[1, 1, 1]","[1, 1, 1]",1.3122597885933862,13,True,False,4.617038611743153e-05,True,11.456503323408224,1.272944813712025,True,16.947356285231173,16.947356285231173,1.0,False,,,,,False,0.02092039998387918,coefficient_bound_hit,coefficient_bound_hit,16.947356285231173,16.947356285231173,1.0,True,33.69273423661739,33.69273423661739,1.0,True,65.9337068305406,65.9337068305406,1.0,True,7.638836835363397,0.8487596483737108,2.2301192415310002e-05,1.0,1.0340254500415471e-06,0.026169000018853694
2,dgp2_N50_T50_r00004_truth1-1-1,fixed_rank,time,1,50,25,"[1, 1, 1]","[1, 1, 1]",1.2621746647275105,9,True,False,3.2475482687991475e-05,True,7.6464048504687065,0.8496005389409674,False,18.24624244421789,18.24624244421789,1.0,False,,,,,False,0.013763499999186024,valid,valid,18.24624244421789,18.24624244421789,1.0,True,34.05402007166128,34.05402007166128,1.0,True,46.53156263776706,46.53156263776706,1.0,True,7.638836835363397,0.8487596483737108,2.2301192415310002e-05,1.0,1.0340254500415471e-06,0.026169000018853694
