dgp,N,T,replication,target,record_type,true_rank_vector,status,failure_detail,config_hash,git_commit,replication_failure_status,any_near_singularity
1,50,50,0,A_entry,,,rank_pilot_failure,,,,rank_pilot_failure,False
1,50,50,0,B_entry,,,rank_pilot_failure,,,,rank_pilot_failure,False
1,50,50,0,A_fixed_time_mean,,,rank_pilot_failure,,,,rank_pilot_failure,False
1,50,50,0,B_fixed_time_mean,,,rank_pilot_failure,,,,rank_pilot_failure,False
1,50,50,0,A_full_mean,,,rank_pilot_failure,,,,rank_pilot_failure,False
1,50,50,0,B_full_mean,,,rank_pilot_failure,,,,rank_pilot_failure,False
1,50,50,0,A_G1_fixed_time,,,rank_pilot_failure,,,,rank_pilot_failure,False
1,50,50,0,A_G2_fixed_time,,,rank_pilot_failure,,,,rank_pilot_failure,False
1,50,50,0,A_G2_minus_G1_fixed_time,,,rank_pilot_failure,,,,rank_pilot_failure,False
1,50,50,0,A_G1_time_average,,,rank_pilot_failure,,,,rank_pilot_failure,False
1,50,50,0,A_G2_time_average,,,rank_pilot_failure,,,,rank_pilot_failure,False
1,50,50,0,A_G2_minus_G1_time_average,,,rank_pilot_failure,,,,rank_pilot_failure,False
1,50,50,0,B_G1_fixed_time,,,rank_pilot_failure,,,,rank_pilot_failure,False
1,50,50,0,B_G2_fixed_time,,,rank_pilot_failure,,,,rank_pilot_failure,False
1,50,50,0,B_G2_minus_G1_fixed_time,,,rank_pilot_failure,,,,rank_pilot_failure,False
1,50,50,0,B_G1_time_average,,,rank_pilot_failure,,,,rank_pilot_failure,False
1,50,50,0,B_G2_time_average,,,rank_pilot_failure,,,,rank_pilot_failure,False
1,50,50,0,B_G2_minus_G1_time_average,,,rank_pilot_failure,,,,rank_pilot_failure,False
1,50,50,1,A_entry,,,missing_target_record,,,,,False
1,50,50,1,B_entry,,,missing_target_record,,,,,False
1,50,50,1,A_fixed_time_mean,,,missing_target_record,,,,,False
1,50,50,1,B_fixed_time_mean,,,missing_target_record,,,,,False
1,50,50,1,A_full_mean,,,missing_target_record,,,,,False
1,50,50,1,B_full_mean,,,missing_target_record,,,,,False
1,50,50,1,A_G1_fixed_time,,,missing_target_record,,,,,False
1,50,50,1,A_G2_fixed_time,,,missing_target_record,,,,,False
1,50,50,1,A_G2_minus_G1_fixed_time,,,missing_target_record,,,,,False
1,50,50,1,A_G1_time_average,,,missing_target_record,,,,,False
1,50,50,1,A_G2_time_average,,,missing_target_record,,,,,False
1,50,50,1,A_G2_minus_G1_time_average,,,missing_target_record,,,,,False
1,50,50,1,B_G1_fixed_time,,,missing_target_record,,,,,False
1,50,50,1,B_G2_fixed_time,,,missing_target_record,,,,,False
1,50,50,1,B_G2_minus_G1_fixed_time,,,missing_target_record,,,,,False
1,50,50,1,B_G1_time_average,,,missing_target_record,,,,,False
1,50,50,1,B_G2_time_average,,,missing_target_record,,,,,False
1,50,50,1,B_G2_minus_G1_time_average,,,missing_target_record,,,,,False
1,50,50,2,A_entry,,,missing_target_record,,,,,False
1,50,50,2,B_entry,,,missing_target_record,,,,,False
1,50,50,2,A_fixed_time_mean,,,missing_target_record,,,,,False
1,50,50,2,B_fixed_time_mean,,,missing_target_record,,,,,False
1,50,50,2,A_full_mean,,,missing_target_record,,,,,False
1,50,50,2,B_full_mean,,,missing_target_record,,,,,False
1,50,50,2,A_G1_fixed_time,,,missing_target_record,,,,,False
1,50,50,2,A_G2_fixed_time,,,missing_target_record,,,,,False
1,50,50,2,A_G2_minus_G1_fixed_time,,,missing_target_record,,,,,False
1,50,50,2,A_G1_time_average,,,missing_target_record,,,,,False
1,50,50,2,A_G2_time_average,,,missing_target_record,,,,,False
1,50,50,2,A_G2_minus_G1_time_average,,,missing_target_record,,,,,False
1,50,50,2,B_G1_fixed_time,,,missing_target_record,,,,,False
1,50,50,2,B_G2_fixed_time,,,missing_target_record,,,,,False
1,50,50,2,B_G2_minus_G1_fixed_time,,,missing_target_record,,,,,False
1,50,50,2,B_G1_time_average,,,missing_target_record,,,,,False
1,50,50,2,B_G2_time_average,,,missing_target_record,,,,,False
1,50,50,2,B_G2_minus_G1_time_average,,,missing_target_record,,,,,False
1,50,50,3,A_entry,,,missing_target_record,,,,,False
1,50,50,3,B_entry,,,missing_target_record,,,,,False
1,50,50,3,A_fixed_time_mean,,,missing_target_record,,,,,False
1,50,50,3,B_fixed_time_mean,,,missing_target_record,,,,,False
1,50,50,3,A_full_mean,,,missing_target_record,,,,,False
1,50,50,3,B_full_mean,,,missing_target_record,,,,,False
1,50,50,3,A_G1_fixed_time,,,missing_target_record,,,,,False
1,50,50,3,A_G2_fixed_time,,,missing_target_record,,,,,False
1,50,50,3,A_G2_minus_G1_fixed_time,,,missing_target_record,,,,,False
1,50,50,3,A_G1_time_average,,,missing_target_record,,,,,False
1,50,50,3,A_G2_time_average,,,missing_target_record,,,,,False
1,50,50,3,A_G2_minus_G1_time_average,,,missing_target_record,,,,,False
1,50,50,3,B_G1_fixed_time,,,missing_target_record,,,,,False
1,50,50,3,B_G2_fixed_time,,,missing_target_record,,,,,False
1,50,50,3,B_G2_minus_G1_fixed_time,,,missing_target_record,,,,,False
1,50,50,3,B_G1_time_average,,,missing_target_record,,,,,False
1,50,50,3,B_G2_time_average,,,missing_target_record,,,,,False
1,50,50,3,B_G2_minus_G1_time_average,,,missing_target_record,,,,,False
