record_type,run_id,dgp,N,T,replication,method,target,primary_status,status,completed_dgp_replication,point_estimate_valid,inference_valid,retained_for_bias_rmse,retained_for_coverage,retained_for_rejection,supplied_rank_vector,selected_rank_vector,cap_pilot_rank,candidate_coverage,rank_selection_diagnostics,expected_fit_count,semantic_replication_id,dgp_realization_hash,replication_runtime_seconds,exception_type,exception_message
replication,d696c84f04b94599,1,100,100,6,fixed_rank,__replication__,success,success,True,False,False,False,False,False,"[1, 1, 1]",,,,,7,dgp1_N100_T100_r00006_truth1-1-1,b4858d58eb347a14f808dfd205980bfc3e4a3214aa280b692f1c93b6e47ffaa4,5.398828899982618,,
replication,d696c84f04b94599,1,100,100,7,fixed_rank,__replication__,success,success,True,False,False,False,False,False,"[1, 1, 1]",,,,,7,dgp1_N100_T100_r00007_truth1-1-1,cbd4539ec9ef954cbacea5cf54eb9aaa3af0d6d733ab84d7bc0b33ab85e530d6,5.4738457999774255,,
replication,d696c84f04b94599,1,100,100,8,fixed_rank,__replication__,success,success,True,False,False,False,False,False,"[1, 1, 1]",,,,,7,dgp1_N100_T100_r00008_truth1-1-1,bc803be303e7ada8e4f9a608602fd36ed621d2250837a7d021638f3e0b28a5b3,5.599638500018045,,
replication,d696c84f04b94599,2,100,100,6,fixed_rank,__replication__,success,success,True,False,False,False,False,False,"[1, 1, 1]",,,,,7,dgp2_N100_T100_r00006_truth1-1-1,53865ec6f3d2a730961f53cfe1a87a4472d590af2207ed589da8fd78d7c9e2e1,5.924529999989318,,
replication,d696c84f04b94599,2,100,100,7,fixed_rank,__replication__,success,success,True,False,False,False,False,False,"[1, 1, 1]",,,,,7,dgp2_N100_T100_r00007_truth1-1-1,da4f650be1600735bf3edc1fbec15d5ea0cc6ae7f2fe2feade758274c9c65443,7.1073826999927405,,
replication,d696c84f04b94599,2,100,100,8,fixed_rank,__replication__,success,success,True,False,False,False,False,False,"[1, 1, 1]",,,,,7,dgp2_N100_T100_r00008_truth1-1-1,d818374ae108ef517be34bf7365ad5e443220002de483c8c4e12804987212ad7,6.686804299999494,,
replication,d696c84f04b94599,3,100,100,6,fixed_rank,__replication__,success,success,True,False,False,False,False,False,"[1, 1, 1]",,,,,7,dgp3_N100_T100_r00006_truth1-1-1,88bd8474dda5ac00f2a0ef7a6245a2992a1379e83b9e9d9bcc34d0862716b368,9.463509400025941,,
replication,d696c84f04b94599,3,100,100,7,fixed_rank,__replication__,success,success,True,False,False,False,False,False,"[1, 1, 1]",,,,,7,dgp3_N100_T100_r00007_truth1-1-1,231f9b6575e765a84af01e066ffc8941fbccaeed89ed3fdae3b43f3e9b41407d,8.364572599995881,,
replication,d696c84f04b94599,3,100,100,8,fixed_rank,__replication__,success,success,True,False,False,False,False,False,"[1, 1, 1]",,,,,7,dgp3_N100_T100_r00008_truth1-1-1,c8178058f198528e3d9d81b9d4b3a3a4a05a19fa56c53eaf2446fa139d2bf48d,7.144156400026986,,
replication,d696c84f04b94599,4,100,100,6,fixed_rank,__replication__,success,success,True,False,False,False,False,False,"[1, 1, 1]",,,,,7,dgp4_N100_T100_r00006_truth1-1-1,ad9738eff6699ac3cfde7e17a6f03539d1452e2c3d43980eca1cd4a69dce1dc6,6.461320800008252,,
replication,d696c84f04b94599,4,100,100,7,fixed_rank,__replication__,success,success,True,False,False,False,False,False,"[1, 1, 1]",,,,,7,dgp4_N100_T100_r00007_truth1-1-1,9c47f2c4fbd7313c9e1e9984b5a8ceca38c790443a400d20e4f3316b8f050539,7.915692100010347,,
replication,d696c84f04b94599,4,100,100,8,fixed_rank,__replication__,success,success,True,False,False,False,False,False,"[1, 1, 1]",,,,,7,dgp4_N100_T100_r00008_truth1-1-1,263321a4514e6b9ac09ea73351cf2f91b414125ff2580e27bf91b3f8926be41b,5.415373099996941,,
