method,dgp,attempted,status_success,reconciled,status_coefficient_bound_hit,status_rank_pilot_failure,status_rank_at_cap
fixed_rank,1,3,3.0,True,0.0,0.0,0.0
fixed_rank,2,3,3.0,True,0.0,0.0,0.0
fixed_rank,3,3,3.0,True,0.0,0.0,0.0
fixed_rank,4,3,2.0,True,1.0,0.0,0.0
selected_3e-6,1,3,2.0,True,0.0,1.0,0.0
selected_3e-6,2,3,0.0,True,0.0,0.0,3.0
selected_3e-6,3,3,0.0,True,0.0,2.0,1.0
selected_3e-6,4,3,0.0,True,0.0,0.0,3.0
selected_4e-6,1,3,2.0,True,0.0,1.0,0.0
selected_4e-6,2,3,3.0,True,0.0,0.0,0.0
selected_4e-6,3,3,1.0,True,0.0,2.0,0.0
selected_4e-6,4,3,2.0,True,0.0,0.0,1.0
