record_type,run_id,dgp,N,T,replication,method,target,primary_status,status,completed_dgp_replication,point_estimate_valid,inference_valid,retained_for_bias_rmse,retained_for_coverage,retained_for_rejection,supplied_rank_vector,selected_rank_vector,cap_pilot_rank,candidate_coverage,rank_selection_diagnostics,expected_fit_count,semantic_replication_id,dgp_realization_hash,replication_runtime_seconds,exception_type,exception_message,preflight_method,requested_rank,numerical_rank,convergence_flag,iteration_cap_hit,stationarity_residual,stationarity_pass,coefficient_envelope_ratio,coefficient_bound_hit,objective_stability_gap,objective_stability_pass,valid_point_estimate_count,valid_inference_count,target_count,extreme_estimate_flag_count,target_support_all,tangent_gram_min_eigenvalue,tangent_gram_condition_number_max,riesz_converged_all,cap_pilot_rank_rank,candidate_coverage_rank,selected_rank_vector_rank,dgp_generation_calibration_success,cap_pilot_attempted_route_count,cap_pilot_stable_route_count,exact_rank_recovery,rank_at_cap,A_underselected,B_underselected,H_underselected,A_overselected,B_overselected,H_overselected,cap_pilot_success,underselection,overselection
replication,50d69a44a71d9f94,1,50,50,0,fixed_rank,__replication__,success,success,True,False,False,False,False,False,"[1, 1, 1]",,,,,5,dgp1_N50_T50_r00000_truth1-1-1,d584b4bd743b64ff96881642d2b38ef8a58e22ff6fd87a73efb11261b2b79d9b,1.5493686999980127,,,fixed_rank,"[1, 1, 1]","[1, 1, 1]",True,False,2.6066629682498432e-05,True,0.6970992959639349,False,,,18,18,18,1,True,0.2091413968048462,162.765011977253,True,,,,True,,,,,,,,,,,,,
replication,50d69a44a71d9f94,1,50,50,1,fixed_rank,__replication__,success,success,True,False,False,False,False,False,"[1, 1, 1]",,,,,5,dgp1_N50_T50_r00001_truth1-1-1,4cf5160d932c94807e72816f0ddc1e240352a693400b1ad0728f503766223699,1.3683606999984477,,,fixed_rank,"[1, 1, 1]","[1, 1, 1]",True,False,1.858022424449969e-05,True,0.8583502443087814,False,,,18,18,18,0,True,0.3189965629758485,70.83795501421923,True,,,,True,,,,,,,,,,,,,
replication,50d69a44a71d9f94,1,50,50,2,fixed_rank,__replication__,success,success,True,False,False,False,False,False,"[1, 1, 1]",,,,,5,dgp1_N50_T50_r00002_truth1-1-1,80e019252dd6c150e3553e91f95f12b2db51562a594bc4a55391c217d57a3f6f,1.604644899998675,,,fixed_rank,"[1, 1, 1]","[1, 1, 1]",True,False,3.123604698786249e-05,True,0.5033241334909007,False,,,18,18,18,1,True,0.2497690452330411,156.6016730688773,True,,,,True,,,,,,,,,,,,,
replication,50d69a44a71d9f94,2,50,50,0,fixed_rank,__replication__,success,success,True,False,False,False,False,False,"[1, 1, 1]",,,,,5,dgp2_N50_T50_r00000_truth1-1-1,10176c07996278863a218b7a6641c01a0fb958c562c876a4b317f01ce51d8641,1.901110200007679,,,fixed_rank,"[1, 1, 1]","[1, 1, 1]",True,False,4.6795515820298504e-05,True,0.6813093870440238,False,,,18,18,18,0,True,0.12949551284988664,465.96251405946947,True,,,,True,,,,,,,,,,,,,
replication,50d69a44a71d9f94,2,50,50,1,fixed_rank,__replication__,success,success,True,False,False,False,False,False,"[1, 1, 1]",,,,,5,dgp2_N50_T50_r00001_truth1-1-1,2de50538128c101c70b1e943a41eeeb7e9b06be8ab1dea64a8e7240d9bc6a46f,1.7067328999983147,,,fixed_rank,"[1, 1, 1]","[1, 1, 1]",True,False,2.9929576937801455e-05,True,0.7237912188104659,False,,,18,18,18,0,True,0.2365100850882347,108.89704264408053,True,,,,True,,,,,,,,,,,,,
replication,50d69a44a71d9f94,2,50,50,2,fixed_rank,__replication__,success,success,True,False,False,False,False,False,"[1, 1, 1]",,,,,5,dgp2_N50_T50_r00002_truth1-1-1,c8d9cb4859a2e953e0e08069037db95244bf37758781aee4c0405f7579da2da9,1.764618800007156,,,fixed_rank,"[1, 1, 1]","[1, 1, 1]",True,False,1.7478336054474353e-05,True,0.6322618981393221,False,,,18,18,18,0,True,0.1527412872935185,190.58383203470612,True,,,,True,,,,,,,,,,,,,
replication,50d69a44a71d9f94,3,50,50,0,fixed_rank,__replication__,success,success,True,False,False,False,False,False,"[1, 1, 1]",,,,,5,dgp3_N50_T50_r00000_truth1-1-1,9b9bd5ee82323c1820b19527b5f470af2f315cb7a9efe00df7c588bbb69679f8,2.4882424999959767,,,fixed_rank,"[1, 1, 1]","[1, 1, 1]",True,False,2.7368851174691764e-05,True,0.8393200118310808,False,,,18,18,18,0,True,0.18013577943436135,409.6800365049956,True,,,,True,,,,,,,,,,,,,
replication,50d69a44a71d9f94,3,50,50,1,fixed_rank,__replication__,success,success,True,False,False,False,False,False,"[1, 1, 1]",,,,,5,dgp3_N50_T50_r00001_truth1-1-1,2fcb68a840fa1c007a95ee5aa16fe0d9539a9ccf7c8afc2ca5825c9852b103a9,2.3071338000008836,,,fixed_rank,"[1, 1, 1]","[1, 1, 1]",True,False,2.6893364958302374e-05,True,0.73837408086558,False,,,18,18,18,4,True,0.18187177971061738,328.8000768782838,True,,,,True,,,,,,,,,,,,,
replication,50d69a44a71d9f94,3,50,50,2,fixed_rank,__replication__,success,success,True,False,False,False,False,False,"[1, 1, 1]",,,,,5,dgp3_N50_T50_r00002_truth1-1-1,c3796e4752c52bdbc20f6a415b4a96271da625febaa1bf10a96047476dad7af6,2.1197331000003032,,,fixed_rank,"[1, 1, 1]","[1, 1, 1]",True,False,3.0433013518242262e-05,True,0.9339269413856969,False,,,18,18,18,0,True,0.17603906102506023,283.0289767526129,True,,,,True,,,,,,,,,,,,,
replication,50d69a44a71d9f94,4,50,50,0,fixed_rank,__replication__,success,success,True,False,False,False,False,False,"[1, 1, 1]",,,,,5,dgp4_N50_T50_r00000_truth1-1-1,a4978467e12dc6c91a607007bdc1f17ead54c181e8f4ac2a788b61d8646b30d3,1.8355725000001257,,,fixed_rank,"[1, 1, 1]","[1, 1, 1]",True,False,2.056330725992055e-05,True,0.7150875167093227,False,,,18,18,18,0,True,0.19063592771316595,396.5252076505659,True,,,,True,,,,,,,,,,,,,
replication,50d69a44a71d9f94,4,50,50,1,fixed_rank,__replication__,coefficient_bound_hit,coefficient_bound_hit,True,False,False,False,False,False,"[1, 1, 1]",,,,,1,dgp4_N50_T50_r00001_truth1-1-1,dbddbe54d3af05aa854c2890abb0434eb91c82a71a88827be59b9a41e8a6ba6e,0.07981650000147056,,1.604364453702897,fixed_rank,"[1, 1, 1]","[1, 1, 1]",True,False,5.384305441016942e-05,True,1.604364453702897,True,,,0,0,18,0,,,,,,,,True,,,,,,,,,,,,,
replication,50d69a44a71d9f94,4,50,50,2,fixed_rank,__replication__,success,success,True,False,False,False,False,False,"[1, 1, 1]",,,,,5,dgp4_N50_T50_r00002_truth1-1-1,1fcfd03d889ed194fdf5a4aa5261663594fe9f837bf8fccdae45d42d962ed3b8,1.8063326999981655,,,fixed_rank,"[1, 1, 1]","[1, 1, 1]",True,False,2.561222050242501e-05,True,0.831276486244133,False,,,18,18,18,0,True,0.20871977989190155,139.78709527462587,True,,,,True,,,,,,,,,,,,,
