semantic_replication_id,fixed_rank,selected_3e-6,selected_4e-6,all_hashes_equal
dgp1_N50_T50_r00000_truth1-1-1,d584b4bd743b64ff96881642d2b38ef8a58e22ff6fd87a73efb11261b2b79d9b,d584b4bd743b64ff96881642d2b38ef8a58e22ff6fd87a73efb11261b2b79d9b,d584b4bd743b64ff96881642d2b38ef8a58e22ff6fd87a73efb11261b2b79d9b,True
dgp1_N50_T50_r00001_truth1-1-1,4cf5160d932c94807e72816f0ddc1e240352a693400b1ad0728f503766223699,4cf5160d932c94807e72816f0ddc1e240352a693400b1ad0728f503766223699,4cf5160d932c94807e72816f0ddc1e240352a693400b1ad0728f503766223699,True
dgp1_N50_T50_r00002_truth1-1-1,80e019252dd6c150e3553e91f95f12b2db51562a594bc4a55391c217d57a3f6f,80e019252dd6c150e3553e91f95f12b2db51562a594bc4a55391c217d57a3f6f,80e019252dd6c150e3553e91f95f12b2db51562a594bc4a55391c217d57a3f6f,True
dgp2_N50_T50_r00000_truth1-1-1,10176c07996278863a218b7a6641c01a0fb958c562c876a4b317f01ce51d8641,10176c07996278863a218b7a6641c01a0fb958c562c876a4b317f01ce51d8641,10176c07996278863a218b7a6641c01a0fb958c562c876a4b317f01ce51d8641,True
dgp2_N50_T50_r00001_truth1-1-1,2de50538128c101c70b1e943a41eeeb7e9b06be8ab1dea64a8e7240d9bc6a46f,2de50538128c101c70b1e943a41eeeb7e9b06be8ab1dea64a8e7240d9bc6a46f,2de50538128c101c70b1e943a41eeeb7e9b06be8ab1dea64a8e7240d9bc6a46f,True
dgp2_N50_T50_r00002_truth1-1-1,c8d9cb4859a2e953e0e08069037db95244bf37758781aee4c0405f7579da2da9,c8d9cb4859a2e953e0e08069037db95244bf37758781aee4c0405f7579da2da9,c8d9cb4859a2e953e0e08069037db95244bf37758781aee4c0405f7579da2da9,True
dgp3_N50_T50_r00000_truth1-1-1,9b9bd5ee82323c1820b19527b5f470af2f315cb7a9efe00df7c588bbb69679f8,9b9bd5ee82323c1820b19527b5f470af2f315cb7a9efe00df7c588bbb69679f8,9b9bd5ee82323c1820b19527b5f470af2f315cb7a9efe00df7c588bbb69679f8,True
dgp3_N50_T50_r00001_truth1-1-1,2fcb68a840fa1c007a95ee5aa16fe0d9539a9ccf7c8afc2ca5825c9852b103a9,2fcb68a840fa1c007a95ee5aa16fe0d9539a9ccf7c8afc2ca5825c9852b103a9,2fcb68a840fa1c007a95ee5aa16fe0d9539a9ccf7c8afc2ca5825c9852b103a9,True
dgp3_N50_T50_r00002_truth1-1-1,c3796e4752c52bdbc20f6a415b4a96271da625febaa1bf10a96047476dad7af6,c3796e4752c52bdbc20f6a415b4a96271da625febaa1bf10a96047476dad7af6,c3796e4752c52bdbc20f6a415b4a96271da625febaa1bf10a96047476dad7af6,True
dgp4_N50_T50_r00000_truth1-1-1,a4978467e12dc6c91a607007bdc1f17ead54c181e8f4ac2a788b61d8646b30d3,a4978467e12dc6c91a607007bdc1f17ead54c181e8f4ac2a788b61d8646b30d3,a4978467e12dc6c91a607007bdc1f17ead54c181e8f4ac2a788b61d8646b30d3,True
dgp4_N50_T50_r00001_truth1-1-1,dbddbe54d3af05aa854c2890abb0434eb91c82a71a88827be59b9a41e8a6ba6e,dbddbe54d3af05aa854c2890abb0434eb91c82a71a88827be59b9a41e8a6ba6e,dbddbe54d3af05aa854c2890abb0434eb91c82a71a88827be59b9a41e8a6ba6e,True
dgp4_N50_T50_r00002_truth1-1-1,1fcfd03d889ed194fdf5a4aa5261663594fe9f837bf8fccdae45d42d962ed3b8,1fcfd03d889ed194fdf5a4aa5261663594fe9f837bf8fccdae45d42d962ed3b8,1fcfd03d889ed194fdf5a4aa5261663594fe9f837bf8fccdae45d42d962ed3b8,True
