preflight_method,semantic_replication_id,dgp,replication,primary_status,dgp_realization_hash,supplied_rank_vector,selected_rank_vector,cap_pilot_rank,candidate_coverage,expected_fit_count,replication_runtime_seconds
fixed_rank,dgp1_N50_T50_r00000_truth1-1-1,1,0,success,d584b4bd743b64ff96881642d2b38ef8a58e22ff6fd87a73efb11261b2b79d9b,"[1, 1, 1]",,,,5,1.5493686999980127
fixed_rank,dgp1_N50_T50_r00001_truth1-1-1,1,1,success,4cf5160d932c94807e72816f0ddc1e240352a693400b1ad0728f503766223699,"[1, 1, 1]",,,,5,1.3683606999984477
fixed_rank,dgp1_N50_T50_r00002_truth1-1-1,1,2,success,80e019252dd6c150e3553e91f95f12b2db51562a594bc4a55391c217d57a3f6f,"[1, 1, 1]",,,,5,1.604644899998675
fixed_rank,dgp2_N50_T50_r00000_truth1-1-1,2,0,success,10176c07996278863a218b7a6641c01a0fb958c562c876a4b317f01ce51d8641,"[1, 1, 1]",,,,5,1.901110200007679
fixed_rank,dgp2_N50_T50_r00001_truth1-1-1,2,1,success,2de50538128c101c70b1e943a41eeeb7e9b06be8ab1dea64a8e7240d9bc6a46f,"[1, 1, 1]",,,,5,1.7067328999983147
fixed_rank,dgp2_N50_T50_r00002_truth1-1-1,2,2,success,c8d9cb4859a2e953e0e08069037db95244bf37758781aee4c0405f7579da2da9,"[1, 1, 1]",,,,5,1.764618800007156
fixed_rank,dgp3_N50_T50_r00000_truth1-1-1,3,0,success,9b9bd5ee82323c1820b19527b5f470af2f315cb7a9efe00df7c588bbb69679f8,"[1, 1, 1]",,,,5,2.4882424999959767
fixed_rank,dgp3_N50_T50_r00001_truth1-1-1,3,1,success,2fcb68a840fa1c007a95ee5aa16fe0d9539a9ccf7c8afc2ca5825c9852b103a9,"[1, 1, 1]",,,,5,2.3071338000008836
fixed_rank,dgp3_N50_T50_r00002_truth1-1-1,3,2,success,c3796e4752c52bdbc20f6a415b4a96271da625febaa1bf10a96047476dad7af6,"[1, 1, 1]",,,,5,2.1197331000003032
fixed_rank,dgp4_N50_T50_r00000_truth1-1-1,4,0,success,a4978467e12dc6c91a607007bdc1f17ead54c181e8f4ac2a788b61d8646b30d3,"[1, 1, 1]",,,,5,1.8355725000001257
fixed_rank,dgp4_N50_T50_r00001_truth1-1-1,4,1,coefficient_bound_hit,dbddbe54d3af05aa854c2890abb0434eb91c82a71a88827be59b9a41e8a6ba6e,"[1, 1, 1]",,,,1,0.07981650000147056
fixed_rank,dgp4_N50_T50_r00002_truth1-1-1,4,2,success,1fcfd03d889ed194fdf5a4aa5261663594fe9f837bf8fccdae45d42d962ed3b8,"[1, 1, 1]",,,,5,1.8063326999981655
selected_3e-6,dgp1_N50_T50_r00000_truth1-1-1,1,0,success,d584b4bd743b64ff96881642d2b38ef8a58e22ff6fd87a73efb11261b2b79d9b,,"[1, 1, 1]","[1, 1, 2]",True,184,93.0116382999986
selected_3e-6,dgp1_N50_T50_r00001_truth1-1-1,1,1,success,4cf5160d932c94807e72816f0ddc1e240352a693400b1ad0728f503766223699,,"[1, 1, 1]","[1, 1, 1]",True,144,91.94949820000329
selected_3e-6,dgp1_N50_T50_r00002_truth1-1-1,1,2,rank_pilot_failure,80e019252dd6c150e3553e91f95f12b2db51562a594bc4a55391c217d57a3f6f,,,,,132,87.45101390000491
selected_3e-6,dgp2_N50_T50_r00000_truth1-1-1,2,0,rank_at_cap,10176c07996278863a218b7a6641c01a0fb958c562c876a4b317f01ce51d8641,,"[1, 1, 2]","[1, 1, 2]",True,164,87.56484599999385
selected_3e-6,dgp2_N50_T50_r00001_truth1-1-1,2,1,rank_at_cap,2de50538128c101c70b1e943a41eeeb7e9b06be8ab1dea64a8e7240d9bc6a46f,,"[1, 1, 2]","[1, 1, 2]",True,217,100.43459970000549
selected_3e-6,dgp2_N50_T50_r00002_truth1-1-1,2,2,rank_at_cap,c8d9cb4859a2e953e0e08069037db95244bf37758781aee4c0405f7579da2da9,,"[2, 1, 1]","[1, 1, 1]",True,191,97.5920172000042
selected_3e-6,dgp3_N50_T50_r00000_truth1-1-1,3,0,rank_pilot_failure,9b9bd5ee82323c1820b19527b5f470af2f315cb7a9efe00df7c588bbb69679f8,,,,,122,79.08137970000098
selected_3e-6,dgp3_N50_T50_r00001_truth1-1-1,3,1,rank_at_cap,2fcb68a840fa1c007a95ee5aa16fe0d9539a9ccf7c8afc2ca5825c9852b103a9,,"[2, 1, 1]","[2, 1, 1]",True,171,87.11478029999125
selected_3e-6,dgp3_N50_T50_r00002_truth1-1-1,3,2,rank_pilot_failure,c3796e4752c52bdbc20f6a415b4a96271da625febaa1bf10a96047476dad7af6,,,,,113,81.24332470000081
selected_3e-6,dgp4_N50_T50_r00000_truth1-1-1,4,0,rank_at_cap,a4978467e12dc6c91a607007bdc1f17ead54c181e8f4ac2a788b61d8646b30d3,,"[1, 1, 2]","[1, 1, 2]",True,149,84.42885759999626
selected_3e-6,dgp4_N50_T50_r00001_truth1-1-1,4,1,rank_at_cap,dbddbe54d3af05aa854c2890abb0434eb91c82a71a88827be59b9a41e8a6ba6e,,"[2, 1, 0]","[2, 1, 0]",True,143,87.54264700000931
selected_3e-6,dgp4_N50_T50_r00002_truth1-1-1,4,2,rank_at_cap,1fcfd03d889ed194fdf5a4aa5261663594fe9f837bf8fccdae45d42d962ed3b8,,"[1, 1, 2]","[1, 1, 2]",True,145,86.91901569999754
selected_4e-6,dgp1_N50_T50_r00000_truth1-1-1,1,0,success,d584b4bd743b64ff96881642d2b38ef8a58e22ff6fd87a73efb11261b2b79d9b,,"[1, 1, 1]","[1, 1, 2]",True,184,94.24813870000071
selected_4e-6,dgp1_N50_T50_r00001_truth1-1-1,1,1,success,4cf5160d932c94807e72816f0ddc1e240352a693400b1ad0728f503766223699,,"[1, 1, 1]","[1, 1, 1]",True,144,93.49142339998798
selected_4e-6,dgp1_N50_T50_r00002_truth1-1-1,1,2,rank_pilot_failure,80e019252dd6c150e3553e91f95f12b2db51562a594bc4a55391c217d57a3f6f,,,,,132,88.94908870001382
selected_4e-6,dgp2_N50_T50_r00000_truth1-1-1,2,0,success,10176c07996278863a218b7a6641c01a0fb958c562c876a4b317f01ce51d8641,,"[1, 1, 1]","[1, 1, 2]",True,168,91.72156839999661
selected_4e-6,dgp2_N50_T50_r00001_truth1-1-1,2,1,success,2de50538128c101c70b1e943a41eeeb7e9b06be8ab1dea64a8e7240d9bc6a46f,,"[1, 1, 1]","[1, 1, 2]",True,221,104.2336357999884
selected_4e-6,dgp2_N50_T50_r00002_truth1-1-1,2,2,success,c8d9cb4859a2e953e0e08069037db95244bf37758781aee4c0405f7579da2da9,,"[1, 1, 1]","[1, 1, 1]",True,190,98.80144960001053
selected_4e-6,dgp3_N50_T50_r00000_truth1-1-1,3,0,rank_pilot_failure,9b9bd5ee82323c1820b19527b5f470af2f315cb7a9efe00df7c588bbb69679f8,,,,,122,76.39493989999755
selected_4e-6,dgp3_N50_T50_r00001_truth1-1-1,3,1,success,2fcb68a840fa1c007a95ee5aa16fe0d9539a9ccf7c8afc2ca5825c9852b103a9,,"[1, 0, 1]","[2, 1, 1]",True,175,88.01771860000736
selected_4e-6,dgp3_N50_T50_r00002_truth1-1-1,3,2,rank_pilot_failure,c3796e4752c52bdbc20f6a415b4a96271da625febaa1bf10a96047476dad7af6,,,,,113,79.80039179998857
selected_4e-6,dgp4_N50_T50_r00000_truth1-1-1,4,0,success,a4978467e12dc6c91a607007bdc1f17ead54c181e8f4ac2a788b61d8646b30d3,,"[1, 1, 1]","[1, 1, 2]",True,153,82.87319329999445
selected_4e-6,dgp4_N50_T50_r00001_truth1-1-1,4,1,success,dbddbe54d3af05aa854c2890abb0434eb91c82a71a88827be59b9a41e8a6ba6e,,"[1, 0, 0]","[2, 1, 0]",True,147,83.60091169999214
selected_4e-6,dgp4_N50_T50_r00002_truth1-1-1,4,2,rank_at_cap,1fcfd03d889ed194fdf5a4aa5261663594fe9f837bf8fccdae45d42d962ed3b8,,"[1, 1, 2]","[1, 1, 2]",True,145,81.66520419999142
