record_type,run_id,dgp,N,T,replication,method,target,primary_status,status,completed_dgp_replication,point_estimate_valid,inference_valid,retained_for_bias_rmse,retained_for_coverage,retained_for_rejection,supplied_rank_vector,selected_rank_vector,cap_pilot_rank,candidate_coverage,rank_selection_diagnostics,expected_fit_count,semantic_replication_id,dgp_realization_hash,replication_runtime_seconds,exception_type,exception_message
replication,50d69a44a71d9f94,1,50,50,0,fixed_rank,__replication__,success,success,True,False,False,False,False,False,"[1, 1, 1]",,,,,5,dgp1_N50_T50_r00000_truth1-1-1,d584b4bd743b64ff96881642d2b38ef8a58e22ff6fd87a73efb11261b2b79d9b,1.5493686999980127,,
replication,50d69a44a71d9f94,1,50,50,1,fixed_rank,__replication__,success,success,True,False,False,False,False,False,"[1, 1, 1]",,,,,5,dgp1_N50_T50_r00001_truth1-1-1,4cf5160d932c94807e72816f0ddc1e240352a693400b1ad0728f503766223699,1.3683606999984477,,
replication,50d69a44a71d9f94,1,50,50,2,fixed_rank,__replication__,success,success,True,False,False,False,False,False,"[1, 1, 1]",,,,,5,dgp1_N50_T50_r00002_truth1-1-1,80e019252dd6c150e3553e91f95f12b2db51562a594bc4a55391c217d57a3f6f,1.604644899998675,,
replication,50d69a44a71d9f94,2,50,50,0,fixed_rank,__replication__,success,success,True,False,False,False,False,False,"[1, 1, 1]",,,,,5,dgp2_N50_T50_r00000_truth1-1-1,10176c07996278863a218b7a6641c01a0fb958c562c876a4b317f01ce51d8641,1.901110200007679,,
replication,50d69a44a71d9f94,2,50,50,1,fixed_rank,__replication__,success,success,True,False,False,False,False,False,"[1, 1, 1]",,,,,5,dgp2_N50_T50_r00001_truth1-1-1,2de50538128c101c70b1e943a41eeeb7e9b06be8ab1dea64a8e7240d9bc6a46f,1.7067328999983147,,
replication,50d69a44a71d9f94,2,50,50,2,fixed_rank,__replication__,success,success,True,False,False,False,False,False,"[1, 1, 1]",,,,,5,dgp2_N50_T50_r00002_truth1-1-1,c8d9cb4859a2e953e0e08069037db95244bf37758781aee4c0405f7579da2da9,1.764618800007156,,
replication,50d69a44a71d9f94,3,50,50,0,fixed_rank,__replication__,success,success,True,False,False,False,False,False,"[1, 1, 1]",,,,,5,dgp3_N50_T50_r00000_truth1-1-1,9b9bd5ee82323c1820b19527b5f470af2f315cb7a9efe00df7c588bbb69679f8,2.4882424999959767,,
replication,50d69a44a71d9f94,3,50,50,1,fixed_rank,__replication__,success,success,True,False,False,False,False,False,"[1, 1, 1]",,,,,5,dgp3_N50_T50_r00001_truth1-1-1,2fcb68a840fa1c007a95ee5aa16fe0d9539a9ccf7c8afc2ca5825c9852b103a9,2.3071338000008836,,
replication,50d69a44a71d9f94,3,50,50,2,fixed_rank,__replication__,success,success,True,False,False,False,False,False,"[1, 1, 1]",,,,,5,dgp3_N50_T50_r00002_truth1-1-1,c3796e4752c52bdbc20f6a415b4a96271da625febaa1bf10a96047476dad7af6,2.1197331000003032,,
replication,50d69a44a71d9f94,4,50,50,0,fixed_rank,__replication__,success,success,True,False,False,False,False,False,"[1, 1, 1]",,,,,5,dgp4_N50_T50_r00000_truth1-1-1,a4978467e12dc6c91a607007bdc1f17ead54c181e8f4ac2a788b61d8646b30d3,1.8355725000001257,,
replication,50d69a44a71d9f94,4,50,50,1,fixed_rank,__replication__,coefficient_bound_hit,coefficient_bound_hit,True,False,False,False,False,False,"[1, 1, 1]",,,,,1,dgp4_N50_T50_r00001_truth1-1-1,dbddbe54d3af05aa854c2890abb0434eb91c82a71a88827be59b9a41e8a6ba6e,0.07981650000147056,,1.604364453702897
replication,50d69a44a71d9f94,4,50,50,2,fixed_rank,__replication__,success,success,True,False,False,False,False,False,"[1, 1, 1]",,,,,5,dgp4_N50_T50_r00002_truth1-1-1,1fcfd03d889ed194fdf5a4aa5261663594fe9f837bf8fccdae45d42d962ed3b8,1.8063326999981655,,
