semantic_replication_id,pilot_failure_3e-6,pilot_failure_4e-6,nuclear_path_identical,cap_pilot_routes_objectives_validity_identical,thresholded_cap_pilot_rank_identical,initial_pre_ic_candidate_set_identical,final_post_completion_candidate_set_identical,candidate_qhat_identical,candidate_dimensions_identical,all_pre_ic_artifacts_identical
dgp1_N50_T50_r00000_truth1-1-1,False,False,True,True,True,True,True,True,True,True
dgp1_N50_T50_r00001_truth1-1-1,False,False,True,True,True,True,True,True,True,True
dgp1_N50_T50_r00002_truth1-1-1,True,True,True,True,True,True,True,True,True,True
dgp2_N50_T50_r00000_truth1-1-1,False,False,True,True,True,True,True,True,True,True
dgp2_N50_T50_r00001_truth1-1-1,False,False,True,True,True,True,True,True,True,True
dgp2_N50_T50_r00002_truth1-1-1,False,False,True,True,True,True,False,True,True,True
dgp3_N50_T50_r00000_truth1-1-1,True,True,True,True,True,True,True,True,True,True
dgp3_N50_T50_r00001_truth1-1-1,False,False,True,True,True,True,True,True,True,True
dgp3_N50_T50_r00002_truth1-1-1,True,True,True,True,True,True,True,True,True,True
dgp4_N50_T50_r00000_truth1-1-1,False,False,True,True,True,True,True,True,True,True
dgp4_N50_T50_r00001_truth1-1-1,False,False,True,True,True,True,True,True,True,True
dgp4_N50_T50_r00002_truth1-1-1,False,False,True,True,True,True,True,True,True,True
