dgp,N,T,method,target,attempted_replications,completed_dgp_replications,point_estimate_valid,inference_valid,retained_for_bias_rmse,retained_for_coverage,retained_for_rejection,R_attempted,R_point,R_inference,success_count,point_retained_share,inference_retained_share,mean_truth,mean_estimate,bias,rmse,mc_sd,mean_se,coverage,rejection_probability,mean_interval_length,runtime_median,runtime_mean,runtime_p10,runtime_p90,runtime_p95,replication_ids_json,failure_success,failure_calibration_failure,failure_full_fit_failure,failure_rank_pilot_failure,failure_rank_selection_failure,failure_rank_at_cap,failure_candidate_numerically_unresolved,failure_coefficient_bound_hit,failure_target_unsupported_selected_rank,failure_split_fit_failure,failure_split_rank_loss,failure_split_target_support_loss,failure_tangent_gram_eigensolver_failure,failure_tangent_gram_nearly_singular,failure_riesz_solver_failure,failure_riesz_target_instability,failure_nonfinite_estimate,failure_nonfinite_standard_error,failure_invalid_variance,failure_software_exception,target_support_failure_rate,total_inference_failure_rate,numerical_failure_rate
1,50,50,fixed_rank,A_G1_fixed_time,3,3,3,3,3,3,3,3,3,3,3,1.0,1.0,0.5827788160644137,0.5893137133876617,0.006534897323247968,0.11572723967781906,0.04771929525069885,0.0978851583675228,1.0,1.0,0.38370277004268843,0.6901341000047978,0.6956490000011399,0.6660481000028085,0.7274558599980082,0.7321210799971596,"[""50d69a44a71d9f94:0"", ""50d69a44a71d9f94:1"", ""50d69a44a71d9f94:2""]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
1,50,50,fixed_rank,A_G1_time_average,3,3,3,3,3,3,3,3,3,3,2,1.0,1.0,0.5148488161471015,0.48857483232033294,-0.026273983826768637,0.027649157510399994,0.015044430276548709,0.029859708847431624,0.6666666666666666,0.6666666666666666,0.11704790785963597,0.8754622999986168,0.8725955333308472,0.8315553400025237,0.9124890199920628,0.9171173599912436,"[""50d69a44a71d9f94:0"", ""50d69a44a71d9f94:1"", ""50d69a44a71d9f94:2""]",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
1,50,50,fixed_rank,A_G2_fixed_time,3,3,3,3,3,3,3,3,3,3,3,1.0,1.0,0.5729752554420627,0.5826947246622622,0.009719469220199542,0.12858752050826616,0.051218749208246345,0.0971615011491545,1.0,1.0,0.3808660858723798,0.7342612000065856,0.7390682666688614,0.7090289600077085,0.7710303999949246,0.775626549993467,"[""50d69a44a71d9f94:0"", ""50d69a44a71d9f94:1"", ""50d69a44a71d9f94:2""]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
1,50,50,fixed_rank,A_G2_minus_G1_fixed_time,3,3,3,3,3,3,3,3,3,3,3,1.0,1.0,-0.009803560622350941,-0.006618988725399433,0.0031845718969515085,0.013211589757608859,0.027641088030964243,0.030138728685649735,1.0,0.0,0.11814164552739537,0.7813206999999238,0.7833124666649383,0.7492338200070663,0.8181878199888161,0.8227962099874275,"[""50d69a44a71d9f94:0"", ""50d69a44a71d9f94:1"", ""50d69a44a71d9f94:2""]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
1,50,50,fixed_rank,A_G2_minus_G1_time_average,3,3,3,3,3,3,3,3,3,3,2,1.0,1.0,-0.008259246423378861,0.0105729111674289,0.01883215759080776,0.03326801484667198,0.04619937795841252,0.037229639320797654,0.6666666666666666,0.0,0.14593750445235928,1.0665451000095345,1.0557576999999583,0.9967146200011484,1.1104858199949377,1.115978409993113,"[""50d69a44a71d9f94:0"", ""50d69a44a71d9f94:1"", ""50d69a44a71d9f94:2""]",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
1,50,50,fixed_rank,A_G2_time_average,3,3,3,3,3,3,3,3,3,3,2,1.0,1.0,0.5065895697237227,0.49914774348776164,-0.007441826235961069,0.022971117061847776,0.04329301811460856,0.02953061310421909,0.6666666666666666,0.6666666666666666,0.11575787625131195,0.965663000009954,0.9626994000039607,0.9123692400055006,1.0118441200000234,1.017616759998782,"[""50d69a44a71d9f94:0"", ""50d69a44a71d9f94:1"", ""50d69a44a71d9f94:2""]",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
1,50,50,fixed_rank,A_entry,3,3,3,3,3,3,3,3,3,3,3,1.0,1.0,0.5614087256286554,0.6246268965624301,0.06321817093377481,0.19078943924688213,0.19999701904493986,0.14352731669330585,1.0,1.0,0.5626167430331078,0.2901467000046978,0.303649533331433,0.28932197999965864,0.32337821999390143,0.3275321599925519,"[""50d69a44a71d9f94:0"", ""50d69a44a71d9f94:1"", ""50d69a44a71d9f94:2""]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
1,50,50,fixed_rank,A_fixed_time_mean,3,3,3,3,3,3,3,3,3,3,3,1.0,1.0,0.5778770357532382,0.586004219024962,0.008127183271723829,0.12214800731479303,0.047531445043848854,0.09634784021692615,1.0,1.0,0.37767659362679007,0.405621500001871,0.41540503333089873,0.3996583799977088,0.4350650999956997,0.4387455499949283,"[""50d69a44a71d9f94:0"", ""50d69a44a71d9f94:1"", ""50d69a44a71d9f94:2""]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
1,50,50,fixed_rank,A_full_mean,3,3,3,3,3,3,3,3,3,3,2,1.0,1.0,0.5107191929354121,0.49386128790404743,-0.016857905031364678,0.019219361646329678,0.0227313554143348,0.023143188599029987,0.6666666666666666,0.6666666666666666,0.09071963228303354,0.5465647000091849,0.5563984000036726,0.5329435800056672,0.5837866999994731,0.588439449998259,"[""50d69a44a71d9f94:0"", ""50d69a44a71d9f94:1"", ""50d69a44a71d9f94:2""]",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
1,50,50,fixed_rank,B_G1_fixed_time,3,3,3,3,3,3,3,3,3,3,3,1.0,1.0,0.9012571858287727,0.7471139693770619,-0.154143216451711,0.46161955626499485,0.5940330443538491,0.26733080539873355,0.6666666666666666,0.6666666666666666,1.0479175010792072,1.116978800011566,1.1039525333374816,1.0391654400096741,1.1635291199956554,1.1693479099936668,"[""50d69a44a71d9f94:0"", ""50d69a44a71d9f94:1"", ""50d69a44a71d9f94:2""]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
1,50,50,fixed_rank,B_G1_time_average,3,3,3,3,3,3,3,3,3,3,2,1.0,1.0,0.7246890696633148,0.8029257723724857,0.07823670270917094,0.08651417303180607,0.07485690641453782,0.07782178628761761,0.6666666666666666,0.6666666666666666,0.3050557966726071,1.31985590000113,1.2975334999985837,1.2201097400014986,1.3660282999946503,1.3717998499938404,"[""50d69a44a71d9f94:0"", ""50d69a44a71d9f94:1"", ""50d69a44a71d9f94:2""]",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
1,50,50,fixed_rank,B_G2_fixed_time,3,3,3,3,3,3,3,3,3,3,3,1.0,1.0,0.804950995569143,0.6993865641161578,-0.10556443145298505,0.40212458273673635,0.6975543497833804,0.21652799680726387,0.6666666666666666,0.6666666666666666,0.8487741507736818,1.1643028000107734,1.149936066668791,1.082607680009096,1.2115177599916933,1.2174196299893083,"[""50d69a44a71d9f94:0"", ""50d69a44a71d9f94:1"", ""50d69a44a71d9f94:2""]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
