dgp,N,target_group,attempted_replications,valid_full_panel_fits,constrained_fallback_rate,boundary_active_rate,constrained_solver_failure_rate,four_required_split_completion_rate,time_split_validity_rate,unit_split_validity_rate,target_support_rate,tangent_Gram_failure_rate,Riesz_failure_rate,invalid_variance_rate,point_retained_share,inference_retained_share,median_runtime_seconds
1,50,broad,3,3,0.3333333333333333,0.3333333333333333,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.590402300003916
1,50,local_plugin,3,3,0.3333333333333333,0.3333333333333333,0.0,,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.590402300003916
1,100,broad,3,3,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,5.986007800005609
1,100,local_plugin,3,3,0.0,0.0,0.0,,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,5.986007800005609
2,50,broad,3,3,0.3333333333333333,0.3333333333333333,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.963190799986478
2,50,local_plugin,3,3,0.3333333333333333,0.3333333333333333,0.0,,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.963190799986478
2,100,broad,3,3,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,5.495001600007527
2,100,local_plugin,3,3,0.0,0.0,0.0,,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,5.495001600007527
3,50,broad,3,3,0.6666666666666666,0.6666666666666666,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,8.931193199998233
3,50,local_plugin,3,3,0.6666666666666666,0.6666666666666666,0.0,,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,8.931193199998233
3,100,broad,3,3,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,4.481382500001928
3,100,local_plugin,3,3,0.0,0.0,0.0,,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,4.481382500001928
4,50,broad,3,3,0.6666666666666666,0.6666666666666666,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,3.7692643999762367
4,50,local_plugin,3,3,0.6666666666666666,0.6666666666666666,0.0,,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,3.7692643999762367
4,100,broad,3,3,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,5.814125200005947
4,100,local_plugin,3,3,0.0,0.0,0.0,,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,5.814125200005947
