dgp,N,method,target_group,theorem_covered_attempts,target_support_rate,tangent_Gram_failure_rate,Riesz_failure_rate_conditional_on_support,invalid_variance_rate,nonfinite_SE_rate,minimum_Gram_eigenvalue,median_Gram_eigenvalue,p90_condition_number,maximum_condition_number,median_riesz_target_rayleigh_quotient
1,50,fixed_rank,broad,24,1.0,0.0,0.0,0.0,0.0,0.14059447673260092,0.20754932110411947,328.41749352944515,328.41749352944515,0.7732590300338346
1,50,fixed_rank,local_plugin,21,1.0,0.0,0.0,0.0,0.0,0.14059447673260092,0.20754932110411947,328.41749352944515,328.41749352944515,1.4342094960164617
1,50,selected_rank,broad,24,1.0,0.0,0.0,0.0,0.0,0.14069226113078484,0.2039495085892062,328.32155590618,328.32155590618,0.7731814880895156
1,50,selected_rank,local_plugin,21,1.0,0.0,0.0,0.0,0.0,0.14069226113078484,0.2039495085892062,328.32155590618,328.32155590618,1.4349698725328288
1,100,fixed_rank,broad,24,1.0,0.0,0.0,0.0,0.0,0.1765397691227411,0.22689718967153272,223.21919132613283,223.21919132613283,0.889165777882658
1,100,fixed_rank,local_plugin,21,1.0,0.0,0.0,0.0,0.0,0.1765397691227411,0.22689718967153272,223.21919132613283,223.21919132613283,1.8315803509725912
1,100,selected_rank,broad,24,0.5,0.0,0.0,0.5,0.5,0.15326297984129825,0.212347228496244,260.61989211070284,260.61989211070284,2.929513839962774
1,100,selected_rank,local_plugin,21,0.5714285714285714,0.0,0.0,0.42857142857142855,0.42857142857142855,0.15326297984129825,0.212347228496244,260.61989211070284,260.61989211070284,3.6439048723458543
2,50,fixed_rank,broad,24,1.0,0.0,0.0,0.0,0.0,0.06811750405779542,0.07735401564487668,511.3851625896566,511.3851625896566,0.7061156073887516
2,50,fixed_rank,local_plugin,21,1.0,0.0,0.0,0.0,0.0,0.06811750405779542,0.07735401564487668,511.3851625896566,511.3851625896566,1.4752206172109106
2,50,selected_rank,broad,16,1.0,0.0,0.0,0.0,0.0,0.07590398807724866,0.14534416881923887,520.7136883874953,520.7136883874953,0.6837010013709015
2,50,selected_rank,local_plugin,14,1.0,0.0,0.0,0.0,0.0,0.07590398807724866,0.14534416881923887,520.7136883874953,520.7136883874953,1.594544138064125
2,100,fixed_rank,broad,24,1.0,0.0,0.0,0.0,0.0,0.23258081436186007,0.24168008199093693,193.0500038947885,193.0500038947885,0.9588625483459625
2,100,fixed_rank,local_plugin,21,1.0,0.0,0.0,0.0,0.0,0.23258081436186007,0.24168008199093693,193.0500038947885,193.0500038947885,2.2430124715377997
2,100,selected_rank,broad,24,0.6666666666666666,0.0,0.0,0.3333333333333333,0.3333333333333333,0.2567850618347348,0.2655852100532608,191.81227730034615,191.81227730034615,1.3197333041744956
2,100,selected_rank,local_plugin,21,0.7142857142857143,0.0,0.0,0.2857142857142857,0.2857142857142857,0.2567850618347348,0.2655852100532608,191.81227730034615,191.81227730034615,3.2607940953080488
3,50,fixed_rank,broad,24,1.0,0.0,0.0,0.0,0.0,0.15459349624114918,0.21789195473173972,388.39154493019697,388.39154493019697,0.6769363041050284
3,50,fixed_rank,local_plugin,21,1.0,0.0,0.0,0.0,0.0,0.15459349624114918,0.21789195473173972,388.39154493019697,388.39154493019697,0.5064793443138733
3,50,selected_rank,broad,16,1.0,0.0,0.0,0.0,0.0,0.21783309419908425,0.23666334649727672,253.45420313408667,253.45420313408667,0.79433744609941
3,50,selected_rank,local_plugin,14,1.0,0.0,0.0,0.0,0.0,0.21783309419908425,0.23666334649727672,253.45420313408667,253.45420313408667,0.4125569763706235
3,100,fixed_rank,broad,24,1.0,0.0,0.0,0.0,0.0,0.18378521250263094,0.20999740282088863,282.8910260044459,282.8910260044459,0.893432186408156
3,100,fixed_rank,local_plugin,21,1.0,0.0,0.0,0.0,0.0,0.18378521250263094,0.20999740282088863,282.8910260044459,282.8910260044459,1.0705012550256459
3,100,selected_rank,broad,24,0.5,0.0,0.0,0.5,0.5,0.26272285523141004,0.29744995755616055,195.12721000581905,195.12721000581905,4.075495887930918
3,100,selected_rank,local_plugin,21,0.5714285714285714,0.0,0.0,0.42857142857142855,0.42857142857142855,0.26272285523141004,0.29744995755616055,195.12721000581905,195.12721000581905,0.8129042387730427
4,50,fixed_rank,broad,24,1.0,0.0,0.0,0.0,0.0,0.15477918544252903,0.15543866438283274,425.6355917498826,425.6355917498826,0.7843974789117109
4,50,fixed_rank,local_plugin,27,1.0,0.0,0.0,0.0,0.0,0.15477918544252903,0.15543866438283274,425.6355917498826,425.6355917498826,1.9243849756995521
4,50,selected_rank,broad,16,1.0,0.0,0.0,0.0,0.0,0.15477748989440002,0.2036065238559892,209.84192767483503,209.84192767483503,0.8129979457449303
4,50,selected_rank,local_plugin,18,1.0,0.0,0.0,0.0,0.0,0.15477748989440002,0.2036065238559892,209.84192767483503,209.84192767483503,1.7017905189472642
4,100,fixed_rank,broad,24,1.0,0.0,0.0,0.0,0.0,0.1549735087705066,0.2434915351305143,215.4044364642642,215.4044364642642,0.9304249351721007
4,100,fixed_rank,local_plugin,27,1.0,0.0,0.0,0.0,0.0,0.1549735087705066,0.2434915351305143,215.4044364642642,215.4044364642642,1.422759344513916
4,100,selected_rank,broad,24,0.5,0.0,0.0,0.5,0.5,0.26913369963114,0.2748703114615727,191.54381282923077,191.54381282923077,3.865050126759491
4,100,selected_rank,local_plugin,27,0.5555555555555556,0.0,0.0,0.4444444444444444,0.4444444444444444,0.26913369963114,0.2748703114615727,191.54381282923077,191.54381282923077,9.093437257425522
