dgp,N,method,target,subset,attempted,point_retained_share,inference_retained_share
1,50,fixed_rank,A_G1_fixed_time,all_valid_constrained,3,1.0,1.0
1,50,fixed_rank,A_G1_fixed_time,interior_only,2,1.0,1.0
1,50,fixed_rank,A_G1_time_average,all_valid_constrained,3,1.0,1.0
1,50,fixed_rank,A_G1_time_average,interior_only,2,1.0,1.0
1,50,fixed_rank,A_G2_fixed_time,all_valid_constrained,3,1.0,1.0
1,50,fixed_rank,A_G2_fixed_time,interior_only,2,1.0,1.0
1,50,fixed_rank,A_G2_minus_G1_fixed_time,all_valid_constrained,3,1.0,1.0
1,50,fixed_rank,A_G2_minus_G1_fixed_time,interior_only,2,1.0,1.0
1,50,fixed_rank,A_G2_minus_G1_time_average,all_valid_constrained,3,1.0,1.0
1,50,fixed_rank,A_G2_minus_G1_time_average,interior_only,2,1.0,1.0
1,50,fixed_rank,A_G2_time_average,all_valid_constrained,3,1.0,1.0
1,50,fixed_rank,A_G2_time_average,interior_only,2,1.0,1.0
1,50,fixed_rank,A_entry,all_valid_constrained,3,1.0,1.0
1,50,fixed_rank,A_entry,interior_only,2,1.0,1.0
1,50,fixed_rank,A_fixed_time_mean,all_valid_constrained,3,1.0,1.0
1,50,fixed_rank,A_fixed_time_mean,interior_only,2,1.0,1.0
1,50,fixed_rank,A_full_mean,all_valid_constrained,3,1.0,1.0
1,50,fixed_rank,A_full_mean,interior_only,2,1.0,1.0
1,50,fixed_rank,B_G1_fixed_time,all_valid_constrained,3,1.0,1.0
1,50,fixed_rank,B_G1_fixed_time,interior_only,2,1.0,1.0
1,50,fixed_rank,B_G1_time_average,all_valid_constrained,3,1.0,1.0
1,50,fixed_rank,B_G1_time_average,interior_only,2,1.0,1.0
1,50,fixed_rank,B_G2_fixed_time,all_valid_constrained,3,1.0,1.0
1,50,fixed_rank,B_G2_fixed_time,interior_only,2,1.0,1.0
1,50,fixed_rank,B_G2_minus_G1_fixed_time,all_valid_constrained,3,1.0,1.0
1,50,fixed_rank,B_G2_minus_G1_fixed_time,interior_only,2,1.0,1.0
1,50,fixed_rank,B_G2_minus_G1_time_average,all_valid_constrained,3,1.0,1.0
1,50,fixed_rank,B_G2_minus_G1_time_average,interior_only,2,1.0,1.0
1,50,fixed_rank,B_G2_time_average,all_valid_constrained,3,1.0,1.0
1,50,fixed_rank,B_G2_time_average,interior_only,2,1.0,1.0
1,50,fixed_rank,B_entry,all_valid_constrained,3,1.0,1.0
1,50,fixed_rank,B_entry,interior_only,2,1.0,1.0
1,50,fixed_rank,B_fixed_time_mean,all_valid_constrained,3,1.0,1.0
1,50,fixed_rank,B_fixed_time_mean,interior_only,2,1.0,1.0
1,50,fixed_rank,B_full_mean,all_valid_constrained,3,1.0,1.0
1,50,fixed_rank,B_full_mean,interior_only,2,1.0,1.0
1,50,selected_rank,A_G1_fixed_time,all_valid_constrained,3,1.0,1.0
1,50,selected_rank,A_G1_fixed_time,interior_only,0,,
1,50,selected_rank,A_G1_time_average,all_valid_constrained,3,1.0,1.0
1,50,selected_rank,A_G1_time_average,interior_only,0,,
1,50,selected_rank,A_G2_fixed_time,all_valid_constrained,3,1.0,1.0
1,50,selected_rank,A_G2_fixed_time,interior_only,0,,
1,50,selected_rank,A_G2_minus_G1_fixed_time,all_valid_constrained,3,1.0,1.0
1,50,selected_rank,A_G2_minus_G1_fixed_time,interior_only,0,,
1,50,selected_rank,A_G2_minus_G1_time_average,all_valid_constrained,3,1.0,1.0
1,50,selected_rank,A_G2_minus_G1_time_average,interior_only,0,,
1,50,selected_rank,A_G2_time_average,all_valid_constrained,3,1.0,1.0
1,50,selected_rank,A_G2_time_average,interior_only,0,,
1,50,selected_rank,A_entry,all_valid_constrained,3,1.0,1.0
1,50,selected_rank,A_entry,interior_only,0,,
