method,dgp,N,T,true_rank_vector,c_h,c_xi,intended_r2,calibrated_r2,C_A,C_beta,C_H,C_Theta,B,c_B,calibration_cell.dgp,calibration_cell.N,calibration_cell.T,calibration_cell.true_rank_vector
fixed_rank,1,100,100,,0.6546536707079772,1.942703845041696,0.65,0.6499999999999995,0.85,2.031384387633061,6.608457315037656,6.608457315037656,10.0,1.0,1,100,100,
fixed_rank,1,50,50,,0.6546536707079772,1.8451414115382054,0.65,0.6499999999981995,0.85,2.031384387633061,6.276581111155855,6.276581111155855,10.0,1.0,1,50,50,
fixed_rank,2,100,100,,0.6546536707079772,1.8615802982054275,0.65,0.6500000000022743,0.85,2.031384387633061,6.33250094738017,6.33250094738017,10.0,1.0,2,100,100,
fixed_rank,2,50,50,,0.6546536707079772,1.7637507666211538,0.65,0.6499999999999599,0.85,2.031384387633061,5.999716161230263,5.999716161230263,10.0,1.0,2,50,50,
fixed_rank,3,100,100,,0.6546536707079772,2.177252381020268,0.65,0.6499999999999975,0.85,2.031384387633061,7.406316439203696,7.406316439203696,10.0,1.0,3,100,100,
fixed_rank,3,50,50,,0.6546536707079772,2.310923941089198,0.65,0.65,0.85,2.031384387633061,7.861024346023666,7.861024346023666,10.0,1.0,3,50,50,
fixed_rank,4,100,100,,0.6546536707079772,1.9307376336648547,0.65,0.6499999999999999,0.85,1.9596152422706632,6.567752090044973,6.567752090044973,10.0,1.0,4,100,100,
fixed_rank,4,50,50,,0.6546536707079772,1.9996196966822253,0.65,0.6499999999999999,0.85,1.9596152422706632,6.802066843878312,6.802066843878312,10.0,1.0,4,50,50,
selected_rank,1,100,100,,0.6546536707079772,1.942703845041696,0.65,0.6499999999999995,0.85,2.031384387633061,6.608457315037656,6.608457315037656,10.0,1.0,1,100,100,
selected_rank,1,50,50,,0.6546536707079772,1.8451414115382054,0.65,0.6499999999981995,0.85,2.031384387633061,6.276581111155855,6.276581111155855,10.0,1.0,1,50,50,
selected_rank,2,100,100,,0.6546536707079772,1.8615802982054275,0.65,0.6500000000022743,0.85,2.031384387633061,6.33250094738017,6.33250094738017,10.0,1.0,2,100,100,
selected_rank,2,50,50,,0.6546536707079772,1.7637507666211538,0.65,0.6499999999999599,0.85,2.031384387633061,5.999716161230263,5.999716161230263,10.0,1.0,2,50,50,
selected_rank,3,100,100,,0.6546536707079772,2.177252381020268,0.65,0.6499999999999975,0.85,2.031384387633061,7.406316439203696,7.406316439203696,10.0,1.0,3,100,100,
selected_rank,3,50,50,,0.6546536707079772,2.310923941089198,0.65,0.65,0.85,2.031384387633061,7.861024346023666,7.861024346023666,10.0,1.0,3,50,50,
selected_rank,4,100,100,,0.6546536707079772,1.9307376336648547,0.65,0.6499999999999999,0.85,1.9596152422706632,6.567752090044973,6.567752090044973,10.0,1.0,4,100,100,
selected_rank,4,50,50,,0.6546536707079772,1.9996196966822253,0.65,0.6499999999999999,0.85,1.9596152422706632,6.802066843878312,6.802066843878312,10.0,1.0,4,50,50,
