dgp,N,method,target,target_group,true_value_mean,mean_estimate,bias,rmse,mc_sd,mean_se,coverage,mean_interval_length,point_retained,inference_retained,attempted,extreme_finite_estimate_count
1,50,fixed_rank,A_G1_fixed_time,local_plugin,0.46792257560602496,0.3806622605613379,-0.08726031504468706,0.09248524777571812,0.13167677932619992,0.12198199143663391,1.0,0.4781606199565515,3,3,3,0
1,50,fixed_rank,A_G1_time_average,broad,0.5089416561924557,0.48275556383170853,-0.026186092360747166,0.030371408331702047,0.032090589338157706,0.028234659122671896,1.0,0.11067782999240439,3,3,3,0
1,50,fixed_rank,A_G2_fixed_time,local_plugin,0.4689662987720496,0.38625829652810656,-0.08270800224394304,0.0930870857476387,0.16374779071532042,0.11949246954023927,1.0,0.4684018734452368,3,3,3,0
1,50,fixed_rank,A_G2_minus_G1_fixed_time,local_plugin,0.0010437231660246175,0.005596035966768724,0.004552312800744107,0.01591423144610262,0.03385369407845943,0.02084664772384594,1.0,0.08171735747426387,3,3,3,0
1,50,fixed_rank,A_G2_minus_G1_time_average,broad,-0.00161062634946985,0.007660360103166122,0.009270986452635972,0.027265605741576292,0.04679662031310549,0.03460739564719292,1.0,0.13565849813445277,3,3,3,1
1,50,fixed_rank,A_G2_time_average,broad,0.507331029842986,0.4904159239348747,-0.0169151059081112,0.03134257160002972,0.026889580729091967,0.029203646609062092,1.0,0.11447619114199396,3,3,3,0
1,50,fixed_rank,A_entry,local_plugin,0.4901836137415067,0.3703033089058951,-0.11988030483561161,0.12151138093851227,0.13023979722967954,0.1387359637355363,1.0,0.5438349845642123,3,3,3,0
1,50,fixed_rank,A_fixed_time_mean,local_plugin,0.46844443718903733,0.3834602785447223,-0.08498415864431504,0.09244483546381636,0.14761279903262145,0.12032531980819977,1.0,0.471666586504671,3,3,3,0
1,50,fixed_rank,A_full_mean,broad,0.5081363430177208,0.48658574388329123,-0.021550599134429527,0.027686392057529444,0.01813689112681866,0.022921821834237067,0.6666666666666666,0.08985189051029696,3,3,3,0
1,50,fixed_rank,B_G1_fixed_time,local_plugin,0.6074369851273373,0.41563585297854405,-0.19180113214879324,0.24924670290351247,0.3210289260629488,0.1494509379062199,0.6666666666666666,0.5858369115038461,3,3,3,0
