dgp,N,selected_rank_vector,count,rate
1,50,"[1, 1, 1]",3,1.0
1,100,"[1, 0, 0]",1,0.3333333333333333
1,100,"[1, 0, 1]",2,0.6666666666666666
2,50,"[1, 1, 1]",2,0.6666666666666666
2,50,"[1, 1, 2]",1,0.3333333333333333
2,100,"[1, 0, 0]",1,0.3333333333333333
2,100,"[1, 0, 1]",1,0.3333333333333333
2,100,"[1, 1, 1]",1,0.3333333333333333
3,50,"[1, 1, 1]",2,0.6666666666666666
3,50,"[1, 1, 2]",1,0.3333333333333333
3,100,"[1, 0, 0]",1,0.3333333333333333
3,100,"[1, 0, 1]",2,0.6666666666666666
4,50,"[1, 1, 1]",2,0.6666666666666666
4,50,"[1, 1, 2]",1,0.3333333333333333
4,100,"[1, 0, 0]",1,0.3333333333333333
4,100,"[1, 0, 1]",2,0.6666666666666666
