dgp,N,method,split_dimension,attempted_split_fits,expected_split_fits,completion_rate,validity_rate,constrained_fallback_rate,boundary_active_rate,numerical_rank_loss_rate,median_stationarity_or_KKT_residual,median_runtime_seconds
1,50,fixed_rank,time,6,6,1.0,1.0,0.16666666666666666,0.16666666666666666,0.0,4.376270670323755e-05,0.01530270000512246
1,50,fixed_rank,unit,6,6,1.0,1.0,0.0,0.0,0.0,4.598673738338104e-05,0.016252500005066395
1,50,selected_rank,time,6,6,1.0,1.0,0.16666666666666666,0.16666666666666666,0.0,4.3706712040575696e-05,0.04645384998002555
1,50,selected_rank,unit,6,6,1.0,1.0,0.0,0.0,0.0,4.635740892155023e-05,0.04832145001273602
1,100,fixed_rank,time,6,6,1.0,1.0,0.0,0.0,0.0,1.134299198389536e-05,0.017824949987698346
1,100,fixed_rank,unit,6,6,1.0,1.0,0.0,0.0,0.0,1.157775084424142e-05,0.018902750001871027
1,100,selected_rank,time,6,6,1.0,1.0,0.0,0.0,0.0,1.1524375000395476e-05,0.03726969999843277
1,100,selected_rank,unit,6,6,1.0,1.0,0.0,0.0,0.0,1.5986849173048877e-05,0.04086964999441989
2,50,fixed_rank,time,6,6,1.0,1.0,0.16666666666666666,0.16666666666666666,0.0,4.2554550830142904e-05,0.022173650009790435
2,50,fixed_rank,unit,6,6,1.0,1.0,0.16666666666666666,0.16666666666666666,0.0,4.3669593120707853e-05,0.019150799998897128
2,50,selected_rank,time,4,6,0.6666666666666666,1.0,0.0,0.0,0.0,4.1428017861589016e-05,0.060978449997492135
2,50,selected_rank,unit,4,6,0.6666666666666666,1.0,0.0,0.0,0.0,3.745087952181774e-05,0.0533842500008177
2,100,fixed_rank,time,6,6,1.0,1.0,0.0,0.0,0.0,1.147250097835874e-05,0.014968400006182492
2,100,fixed_rank,unit,6,6,1.0,1.0,0.0,0.0,0.0,1.2669098105981015e-05,0.017670149987679906
2,100,selected_rank,time,6,6,1.0,1.0,0.0,0.0,0.0,9.797127091591772e-06,0.04083635000279173
2,100,selected_rank,unit,6,6,1.0,1.0,0.0,0.0,0.0,1.1380796916342201e-05,0.0402569999860134
3,50,fixed_rank,time,6,6,1.0,1.0,0.16666666666666666,0.16666666666666666,0.0,5.129652285393326e-05,0.025687350003863685
3,50,fixed_rank,unit,6,6,1.0,1.0,0.3333333333333333,0.3333333333333333,0.0,5.713348726398364e-05,0.03776715001731645
3,50,selected_rank,time,4,6,0.6666666666666666,1.0,0.0,0.0,0.0,4.668664379539069e-05,0.06985914999677334
3,50,selected_rank,unit,4,6,0.6666666666666666,1.0,0.25,0.25,0.0,5.741189743792581e-05,0.08789600001182407
3,100,fixed_rank,time,6,6,1.0,1.0,0.0,0.0,0.0,1.4698479064588145e-05,0.020939699999871664
3,100,fixed_rank,unit,6,6,1.0,1.0,0.0,0.0,0.0,1.3956351651442448e-05,0.026222600004984997
3,100,selected_rank,time,6,6,1.0,1.0,0.0,0.0,0.0,1.2890289749852492e-05,0.03689204998954665
3,100,selected_rank,unit,6,6,1.0,1.0,0.0,0.0,0.0,9.069271757089296e-06,0.03921849999460392
4,50,fixed_rank,time,6,6,1.0,1.0,0.16666666666666666,0.16666666666666666,0.0,5.201950944388064e-05,0.028331850000540726
4,50,fixed_rank,unit,6,6,1.0,1.0,0.5,0.5,0.0,6.385548640319844e-05,1.0309418499964522
4,50,selected_rank,time,4,6,0.6666666666666666,1.0,0.25,0.25,0.0,5.010977633087052e-05,0.12447500000416767
4,50,selected_rank,unit,4,6,0.6666666666666666,1.0,0.5,0.5,0.0,6.58014616001978e-05,2.4513047999935225
4,100,fixed_rank,time,6,6,1.0,1.0,0.0,0.0,0.0,1.465055595653632e-05,0.0226991499948781
4,100,fixed_rank,unit,6,6,1.0,1.0,0.0,0.0,0.0,1.3029823352008768e-05,0.03607819999160711
4,100,selected_rank,time,6,6,1.0,1.0,0.0,0.0,0.0,9.992369758837249e-06,0.036929950016201474
4,100,selected_rank,unit,6,6,1.0,1.0,0.0,0.0,0.0,1.0026528135112949e-05,0.04294114997901488
