dgp,N,method,target_group,target_attempts,point_retained,point_retained_share,inference_retained,inference_retained_share,interior_only_attempts,interior_only_point_retained_share,interior_only_inference_retained_share
1,50,fixed_rank,broad,24,24,1.0,24,1.0,16,1.0,1.0
1,50,fixed_rank,local_plugin,30,30,1.0,30,1.0,20,1.0,1.0
1,50,selected_rank,broad,24,24,1.0,24,1.0,0,,
1,50,selected_rank,local_plugin,30,30,1.0,30,1.0,0,,
1,100,fixed_rank,broad,24,24,1.0,24,1.0,24,1.0,1.0
1,100,fixed_rank,local_plugin,30,30,1.0,30,1.0,30,1.0,1.0
1,100,selected_rank,broad,24,24,1.0,12,0.5,0,,
1,100,selected_rank,local_plugin,30,30,1.0,15,0.5,0,,
2,50,fixed_rank,broad,24,24,1.0,24,1.0,16,1.0,1.0
2,50,fixed_rank,local_plugin,30,30,1.0,30,1.0,20,1.0,1.0
2,50,selected_rank,broad,16,16,1.0,16,1.0,0,,
2,50,selected_rank,local_plugin,38,20,0.5263157894736842,20,0.5263157894736842,0,,
2,100,fixed_rank,broad,24,24,1.0,24,1.0,24,1.0,1.0
2,100,fixed_rank,local_plugin,30,30,1.0,30,1.0,30,1.0,1.0
2,100,selected_rank,broad,24,24,1.0,16,0.6666666666666666,0,,
2,100,selected_rank,local_plugin,30,30,1.0,20,0.6666666666666666,0,,
3,50,fixed_rank,broad,24,24,1.0,24,1.0,8,1.0,1.0
3,50,fixed_rank,local_plugin,30,30,1.0,30,1.0,10,1.0,1.0
3,50,selected_rank,broad,16,16,1.0,16,1.0,0,,
3,50,selected_rank,local_plugin,38,20,0.5263157894736842,20,0.5263157894736842,0,,
3,100,fixed_rank,broad,24,24,1.0,24,1.0,24,1.0,1.0
3,100,fixed_rank,local_plugin,30,30,1.0,30,1.0,30,1.0,1.0
3,100,selected_rank,broad,24,24,1.0,12,0.5,0,,
3,100,selected_rank,local_plugin,30,30,1.0,15,0.5,0,,
4,50,fixed_rank,broad,24,24,1.0,24,1.0,8,1.0,1.0
4,50,fixed_rank,local_plugin,30,30,1.0,30,1.0,10,1.0,1.0
4,50,selected_rank,broad,16,16,1.0,16,1.0,0,,
4,50,selected_rank,local_plugin,38,20,0.5263157894736842,20,0.5263157894736842,0,,
4,100,fixed_rank,broad,24,24,1.0,24,1.0,24,1.0,1.0
4,100,fixed_rank,local_plugin,30,30,1.0,30,1.0,30,1.0,1.0
4,100,selected_rank,broad,24,24,1.0,12,0.5,0,,
4,100,selected_rank,local_plugin,30,30,1.0,15,0.5,0,,
