semantic_replication_id,dgp,replication,primary_status,cap_pilot_rank,pilot_multistart_disagreement,cap_pilot_basin_confirmation_attempted,cap_pilot_basin_confirmation_success,candidate_coverage,selected_rank_vector,exact_rank_recovery,rank_at_cap,rank_runtime_seconds
dgp1_N50_T50_r00003_truth1-1-1,1,3,success,"[2, 1, 1]",False,False,False,True,"[1, 1, 1]",True,False,91.78521890001139
dgp1_N50_T50_r00004_truth1-1-1,1,4,success,"[1, 1, 1]",False,False,False,True,"[1, 1, 1]",True,False,93.39416759999585
dgp1_N50_T50_r00005_truth1-1-1,1,5,success,"[2, 1, 2]",False,False,False,True,"[1, 1, 1]",True,False,99.9822523999901
dgp2_N50_T50_r00003_truth1-1-1,2,3,success,"[1, 2, 1]",True,True,False,True,"[1, 1, 1]",True,False,95.81718660000479
dgp2_N50_T50_r00004_truth1-1-1,2,4,success,"[2, 1, 2]",False,False,False,True,"[1, 1, 1]",True,False,101.35306379999383
dgp2_N50_T50_r00005_truth1-1-1,2,5,success,"[2, 1, 1]",False,False,False,True,"[1, 1, 1]",True,False,91.24689239999861
dgp3_N50_T50_r00003_truth1-1-1,3,3,success,"[1, 1, 1]",False,False,False,True,"[1, 1, 1]",True,False,94.68262289999984
dgp3_N50_T50_r00004_truth1-1-1,3,4,rank_at_cap,"[2, 1, 2]",False,False,False,True,"[1, 1, 2]",False,True,89.00843720001285
dgp3_N50_T50_r00005_truth1-1-1,3,5,success,"[1, 2, 1]",False,False,False,True,"[1, 1, 1]",True,False,92.81593439998687
dgp4_N50_T50_r00003_truth1-1-1,4,3,success,"[1, 1, 2]",False,False,False,True,"[1, 1, 1]",True,False,97.5209188000008
dgp4_N50_T50_r00004_truth1-1-1,4,4,rank_at_cap,"[1, 2, 2]",False,True,True,True,"[1, 1, 2]",False,True,92.2324290999968
dgp4_N50_T50_r00005_truth1-1-1,4,5,rank_at_cap,"[2, 2, 2]",False,False,False,True,"[1, 1, 2]",False,True,89.99395289999666
