record_type,run_id,dgp,N,T,replication,method,target,primary_status,status,completed_dgp_replication,point_estimate_valid,inference_valid,retained_for_bias_rmse,retained_for_coverage,retained_for_rejection,supplied_rank_vector,selected_rank_vector,cap_pilot_rank,candidate_coverage,rank_selection_diagnostics,expected_fit_count,semantic_replication_id,dgp_realization_hash,replication_runtime_seconds,exception_type,exception_message
replication,b867e9855af0a3ac,1,50,50,3,fixed_rank,__replication__,success,success,True,False,False,False,False,False,"[1, 1, 1]",,,,,7,dgp1_N50_T50_r00003_truth1-1-1,67b3f9028ad66f677b71fe9f03e6982e2af1a6f7f48540b487ed98fb1958abcd,1.6109239000070374,,
replication,b867e9855af0a3ac,1,50,50,4,fixed_rank,__replication__,success,success,True,False,False,False,False,False,"[1, 1, 1]",,,,,7,dgp1_N50_T50_r00004_truth1-1-1,33dd02dca6cb6561052f2690ad45ef239ce14390894585434045c8d5364227d9,1.7629023999907076,,
replication,b867e9855af0a3ac,1,50,50,5,fixed_rank,__replication__,success,success,True,False,False,False,False,False,"[1, 1, 1]",,,,,7,dgp1_N50_T50_r00005_truth1-1-1,be9cc050acbe752601ada9c4338c9c0208ae9befc72ddcac866f4f1f5703c3a5,1.7272669000085443,,
replication,b867e9855af0a3ac,2,50,50,3,fixed_rank,__replication__,success,success,True,False,False,False,False,False,"[1, 1, 1]",,,,,7,dgp2_N50_T50_r00003_truth1-1-1,4798e093f0b798bdf4b500d5634878b5a46a8c1d7def3f8d1eedd27805947fbe,1.8649264999839943,,
replication,b867e9855af0a3ac,2,50,50,4,fixed_rank,__replication__,success,success,True,False,False,False,False,False,"[1, 1, 1]",,,,,7,dgp2_N50_T50_r00004_truth1-1-1,d5a8ffb771ffb430fb61637f84bcbe534f544c1cbf94ca967be81324d9842131,1.895178400009172,,
replication,b867e9855af0a3ac,2,50,50,5,fixed_rank,__replication__,success,success,True,False,False,False,False,False,"[1, 1, 1]",,,,,7,dgp2_N50_T50_r00005_truth1-1-1,074d506be7d0aae5cc43f2ff174fbac2d11a69bcdb1e114c4696b90866183689,1.7642563999979757,,
replication,b867e9855af0a3ac,3,50,50,3,fixed_rank,__replication__,success,success,True,False,False,False,False,False,"[1, 1, 1]",,,,,7,dgp3_N50_T50_r00003_truth1-1-1,971c4074dcc2cb1b4f8b7c513d64f7682d921def42fa236c709d0fb0cf18a2aa,2.1469885999977123,,
replication,b867e9855af0a3ac,3,50,50,4,fixed_rank,__replication__,success,success,True,False,False,False,False,False,"[1, 1, 1]",,,,,7,dgp3_N50_T50_r00004_truth1-1-1,69682b5dfae1696fb60826250945d3f68505024653d582076b4bc5c576ae2253,1.912419400003273,,
replication,b867e9855af0a3ac,3,50,50,5,fixed_rank,__replication__,success,success,True,False,False,False,False,False,"[1, 1, 1]",,,,,7,dgp3_N50_T50_r00005_truth1-1-1,12802173bc53e65c341c53140db3ab05ee23464fe1fdddcfead9a330cedf0012,2.636613500013482,,
replication,b867e9855af0a3ac,4,50,50,3,fixed_rank,__replication__,success,success,True,False,False,False,False,False,"[1, 1, 1]",,,,,7,dgp4_N50_T50_r00003_truth1-1-1,7e7c359168029c70c974fc18a2ba61cb7b7c0ddec4ad56d28d885a6e417117d3,1.9656743999803439,,
replication,b867e9855af0a3ac,4,50,50,4,fixed_rank,__replication__,coefficient_bound_hit,coefficient_bound_hit,True,False,False,False,False,False,"[1, 1, 1]",,,,,3,dgp4_N50_T50_r00004_truth1-1-1,ce68faf7c6077820d3f661aadf116598cdd9917fe3328f9e9d712ac79a715fa3,0.15579290001187474,,1.2698941760001334
replication,b867e9855af0a3ac,4,50,50,5,fixed_rank,__replication__,success,success,True,False,False,False,False,False,"[1, 1, 1]",,,,,7,dgp4_N50_T50_r00005_truth1-1-1,c7ef82abbde094d01705ad02a9a499ca5bd3ff3eb3265cce8c4b21ad1fbb5ca3,1.9369278000085615,,
