semantic_replication_id,dgp_realization_hash,dgp,N,T,replication,rank_vector,numerical_objective,Q_hat,log_Q_hat,d_r,kappa_NT,penalty_contribution,final_IC,ic_identity_error,valid,selected_rank,true_rank,sources,converged,stationarity_residual,max_envelope_ratio,objective_stability_pass,third_start_used
dgp1_N100_T100_r2026080901_truth1-1-1,a19576a6645414694a4ac3a884a1cf01beb43de08ec544a688b482501202009a,1,100,100,2026080901,"[0, 0, 0]",5.447958194892357,10.895916389784714,2.3883880758998073,0,2833483.8838854465,0.0,2.3883880758998073,0.0,True,True,False,"[""baseline_local_completion"", ""neighbor_of_(1, 0, 0)"", ""nuclear_path_0"", ""nuclear_path_1"", ""nuclear_path_2""]",True,0.0,0.0,True,False
dgp1_N100_T100_r2026080901_truth1-1-1,a19576a6645414694a4ac3a884a1cf01beb43de08ec544a688b482501202009a,1,100,100,2026080901,"[1, 0, 0]",2.4468591219735134,4.893718243947027,1.587952391631866,199,2833483.8838854465,56386.32928932038,56387.91724171201,0.0,True,False,False,"[""baseline_local_completion"", ""neighbor_of_(0, 0, 0)"", ""neighbor_of_(1, 0, 1)"", ""nuclear_path_3"", ""nuclear_path_4"", ""nuclear_path_5"", ""nuclear_path_6""]",True,8.741746333670729e-08,0.13193423589449443,True,False
dgp1_N100_T100_r2026080901_truth1-1-1,a19576a6645414694a4ac3a884a1cf01beb43de08ec544a688b482501202009a,1,100,100,2026080901,"[0, 0, 1]",3.000534509623481,6.001069019246962,1.7919376232321815,199,2833483.8838854465,56386.32928932038,56388.121226943615,0.0,True,False,False,"[""baseline_local_completion"", ""neighbor_of_(0, 0, 0)"", ""neighbor_of_(1, 0, 1)""]",True,8.74511593038459e-05,1.0000000000000004,True,False
dgp1_N100_T100_r2026080901_truth1-1-1,a19576a6645414694a4ac3a884a1cf01beb43de08ec544a688b482501202009a,1,100,100,2026080901,"[0, 1, 0]",4.66119185265707,9.32238370531414,2.232418358368642,199,2833483.8838854465,56386.32928932038,56388.56170767875,0.0,True,False,False,"[""baseline_local_completion"", ""neighbor_of_(0, 0, 0)""]",True,5.5007146921184356e-05,0.9999999999999997,True,False
dgp1_N100_T100_r2026080901_truth1-1-1,a19576a6645414694a4ac3a884a1cf01beb43de08ec544a688b482501202009a,1,100,100,2026080901,"[1, 0, 1]",1.9939304872708263,3.9878609745416527,1.3832549905445057,398,2833483.8838854465,112772.65857864077,112774.04183363132,0.0,True,False,False,"[""baseline_local_completion"", ""neighbor_of_(1, 0, 0)"", ""neighbor_of_(1, 1, 1)"", ""nuclear_path_7""]",True,3.458927204153912e-07,0.5656317700946826,True,False
dgp1_N100_T100_r2026080901_truth1-1-1,a19576a6645414694a4ac3a884a1cf01beb43de08ec544a688b482501202009a,1,100,100,2026080901,"[1, 1, 0]",2.175235475502023,4.350470951004046,1.4702841038390353,398,2833483.8838854465,112772.65857864077,112774.1288627446,0.0,True,False,False,"[""baseline_local_completion"", ""neighbor_of_(1, 0, 0)"", ""neighbor_of_(1, 1, 1)""]",True,2.2699022166872868e-07,0.32469269686234703,True,False
dgp1_N100_T100_r2026080901_truth1-1-1,a19576a6645414694a4ac3a884a1cf01beb43de08ec544a688b482501202009a,1,100,100,2026080901,"[0, 1, 1]",2.4382460906708685,4.876492181341737,1.584426146094645,398,2833483.8838854465,112772.65857864077,112774.24300478685,0.0,True,False,False,"[""baseline_local_completion"", ""neighbor_of_(1, 1, 1)""]",True,7.90868806258237e-05,1.0000000000000175,True,False
dgp1_N100_T100_r2026080901_truth1-1-1,a19576a6645414694a4ac3a884a1cf01beb43de08ec544a688b482501202009a,1,100,100,2026080901,"[1, 0, 2]",1.885971738639529,3.771943477279058,1.3275903798442659,595,2833483.8838854465,168592.29109118407,168593.6186815639,0.0,True,False,False,"[""baseline_local_completion"", ""neighbor_of_(1, 0, 1)""]",True,3.341804905569888e-07,0.6867328688415971,True,False
dgp1_N100_T100_r2026080901_truth1-1-1,a19576a6645414694a4ac3a884a1cf01beb43de08ec544a688b482501202009a,1,100,100,2026080901,"[1, 1, 1]",1.7208814945070836,3.441762989014167,1.235983836910115,597,2833483.8838854465,169158.98786796114,169160.22385179804,0.0,True,False,True,"[""baseline_local_completion"", ""neighbor_of_(1, 0, 1)"", ""nuclear_path_10"", ""nuclear_path_11"", ""nuclear_path_12"", ""nuclear_path_8"", ""nuclear_path_9""]",True,2.470840055950832e-07,0.6345746877728875,True,False
dgp1_N100_T100_r2026080901_truth1-1-1,a19576a6645414694a4ac3a884a1cf01beb43de08ec544a688b482501202009a,1,100,100,2026080901,"[1, 0, 3]",1.803442769670581,3.606885539341162,1.2828446684933559,790,2833483.8838854465,223845.22682695027,223846.50967161875,0.0,True,False,False,"[""baseline_local_completion"", ""neighbor_of_(1, 1, 3)""]",True,4.392055440747246e-07,0.6682151163936088,True,True
dgp1_N100_T100_r2026080901_truth1-1-1,a19576a6645414694a4ac3a884a1cf01beb43de08ec544a688b482501202009a,1,100,100,2026080901,"[0, 1, 3]",2.106816464957245,4.21363292991449,1.4383252043061365,790,2833483.8838854465,223845.22682695027,223846.66515215457,0.0,True,False,False,"[""baseline_local_completion"", ""neighbor_of_(1, 1, 3)""]",True,9.627134645110854e-05,1.0000000000000144,True,False
dgp1_N100_T100_r2026080901_truth1-1-1,a19576a6645414694a4ac3a884a1cf01beb43de08ec544a688b482501202009a,1,100,100,2026080901,"[1, 1, 2]",1.6451281967100222,3.2902563934200444,1.1909654928715203,794,2833483.8838854465,224978.62038050446,224979.81134599732,0.0,True,False,False,"[""baseline_local_completion"", ""neighbor_of_(1, 1, 1)"", ""neighbor_of_(1, 1, 3)""]",True,9.488215217378582e-05,1.0,True,False
dgp1_N100_T100_r2026080901_truth1-1-1,a19576a6645414694a4ac3a884a1cf01beb43de08ec544a688b482501202009a,1,100,100,2026080901,"[0, 2, 3]",1.9995689674220412,3.9991379348440823,1.3860788216039386,987,2833483.8838854465,279664.85933949356,279666.2454183152,0.0,True,False,False,"[""baseline_local_completion"", ""neighbor_of_(1, 2, 3)""]",True,8.276656661971239e-05,1.0000000000000573,True,True
dgp1_N100_T100_r2026080901_truth1-1-1,a19576a6645414694a4ac3a884a1cf01beb43de08ec544a688b482501202009a,1,100,100,2026080901,"[1, 1, 3]",1.5694296198225597,3.1388592396451194,1.1438594344348427,989,2833483.8838854465,280231.55611627066,280232.69997570507,0.0,True,False,False,"[""baseline_local_completion"", ""neighbor_of_(1, 2, 3)"", ""nuclear_path_13"", ""nuclear_path_14"", ""nuclear_path_15""]",True,9.971838281561605e-05,1.0,True,False
dgp1_N100_T100_r2026080901_truth1-1-1,a19576a6645414694a4ac3a884a1cf01beb43de08ec544a688b482501202009a,1,100,100,2026080901,"[1, 3, 2]",1.4974583778933324,2.9949167557866647,1.0969164367860378,1186,2833483.8838854465,336051.18862881395,336052.28554525075,0.0,True,False,False,"[""baseline_local_completion"", ""neighbor_of_(1, 3, 3)""]",True,9.095658784834258e-05,0.9999999999999998,True,True
dgp1_N100_T100_r2026080901_truth1-1-1,a19576a6645414694a4ac3a884a1cf01beb43de08ec544a688b482501202009a,1,100,100,2026080901,"[1, 3, 3]",1.4221528236426189,2.8443056472852377,1.0453189770824562,1381,2833483.8838854465,391304.12436458014,391305.16968355724,0.0,True,False,False,"[""baseline_local_completion"", ""neighbor_of_(1, 2, 3)"", ""nuclear_path_17"", ""nuclear_path_18"", ""nuclear_path_19"", ""nuclear_path_20"", ""nuclear_path_21"", ""rank_cap_pilot""]",True,6.148326978255413e-05,1.0000000000000002,True,True
dgp1_N100_T100_r2026080901_truth1-1-1,a19576a6645414694a4ac3a884a1cf01beb43de08ec544a688b482501202009a,1,100,100,2026080901,"[0, 3, 3]",1.9046536086152726,3.809307217230545,1.3374473398571427,1182,2833483.8838854465,334917.79507525975,inf,,False,False,False,"[""baseline_local_completion"", ""neighbor_of_(1, 3, 3)""]",True,7.681890030417714e-05,1.0000000000000258,False,True
dgp1_N100_T100_r2026080901_truth1-1-1,a19576a6645414694a4ac3a884a1cf01beb43de08ec544a688b482501202009a,1,100,100,2026080901,"[1, 2, 1]",1.6440653238243441,3.2881306476486882,1.1903192110908725,794,2833483.8838854465,224978.62038050446,inf,,False,False,False,"[""baseline_local_completion"", ""neighbor_of_(1, 1, 1)""]",True,3.796241406876644e-07,0.6176683078505242,False,True
dgp1_N100_T100_r2026080901_truth1-1-1,a19576a6645414694a4ac3a884a1cf01beb43de08ec544a688b482501202009a,1,100,100,2026080901,"[1, 2, 2]",1.567398671165371,3.134797342330742,1.142564528400737,991,2833483.8838854465,280798.25289304776,inf,,False,False,False,"[""baseline_local_completion"", ""neighbor_of_(1, 2, 3)""]",True,7.003595524672588e-05,0.8064284919210495,False,True
