N,target,true_value_mean
50,A_G1_fixed_time,0.42876959910958606
50,A_G1_time_average,0.42163565261161584
50,A_G2_fixed_time,0.5254262118760815
50,A_G2_minus_G1_fixed_time,0.09665661276649545
50,A_G2_minus_G1_time_average,0.09502935007956999
50,A_G2_time_average,0.5166650026911858
50,B_G1_fixed_time,0.4591380536045501
50,B_G2_fixed_time,0.7411602964824796
50,B_G2_minus_G1_fixed_time,0.28202224287792954
100,A_G1_fixed_time,0.43448108948541725
100,A_G1_time_average,0.44947415599072765
100,A_G2_fixed_time,0.5360308222055222
100,A_G2_minus_G1_fixed_time,0.10154973272010498
100,A_G2_minus_G1_time_average,0.10403972816524325
100,A_G2_time_average,0.553513884155971
100,B_G1_fixed_time,0.399072109206894
100,B_G2_fixed_time,0.5975347552808917
100,B_G2_minus_G1_fixed_time,0.1984626460739977
