semantic_replication_id,dgp,N,T,replication,fixed_rank,selected_rank,hashes_match
dgp1_N50_T50_r2026080901_truth1-1-1,1,50,50,2026080901,6e94958e6e076a7758783143f9c8d74bd9c57354d27442ceb5ce5b5fa280c4d2,6e94958e6e076a7758783143f9c8d74bd9c57354d27442ceb5ce5b5fa280c4d2,True
dgp1_N50_T50_r2026080902_truth1-1-1,1,50,50,2026080902,b5dc5ca235215eca475f62b571131784a0d83a1408376c0579ec9add2343c256,b5dc5ca235215eca475f62b571131784a0d83a1408376c0579ec9add2343c256,True
dgp1_N50_T50_r2026080903_truth1-1-1,1,50,50,2026080903,50abda1c80049d538df3a015d1baa6648833f4cc383f0ab443c68eb5f4fcc822,50abda1c80049d538df3a015d1baa6648833f4cc383f0ab443c68eb5f4fcc822,True
dgp1_N100_T100_r2026080901_truth1-1-1,1,100,100,2026080901,a19576a6645414694a4ac3a884a1cf01beb43de08ec544a688b482501202009a,a19576a6645414694a4ac3a884a1cf01beb43de08ec544a688b482501202009a,True
dgp1_N100_T100_r2026080902_truth1-1-1,1,100,100,2026080902,65254bae1963e6754d5f71d411da54e31423c78072ef3e1edb7d04948ba8934a,65254bae1963e6754d5f71d411da54e31423c78072ef3e1edb7d04948ba8934a,True
dgp1_N100_T100_r2026080903_truth1-1-1,1,100,100,2026080903,a0da67ca313a3846bbc203daddc1c66f2abd37f3c6c3018179e0eb9ff240e26e,a0da67ca313a3846bbc203daddc1c66f2abd37f3c6c3018179e0eb9ff240e26e,True
dgp2_N50_T50_r2026080901_truth1-1-1,2,50,50,2026080901,244e54fe799756ca474dab7ee5c3d5587ef67c6a73ac6b4a4bbf1ad2639de3d1,244e54fe799756ca474dab7ee5c3d5587ef67c6a73ac6b4a4bbf1ad2639de3d1,True
dgp2_N50_T50_r2026080902_truth1-1-1,2,50,50,2026080902,1760e0465df259db4ac92b00b7897e691f1e22bf226ba1dffe06061fb9b250b3,1760e0465df259db4ac92b00b7897e691f1e22bf226ba1dffe06061fb9b250b3,True
dgp2_N50_T50_r2026080903_truth1-1-1,2,50,50,2026080903,8cc4270ea67da240bbc58198806195a39eb8c241af7c6706bc60f5e78d5cd05b,8cc4270ea67da240bbc58198806195a39eb8c241af7c6706bc60f5e78d5cd05b,True
dgp2_N100_T100_r2026080901_truth1-1-1,2,100,100,2026080901,89b436ff088e3db170c71557a6747ec0b46816dddf63465885f49ccb83212b2c,89b436ff088e3db170c71557a6747ec0b46816dddf63465885f49ccb83212b2c,True
dgp2_N100_T100_r2026080902_truth1-1-1,2,100,100,2026080902,ca44543ebacdd9afb9acc517f205e8cb8058b6cb3882ce8df82962eab9b0f076,ca44543ebacdd9afb9acc517f205e8cb8058b6cb3882ce8df82962eab9b0f076,True
dgp2_N100_T100_r2026080903_truth1-1-1,2,100,100,2026080903,d5082ca34e305dd1ab505018ff4dd26c78850bb6eb8c0c662881e45b0907d214,d5082ca34e305dd1ab505018ff4dd26c78850bb6eb8c0c662881e45b0907d214,True
dgp3_N50_T50_r2026080901_truth1-1-1,3,50,50,2026080901,b4816eeb0ec04445ef30367efa35b3b8ec7d042786c940a13130e81a1d4b4d31,b4816eeb0ec04445ef30367efa35b3b8ec7d042786c940a13130e81a1d4b4d31,True
dgp3_N50_T50_r2026080902_truth1-1-1,3,50,50,2026080902,c96fb066423fa1b174db6597b2257f58aabda7b7b561a96da1fd0d38f84d545f,c96fb066423fa1b174db6597b2257f58aabda7b7b561a96da1fd0d38f84d545f,True
dgp3_N50_T50_r2026080903_truth1-1-1,3,50,50,2026080903,6fb83e7a9b613aff311a8dff6a9d158909e60b218ab5f9041bc71bb7d21e1b75,6fb83e7a9b613aff311a8dff6a9d158909e60b218ab5f9041bc71bb7d21e1b75,True
dgp3_N100_T100_r2026080901_truth1-1-1,3,100,100,2026080901,1649e0eb9c5a4b6d932458ccf06df74af76c3b2bbd375b7dc84e4acfbdc34d32,1649e0eb9c5a4b6d932458ccf06df74af76c3b2bbd375b7dc84e4acfbdc34d32,True
dgp3_N100_T100_r2026080902_truth1-1-1,3,100,100,2026080902,a80b1dc158bf7197b27eea4267dee23fd3e9dd9f1c81f7d18fe761c2c0a6af8a,a80b1dc158bf7197b27eea4267dee23fd3e9dd9f1c81f7d18fe761c2c0a6af8a,True
dgp3_N100_T100_r2026080903_truth1-1-1,3,100,100,2026080903,349099d40410e89a3261b6c0becee8b07d39daa1575ac9899857096efe244fa7,349099d40410e89a3261b6c0becee8b07d39daa1575ac9899857096efe244fa7,True
dgp4_N50_T50_r2026080901_truth1-1-1,4,50,50,2026080901,a1b997dcb183691ba1ba367a6e2155d66291753ed9f53dbabe9d6f1e37fcdd9f,a1b997dcb183691ba1ba367a6e2155d66291753ed9f53dbabe9d6f1e37fcdd9f,True
dgp4_N50_T50_r2026080902_truth1-1-1,4,50,50,2026080902,97221dafce836db780cd6756ae626ad4e1025ef9027c4a01891ef3fc9140595d,97221dafce836db780cd6756ae626ad4e1025ef9027c4a01891ef3fc9140595d,True
dgp4_N50_T50_r2026080903_truth1-1-1,4,50,50,2026080903,54c453d5a4ed9bc913448e95a773f362e3ff642638ebecba48b1b332465befb1,54c453d5a4ed9bc913448e95a773f362e3ff642638ebecba48b1b332465befb1,True
dgp4_N100_T100_r2026080901_truth1-1-1,4,100,100,2026080901,673c651ab23354886ca6e9c3267d76761aa53585c582f93b414a0c36ede3f1fb,673c651ab23354886ca6e9c3267d76761aa53585c582f93b414a0c36ede3f1fb,True
dgp4_N100_T100_r2026080902_truth1-1-1,4,100,100,2026080902,a439177546ba3960f04b232817dab5cbc9466597692ef97cbc96b315202bf663,a439177546ba3960f04b232817dab5cbc9466597692ef97cbc96b315202bf663,True
dgp4_N100_T100_r2026080903_truth1-1-1,4,100,100,2026080903,102412e519b349051e880e413c96805747a1f22053d1abace5e0953dcc4138b9,102412e519b349051e880e413c96805747a1f22053d1abace5e0953dcc4138b9,True
