dgp,N,method,target,true_value_mean,mean_estimate,bias,RMSE,MC_SD,mean_SE,coverage,mean_interval_length,point_retained,inference_retained,attempted
1,50,fixed_rank,A_G1_fixed_time,0.5853050067285925,0.6133386502988022,0.0280336435702096,0.04111991552199789,0.038811027824660935,0.09260241149549332,1.0,0.3629947828254496,2,2,3
1,50,fixed_rank,A_G1_time_average,0.47340376184497895,0.4658710577940014,-0.007532704050977557,0.01719134404334548,0.036400473632927005,,,,2,0,3
1,50,fixed_rank,A_G2_fixed_time,0.5760082797778875,0.5972184459496384,0.021210166171750866,0.025297665151497364,0.032233109206048015,0.08958814901972452,1.0,0.3511790910405348,2,2,3
1,50,fixed_rank,A_G2_minus_G1_fixed_time,-0.009296726950705146,-0.016120204349163912,-0.006823477398458767,0.044397774813601534,0.07104413703070891,0.03467658802510584,1.0,0.1359297272718807,2,2,3
1,50,fixed_rank,A_G2_minus_G1_time_average,-0.007655306931137516,-0.025772785181729152,-0.018117478250591637,0.027285612794357365,0.03641444010005098,,,,2,0,3
1,50,fixed_rank,A_G2_time_average,0.4657484549138414,0.4400982726122722,-0.025650182301569263,0.026123314550689017,1.3966467124056773e-05,,,,2,0,3
1,50,fixed_rank,A_entry,0.5961397889855251,0.6687122705130257,0.07257248152750068,0.09804647488916395,0.18486591489895016,0.15263210269491218,1.0,0.5983068483332936,2,2,3
1,50,fixed_rank,A_fixed_time_mean,0.58065664325324,0.6052785481242202,0.024621904870980316,0.02593490033192628,0.003288959309306457,0.0895361433495395,1.0,0.3509752325594258,2,2,3
1,50,fixed_rank,A_full_mean,0.46957610837941016,0.45298466520313674,-0.016591443176273396,0.017402837991964286,0.018193253582901726,,,,2,0,3
1,50,fixed_rank,B_G1_fixed_time,0.649295546726542,0.7906967483290865,0.1414012016025446,0.22516442514569637,0.3688007338396533,0.24893661817672774,1.0,0.9758136121191707,2,2,3
1,50,fixed_rank,B_G1_time_average,0.5659977595574746,0.6646366962623225,0.0986389367048478,0.10377654032476796,0.03819265941978777,,,,2,0,3
1,50,fixed_rank,B_G2_fixed_time,0.6568232873092072,0.6564587774057834,-0.0003645099034238486,0.11094394772109147,0.27155452926722606,0.20911342072455025,1.0,0.8197095466081805,2,2,3
1,50,fixed_rank,B_G2_minus_G1_fixed_time,0.0075277405826653515,-0.13423797092330308,-0.14176571150596842,0.1556598354331973,0.09724620457242723,0.08736985341484235,1.0,0.3424835320552697,2,2,3
1,50,fixed_rank,B_G2_minus_G1_time_average,0.007156574098799131,-0.010734390862729246,-0.017890964961528377,0.08233925337557788,0.1068937410698751,,,,2,0,3
1,50,fixed_rank,B_G2_time_average,0.5731543336562738,0.6539023053995932,0.08074797174331938,0.09400086909115198,0.06870108165008758,,,,2,0,3
1,50,fixed_rank,B_entry,0.844269372294888,0.6664700589706072,-0.17779931332428078,0.18465872621702528,0.06689171925921072,0.43723711993947234,1.0,1.7139380155707715,2,2,3
1,50,fixed_rank,B_fixed_time_mean,0.6530594170178745,0.723577762867435,0.07051834584956046,0.15951894198430983,0.32017763155343976,0.22540033871452642,1.0,0.8835530919672019,2,2,3
1,50,fixed_rank,B_full_mean,0.5695760466068742,0.6592695008309579,0.08969345422408365,0.09004403752732956,0.015254211115149711,,,,2,0,3
1,50,selected_rank,A_G1_fixed_time,0.5797302957816556,0.0,-0.5797302957816556,0.5797879040718948,0.0,,,,3,0,3
1,50,selected_rank,A_G1_time_average,0.4758497722182833,0.0,-0.4758497722182833,0.47593644959695164,0.0,,,,3,0,3
1,50,selected_rank,A_G2_fixed_time,0.5718040719534051,0.0,-0.5718040719534051,0.5718822448949986,0.0,,,,3,0,3
1,50,selected_rank,A_G2_minus_G1_fixed_time,-0.007926223828250522,0.0,0.007926223828250522,0.009674431749028762,0.0,,,,3,0,3
1,50,selected_rank,A_G2_minus_G1_time_average,-0.006564925367567823,0.0,0.006564925367567823,0.008033190484716372,0.0,,,,3,0,3
1,50,selected_rank,A_G2_time_average,0.46928484685071536,0.0,-0.46928484685071536,0.46932882394697234,0.0,,,,3,0,3
1,50,selected_rank,A_entry,0.5707914909569095,0.0,-0.5707914909569095,0.5743576968911077,0.0,,,,3,0,3
1,50,selected_rank,A_fixed_time_mean,0.5757671838675303,0.0,-0.5757671838675303,0.5758283244246458,0.0,,,,3,0,3
1,50,selected_rank,A_full_mean,0.4725673095344993,0.0,-0.4725673095344993,0.4726271167462347,0.0,,,,3,0,3
1,50,selected_rank,B_G1_fixed_time,0.5825528281184639,0.0,-0.5825528281184639,0.5942698232668245,0.0,,,,3,0,3
1,50,selected_rank,B_G1_time_average,0.5657015238148216,0.0,-0.5657015238148216,0.5657178680732093,0.0,,,,3,0,3
