semantic_replication_id,dgp,N,replication,selected_rank_vector,candidate_coverage,candidate_count,smallest_IC,second_smallest_IC,IC_gap,IC_true_rank,IC_selected_rank,IC_selected_minus_true,rank_at_cap,pilot_multistart_disagreement
dgp1_N100_T100_r2026080901_truth1-1-1,1,100,2026080901,"[0, 0, 0]",True,26,2.3883880758998073,56387.91724171201,56385.52885363611,169160.22385179804,2.3883880758998073,-169157.83546372215,False,False
dgp1_N100_T100_r2026080902_truth1-1-1,1,100,2026080902,"[0, 0, 0]",True,31,2.3362197657824484,56387.991479669465,56385.65525990368,169160.2070205005,2.3362197657824484,-169157.87080073473,False,False
dgp1_N100_T100_r2026080903_truth1-1-1,1,100,2026080903,"[0, 0, 0]",True,30,2.3191001195574312,56387.97986639665,56385.66076627709,169160.24317656987,2.3191001195574312,-169157.92407645032,False,False
dgp1_N50_T50_r2026080901_truth1-1-1,1,50,2026080901,"[0, 0, 0]",True,26,2.180512445917124,33467.75788272631,33465.57737028039,100399.80914548966,2.180512445917124,-100397.62863304374,False,False
dgp1_N50_T50_r2026080902_truth1-1-1,1,50,2026080902,"[0, 0, 0]",True,26,2.4295183416577615,33467.713465059256,33465.2839467176,inf,2.4295183416577615,-inf,False,False
dgp1_N50_T50_r2026080903_truth1-1-1,1,50,2026080903,"[0, 0, 0]",True,24,1.918459397175124,33467.704739830595,33465.78628043342,100399.76961197553,1.918459397175124,-100397.85115257835,False,False
dgp2_N100_T100_r2026080901_truth1-1-1,2,100,2026080901,"[0, 0, 0]",True,30,2.231609630108184,56387.87799463153,56385.646385001426,169160.1563733148,2.231609630108184,-169157.92476368468,False,False
dgp2_N100_T100_r2026080902_truth1-1-1,2,100,2026080902,"[0, 0, 0]",True,28,2.413680413081488,56387.92565528495,56385.511974871864,169160.14499388338,2.413680413081488,-169157.7313134703,False,False
dgp2_N100_T100_r2026080903_truth1-1-1,2,100,2026080903,"[0, 0, 0]",True,24,2.279652348078555,56387.977134463334,56385.697482115254,169160.14962795022,2.279652348078555,-169157.86997560214,False,False
dgp2_N50_T50_r2026080901_truth1-1-1,2,50,2026080901,"[0, 0, 0]",True,24,2.2333792914508916,33467.66612738269,33465.43274809124,100399.68400716422,2.2333792914508916,-100397.45062787276,False,False
dgp2_N50_T50_r2026080902_truth1-1-1,2,50,2026080902,"[0, 0, 0]",True,27,1.9538752919869227,33467.69070398949,33465.7368286975,inf,1.9538752919869227,-inf,False,False
dgp2_N50_T50_r2026080903_truth1-1-1,2,50,2026080903,"[0, 0, 0]",True,21,2.4920683261149645,33467.758797142305,33465.26672881619,100399.72781444764,2.4920683261149645,-100397.23574612153,False,False
dgp3_N100_T100_r2026080901_truth1-1-1,3,100,2026080901,"[0, 0, 0]",True,30,2.619298204839374,56388.19651541685,56385.57721721201,169160.47591905977,2.619298204839374,-169157.85662085493,False,False
dgp3_N100_T100_r2026080902_truth1-1-1,3,100,2026080902,"[0, 0, 0]",True,21,2.5805516179545496,56388.168965978555,56385.5884143606,169160.4613100181,2.5805516179545496,-169157.88075840013,False,False
dgp3_N100_T100_r2026080903_truth1-1-1,3,100,2026080903,"[0, 0, 0]",True,24,2.53671863268299,56388.17414751922,56385.63742888653,169160.4769700327,2.53671863268299,-169157.94025140002,False,False
dgp3_N50_T50_r2026080901_truth1-1-1,3,50,2026080901,"[0, 0, 0]",True,30,2.562794051104877,33468.145221787054,33465.58242773595,inf,2.562794051104877,-inf,False,False
dgp3_N50_T50_r2026080902_truth1-1-1,3,50,2026080902,"[0, 0, 0]",True,28,2.6096553599633894,33468.175306975354,33465.56565161539,inf,2.6096553599633894,-inf,False,False
dgp3_N50_T50_r2026080903_truth1-1-1,3,50,2026080903,"[0, 0, 0]",True,26,2.4531117938420914,33468.020764538676,33465.56765274484,inf,2.4531117938420914,-inf,False,False
dgp4_N100_T100_r2026080901_truth1-1-1,4,100,2026080901,"[0, 0, 0]",True,21,2.3994797551198377,56387.95980395224,56385.56032419712,169160.25124617282,2.3994797551198377,-169157.8517664177,False,False
dgp4_N100_T100_r2026080902_truth1-1-1,4,100,2026080902,"[0, 0, 0]",True,21,2.3889124889290416,56388.030245453134,56385.6413329642,169160.29681567813,2.3889124889290416,-169157.9079031892,False,False
dgp4_N100_T100_r2026080903_truth1-1-1,4,100,2026080903,"[0, 0, 0]",True,23,2.2547861122113027,56387.88562480268,56385.630838690464,169160.17572301504,2.2547861122113027,-169157.92093690284,False,False
dgp4_N50_T50_r2026080901_truth1-1-1,4,50,2026080901,"[0, 0, 0]",True,23,2.2968258688642798,33467.80930624049,33465.512480371624,inf,2.2968258688642798,-inf,False,False
dgp4_N50_T50_r2026080902_truth1-1-1,4,50,2026080902,"[0, 0, 0]",True,28,2.5377105691672126,33467.84982141802,33465.312110848856,100399.89417854384,2.5377105691672126,-100397.35646797466,False,False
dgp4_N50_T50_r2026080903_truth1-1-1,4,50,2026080903,"[0, 0, 0]",True,25,2.2446484257493196,33467.84118613041,33465.59653770466,100399.91273236704,2.2446484257493196,-100397.66808394129,False,False
