dgp,N,method,split_dimension,attempted_split_fits,expected_split_fits,completion_rate,validity_rate,constrained_fallback_rate,boundary_active_rate,numerical_rank_loss_rate,median_stationarity_or_KKT_residual,median_runtime_seconds
1,50,fixed_rank,time,4,6,0.6666666666666666,1.0,0.25,0.25,0.0,1.4913844736591887e-06,0.1313710000104038
1,50,fixed_rank,unit,4,6,0.6666666666666666,1.0,0.25,0.25,0.0,1.656581067463803e-06,0.12611975001345854
1,50,selected_rank,time,6,6,1.0,1.0,0.0,0.0,0.0,0.0,0.0010100000072270632
1,50,selected_rank,unit,6,6,1.0,1.0,0.0,0.0,0.0,0.0,0.0008643000182928517
1,100,fixed_rank,time,6,6,1.0,1.0,0.0,0.0,0.0,5.053504553306152e-07,0.032058149998192675
1,100,fixed_rank,unit,6,6,1.0,1.0,0.0,0.0,0.0,5.472060581395891e-07,0.03338005000841804
1,100,selected_rank,time,6,6,1.0,1.0,0.0,0.0,0.0,0.0,0.001510200003394857
1,100,selected_rank,unit,6,6,1.0,1.0,0.0,0.0,0.0,0.0,0.001492900017183274
2,50,fixed_rank,time,6,6,1.0,1.0,0.16666666666666666,0.16666666666666666,0.0,1.3561271024758452e-06,0.04279365000547841
2,50,fixed_rank,unit,6,6,1.0,1.0,0.0,0.0,0.0,1.3414241276724984e-06,0.06558000000950415
2,50,selected_rank,time,6,6,1.0,1.0,0.0,0.0,0.0,0.0,0.0008996499964268878
2,50,selected_rank,unit,6,6,1.0,1.0,0.0,0.0,0.0,0.0,0.0009126500081038103
2,100,fixed_rank,time,6,6,1.0,1.0,0.0,0.0,0.0,4.0071927435465917e-07,0.028549150010803714
2,100,fixed_rank,unit,6,6,1.0,1.0,0.0,0.0,0.0,4.7034084716987004e-07,0.031029849997139536
2,100,selected_rank,time,6,6,1.0,1.0,0.0,0.0,0.0,0.0,0.0014631499943789095
2,100,selected_rank,unit,6,6,1.0,1.0,0.0,0.0,0.0,0.0,0.0013837000005878508
3,50,fixed_rank,time,2,6,0.3333333333333333,1.0,0.5,0.5,0.0,4.6056511614329414e-05,0.9525893999962136
3,50,fixed_rank,unit,2,6,0.3333333333333333,1.0,0.0,0.0,0.0,1.99966569366688e-06,0.46376655000494793
3,50,selected_rank,time,6,6,1.0,1.0,0.0,0.0,0.0,0.0,0.0009324499842477962
3,50,selected_rank,unit,6,6,1.0,1.0,0.0,0.0,0.0,0.0,0.0009231000003637746
3,100,fixed_rank,time,6,6,1.0,1.0,0.0,0.0,0.0,5.685862923753501e-07,0.0399932999862358
3,100,fixed_rank,unit,6,6,1.0,1.0,0.0,0.0,0.0,6.379795304274314e-07,0.04404580000846181
3,100,selected_rank,time,6,6,1.0,1.0,0.0,0.0,0.0,0.0,0.0015036999975563958
3,100,selected_rank,unit,6,6,1.0,1.0,0.0,0.0,0.0,0.0,0.0014254499837988988
4,50,fixed_rank,time,4,6,0.6666666666666666,1.0,0.5,0.5,0.0,4.1479074783490456e-05,3.8687852500006557
4,50,fixed_rank,unit,4,6,0.6666666666666666,1.0,0.75,0.75,0.0,5.2373908909514426e-05,5.757658349990379
4,50,selected_rank,time,6,6,1.0,1.0,0.0,0.0,0.0,0.0,0.000906300003407523
4,50,selected_rank,unit,6,6,1.0,1.0,0.0,0.0,0.0,0.0,0.0009536999859847128
4,100,fixed_rank,time,6,6,1.0,1.0,0.0,0.0,0.0,5.020540955282785e-07,0.033514750000904314
4,100,fixed_rank,unit,6,6,1.0,1.0,0.0,0.0,0.0,4.529041725489842e-07,0.0369834000011906
4,100,selected_rank,time,6,6,1.0,1.0,0.0,0.0,0.0,0.0,0.0013969499996164814
4,100,selected_rank,unit,6,6,1.0,1.0,0.0,0.0,0.0,0.0,0.0013961000076960772
