dgp,N,T,target,true_rank_vector,target_applicability,headline_theorem_target,mean_true_target_projection_ratio,minimum_true_target_projection_ratio,mean_true_entry_unit_leverage_scaled,minimum_true_entry_unit_leverage_scaled,mean_true_entry_time_leverage_scaled,minimum_true_entry_time_leverage_scaled,requested_replications,target_records
1,50,50,A_G1_time_average,"[1, 1, 1]",theorem_covered,True,0.9910164321437746,0.9910164321437746,,,,,1,1
1,50,50,A_G2_minus_G1_fixed_time,"[1, 1, 1]",weak_target_stress_outside_assumption9,False,0.139203092301749,0.139203092301749,,,,,1,1
1,50,50,A_fixed_time_mean,"[1, 1, 1]",theorem_covered,True,0.9935651184678331,0.9935651184678331,,,,,1,1
1,50,50,A_full_mean,"[1, 1, 1]",theorem_covered,True,0.9997761932400216,0.9997761932400216,,,,,1,1
1,50,50,B_entry,"[1, 1, 1]",entry_leverage_requires_author_choice,False,0.1506558472879551,0.1506558472879551,0.7182474701665262,0.7182474701665262,0.42268357409150004,0.42268357409150004,1,1
1,50,50,B_full_mean,"[1, 1, 1]",theorem_covered,True,0.9957857442559186,0.9957857442559186,,,,,1,1
2,50,50,A_G1_time_average,"[1, 1, 1]",theorem_covered,True,0.9894581845141885,0.9894581845141885,,,,,1,1
2,50,50,A_G2_minus_G1_fixed_time,"[1, 1, 1]",weak_target_stress_outside_assumption9,False,0.13449750753442316,0.13449750753442316,,,,,1,1
2,50,50,A_fixed_time_mean,"[1, 1, 1]",theorem_covered,True,0.9966947690207539,0.9966947690207539,,,,,1,1
2,50,50,A_full_mean,"[1, 1, 1]",theorem_covered,True,0.9998588910679912,0.9998588910679912,,,,,1,1
2,50,50,B_entry,"[1, 1, 1]",entry_leverage_requires_author_choice,False,0.27153054080817673,0.27153054080817673,2.1266401851278918,2.1266401851278918,1.6290913678118306,1.6290913678118306,1,1
2,50,50,B_full_mean,"[1, 1, 1]",theorem_covered,True,0.9963299170224725,0.9963299170224725,,,,,1,1
3,50,50,A_G1_time_average,"[1, 1, 1]",theorem_covered,True,0.9909178265804232,0.9909178265804232,,,,,1,1
3,50,50,A_G2_minus_G1_fixed_time,"[1, 1, 1]",weak_target_stress_outside_assumption9,False,0.15426398017138931,0.15426398017138931,,,,,1,1
3,50,50,A_fixed_time_mean,"[1, 1, 1]",theorem_covered,True,0.9956027564381704,0.9956027564381704,,,,,1,1
3,50,50,A_full_mean,"[1, 1, 1]",theorem_covered,True,0.9998351676191612,0.9998351676191612,,,,,1,1
3,50,50,B_entry,"[1, 1, 1]",entry_leverage_requires_author_choice,False,0.23622823087303046,0.23622823087303046,1.8692566595646596,1.8692566595646596,0.9566984941324824,0.9566984941324824,1,1
3,50,50,B_full_mean,"[1, 1, 1]",theorem_covered,True,0.9963486568075944,0.9963486568075944,,,,,1,1
4,50,50,A_G1_time_average,"[1, 1, 1]",theorem_covered,True,0.9903755458746081,0.9903755458746081,,,,,1,1
4,50,50,A_G2_minus_G1_fixed_time,"[1, 1, 1]",theorem_covered,True,0.18510933624061904,0.18510933624061904,,,,,1,1
4,50,50,A_fixed_time_mean,"[1, 1, 1]",theorem_covered,True,0.9945526381658767,0.9945526381658767,,,,,1,1
4,50,50,A_full_mean,"[1, 1, 1]",theorem_covered,True,0.9998151364713481,0.9998151364713481,,,,,1,1
4,50,50,B_entry,"[1, 1, 1]",entry_leverage_requires_author_choice,False,0.19942215698761362,0.19942215698761362,1.022534430861583,1.022534430861583,0.9860916574526517,0.9860916574526517,1,1
4,50,50,B_full_mean,"[1, 1, 1]",theorem_covered,True,0.9960054103976247,0.9960054103976247,,,,,1,1
